# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol],UMinwater(d)[kj/mol]
1.2550412,1.2550412,1.2400000,-0.1409396,-0.1478747
1.2650412,1.2650412,1.2500000,-0.1366410,-0.1433734
1.2750412,1.2750412,1.2600000,-0.1324993,-0.1390360
1.2850412,1.2850412,1.2700000,-0.1285078,-0.1348552
1.2950412,1.2950412,1.2800000,-0.1246600,-0.1308246
1.3050412,1.3050412,1.2900000,-0.1209500,-0.1269378
1.3150412,1.3150412,1.3000000,-0.1173718,-0.1231886
1.3250412,1.3250412,1.3100000,-0.1139200,-0.1195715
1.3350412,1.3350412,1.3200000,-0.1105894,-0.1160808
1.3450412,1.3450412,1.3300000,-0.1073750,-0.1127115
1.3550412,1.3550412,1.3400000,-0.1042719,-0.1094586
1.3650412,1.3650412,1.3500000,-0.1012757,-0.1063174
1.3750412,1.3750412,1.3600000,-0.0983821,-0.1032833
1.3850412,1.3850412,1.3700000,-0.0955869,-0.1003521
1.3950412,1.3950412,1.3800000,-0.0928863,-0.0975197
1.4050412,1.4050412,1.3900000,-0.0902764,-0.0947823
1.4150412,1.4150412,1.4000000,-0.0877538,-0.0921360
1.4250412,1.4250412,1.4100000,-0.0853149,-0.0895773
1.4350412,1.4350412,1.4200000,-0.0829566,-0.0871029
1.4450412,1.4450412,1.4300000,-0.0806757,-0.0847095
1.4550412,1.4550412,1.4400000,-0.0784693,-0.0823939
1.4650412,1.4650412,1.4500000,-0.0763345,-0.0801533
1.4750412,1.4750412,1.4600000,-0.0742686,-0.0779849
1.4850412,1.4850412,1.4700000,-0.0722690,-0.0758858
1.4950412,1.4950412,1.4800000,-0.0703333,-0.0738535
1.5050412,1.5050412,1.4900000,-0.0684590,-0.0718856
1.5150412,1.5150412,1.5000000,-0.0666439,-0.0699796
1.5250412,1.5250412,1.5100000,-0.0648858,-0.0681334
1.5350412,1.5350412,1.5200000,-0.0631826,-0.0663446
1.5450412,1.5450412,1.5300000,-0.0615323,-0.0646113
1.5550412,1.5550412,1.5400000,-0.0599330,-0.0629314
1.5650412,1.5650412,1.5500000,-0.0583829,-0.0613030
1.5750412,1.5750412,1.5600000,-0.0568802,-0.0597243
1.5850412,1.5850412,1.5700000,-0.0554232,-0.0581935
1.5950412,1.5950412,1.5800000,-0.0540103,-0.0567090
