# r[nm],d[nm],daligned[nm],Ucline(d)[kj/mol]
-0.4310872,-0.4310872,-0.2292143,1352498.7688510
-0.4210872,-0.4210872,-0.2192143,1242120.1883177
-0.4110872,-0.4110872,-0.2092143,1115638.6495948
-0.4010872,-0.4010872,-0.1992143,998069.5607570
-0.3910872,-0.3910872,-0.1892143,905446.4971052
-0.3810872,-0.3810872,-0.1792143,825821.3107435
-0.3710872,-0.3710872,-0.1692143,682129.5723358
-0.3610872,-0.3610872,-0.1592143,597322.1314435
-0.3510872,-0.3510872,-0.1492143,556973.5765276
-0.3410872,-0.3410872,-0.1392143,554116.6213513
-0.3310872,-0.3310872,-0.1292143,589951.5519768
-0.3210872,-0.3210872,-0.1192143,674995.4021840
-0.3110872,-0.3110872,-0.1092143,571598.2595003
-0.3010872,-0.3010872,-0.0992143,436374.5836372
-0.2910872,-0.2910872,-0.0892143,359386.5867363
-0.2810872,-0.2810872,-0.0792143,361017.1421766
-0.2710872,-0.2710872,-0.0692143,353769.0083399
-0.2610872,-0.2610872,-0.0592143,414475.4118091
-0.2510872,-0.2510872,-0.0492143,562967.2830284
-0.2410872,-0.2410872,-0.0392143,567559.0363667
-0.2310872,-0.2310872,-0.0292143,506796.3782725
-0.2210872,-0.2210872,-0.0192143,474431.2444224
-0.2110872,-0.2110872,-0.0092143,460094.2981632
-0.2010872,-0.2010872,0.0007857,457579.8332496
-0.1910872,-0.1910872,0.0107857,463072.8520607
-0.1810872,-0.1810872,0.0207857,473870.1104633
-0.1710872,-0.1710872,0.0307857,487906.4101167
-0.1610872,-0.1610872,0.0407857,451177.0355356
-0.1510872,-0.1510872,0.0507857,411136.3391733
-0.1410872,-0.1410872,0.0607857,378730.4732957
-0.1310872,-0.1310872,0.0707857,356617.9834277
-0.1210872,-0.1210872,0.0807857,347065.8487468
-0.1110872,-0.1110872,0.0907857,351408.8957557
-0.1010872,-0.1010872,0.1007857,353270.1249797
-0.0910872,-0.0910872,0.1107857,299015.1572593
-0.0810872,-0.0810872,0.1207857,285383.3131662
-0.0710872,-0.0710872,0.1307857,285347.6732138
-0.0610872,-0.0610872,0.1407857,242169.9112370
-0.0510872,-0.0510872,0.1507857,223622.6047626
-0.0410872,-0.0410872,0.1607857,211026.3344246
-0.0310872,-0.0310872,0.1707857,211197.0695551
-0.0210872,-0.0210872,0.1807857,243325.1296903
-0.0110872,-0.0110872,0.1907857,293461.1499543
-0.0010872,-0.0010872,0.2007857,305588.7512827
0.0089128,0.0089128,0.2107857,269519.0131598
0.0189128,0.0189128,0.2207857,245861.2225753
0.0289128,0.0289128,0.2307857,224901.4078912
0.0389128,0.0389128,0.2407857,196078.7575592
0.0489128,0.0489128,0.2507857,202131.8736743
0.0589128,0.0589128,0.2607857,197516.2522752
0.0689128,0.0689128,0.2707857,203150.4400290
0.0789128,0.0789128,0.2807857,188121.8221108
0.0889128,0.0889128,0.2907857,128988.5623863
0.0989128,0.0989128,0.3007857,83489.1493936
0.1089128,0.1089128,0.3107857,53385.1491631
0.1189128,0.1189128,0.3207857,33847.9438634
0.1289128,0.1289128,0.3307857,21335.3037418
0.1389128,0.1389128,0.3407857,13390.1304987
0.1489128,0.1489128,0.3507857,8370.9740407
0.1589128,0.1589128,0.3607857,5208.7124232
0.1689128,0.1689128,0.3707857,3218.5400607
0.1789128,0.1789128,0.3807857,1966.4014069
0.1889128,0.1889128,0.3907857,1197.7424877
