# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol]
1.3881980,1.3881980,1.3480311,-0.0885058
1.3981980,1.3981980,1.3580311,-0.0860276
1.4081980,1.4081980,1.3680311,-0.0836340
1.4181980,1.4181980,1.3780311,-0.0813218
1.4281980,1.4281980,1.3880311,-0.0790875
1.4381980,1.4381980,1.3980311,-0.0769280
1.4481980,1.4481980,1.4080311,-0.0748404
1.4581980,1.4581980,1.4180311,-0.0728218
1.4681980,1.4681980,1.4280311,-0.0708694
1.4781980,1.4781980,1.4380311,-0.0689807
1.4881980,1.4881980,1.4480311,-0.0671533
1.4981980,1.4981980,1.4580311,-0.0653846
1.5081980,1.5081980,1.4680311,-0.0636726
1.5181980,1.5181980,1.4780311,-0.0620149
1.5281980,1.5281980,1.4880311,-0.0604097
1.5381980,1.5381980,1.4980311,-0.0588548
1.5481980,1.5481980,1.5080311,-0.0573485
1.5581980,1.5581980,1.5180311,-0.0558889
1.5681980,1.5681980,1.5280311,-0.0544743
1.5781980,1.5781980,1.5380311,-0.0531030
1.5881980,1.5881980,1.5480311,-0.0517736
1.5981980,1.5981980,1.5580311,-0.0504843
