# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
-1.2820007,-1.2820007,-1.0141280,6920.8777940,5709.2207887,27407.1809680,370.1869329,20205.3379610,7592.8040775,6248.9515104,8158.5992922,5159.9512560,6920.8777940,5709.2207887,27407.1809680,354.5458336,20205.3379610,7592.8040775,6248.9515104,8158.5992922,5159.9512560
-1.2770007,-1.2770007,-1.0091280,7354.8363363,5985.0159159,29174.8617933,395.5512581,21448.2359968,8026.2603282,6683.4123445,8670.1664607,5483.4947418,7354.8363363,5985.0159159,29174.8617933,379.9101588,21448.2359968,8026.2603282,6683.4123445,8670.1664607,5483.4947418
-1.2720007,-1.2720007,-1.0041280,7902.8874561,6333.5387147,31408.2019713,427.6463528,23018.6598716,8573.8028834,7231.9720287,9316.2303865,5892.1014457,7902.8874561,6333.5387147,31408.2019713,412.0052534,23018.6598716,8573.8028834,7231.9720287,9316.2303865,5892.1014457
-1.2670007,-1.2670007,-0.9991280,8572.5867908,6759.6225229,34137.9828651,466.9279599,24938.2681892,9242.9922553,7902.1813263,10105.6979485,6391.4045726,8572.5867908,6759.6225229,34137.9828651,451.2871600,24938.2681892,9242.9922553,7902.1813263,10105.6979485,6391.4045726
-1.2620007,-1.2620007,-0.9941280,8480.3570133,6722.0800071,33707.1875039,462.7483089,24650.1908857,9160.2483974,7800.4656291,9996.9739079,6322.6414517,8480.3570133,6722.0800071,33707.1875039,447.1072096,24650.1908857,9160.2483974,7800.4656291,9996.9739079,6322.6414517
-1.2570007,-1.2570007,-0.9891280,8155.0671044,6515.0722987,32398.2506649,443.0125284,23729.7167505,8835.7693149,7474.3648940,9613.5095413,6080.1172916,8155.0671044,6515.0722987,32398.2506649,427.3714290,23729.7167505,8835.7693149,7474.3648940,9613.5095413,6080.1172916
-1.2520007,-1.2520007,-0.9841280,7943.1218455,6380.3932020,31550.7906863,430.0215925,23133.8731036,8624.6273344,7261.6163567,9363.6602460,5922.0987227,7943.1218455,6380.3932020,31550.7906863,414.3804932,23133.8731036,8624.6273344,7261.6163567,9363.6602460,5922.0987227
-1.2470007,-1.2470007,-0.9791280,7838.0905306,6313.9167042,31138.7201638,423.3846853,22844.2950423,8520.3846252,7155.7964359,9239.8452565,5843.7912476,7838.0905306,6313.9167042,31138.7201638,407.7435860,22844.2950423,8520.3846252,7155.7964359,9239.8452565,5843.7912476
-1.2420007,-1.2420007,-0.9741280,7830.8674300,6309.8130767,31125.0095835,422.5545605,22834.9222290,8513.9283171,7147.8065429,9231.3303852,5838.4059702,7830.8674300,6309.8130767,31125.0095835,406.9134611,22834.9222290,8513.9283171,7147.8065429,9231.3303852,5838.4059702
-1.2370007,-1.2370007,-0.9691280,7909.9685304,6360.7392578,31462.8823213,426.8457380,23072.8402102,8593.7672974,7226.1697634,9324.5778317,5897.3808335,7909.9685304,6360.7392578,31462.8823213,411.2046386,23072.8402102,8593.7672974,7226.1697634,9324.5778317,5897.3808335
-1.2320007,-1.2320007,-0.9641280,7745.1658238,6260.8781266,30818.2177536,417.6475668,22622.3254763,8432.3341018,7057.9975459,9130.3020064,5774.5100131,7745.1658238,6260.8781266,30818.2177536,402.0084478,22622.3254763,8432.3341018,7057.9975459,9130.3020064,5774.5100131
-1.2270007,-1.2270007,-0.9591280,6454.1021313,5439.5441460,25513.8458390,343.6356157,18892.2139808,7140.8259810,5767.3782817,7608.3460290,4811.9405356,6454.1021313,5439.5441460,25513.8458390,327.9945163,18892.2139808,7140.8259810,5767.3782817,7608.3460290,4811.9405356
