# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol],UMinwater(d)[kj/mol]
1.0837964,1.0837964,1.2900000,-66.8413715,-78.4835184
1.0937964,1.0937964,1.3000000,-66.3564761,-77.9715158
1.1037964,1.1037964,1.3100000,-65.8751779,-77.4631237
1.1137964,1.1137964,1.3200000,-65.3974603,-76.9583276
1.1237964,1.1237964,1.3300000,-64.9233063,-76.4571130
1.1337964,1.1337964,1.3400000,-64.4526986,-75.9594647
1.1437964,1.1437964,1.3500000,-63.9856202,-75.4653675
1.1537964,1.1537964,1.3600000,-63.5220535,-74.9748061
1.1637964,1.1637964,1.3700000,-63.0619810,-74.4877646
1.1737964,1.1737964,1.3800000,-62.6053849,-74.0042270
1.1837964,1.1837964,1.3900000,-62.1522474,-73.5241772
1.1937964,1.1937964,1.4000000,-61.7025504,-73.0475987
1.2037964,1.2037964,1.4100000,-61.2562757,-72.5744750
1.2137964,1.2137964,1.4200000,-60.8134050,-72.1047891
1.2237964,1.2237964,1.4300000,-60.3739197,-71.6385240
1.2337964,1.2337964,1.4400000,-59.9378014,-71.1756625
1.2437964,1.2437964,1.4500000,-59.5050312,-70.7161871
1.2537964,1.2537964,1.4600000,-59.0755902,-70.2600803
1.2637964,1.2637964,1.4700000,-58.6494595,-69.8073244
1.2737964,1.2737964,1.4800000,-58.2266199,-69.3579012
1.2837964,1.2837964,1.4900000,-57.8070521,-68.9120170
1.2937964,1.2937964,1.5000000,-57.3907369,-68.4700247
1.3037964,1.3037964,1.5100000,-56.9776547,-68.0312801
1.3137964,1.3137964,1.5200000,-56.5677860,-67.5957659
1.3237964,1.3237964,1.5300000,-56.1611111,-67.1634643
1.3337964,1.3337964,1.5400000,-55.7576104,-66.7343578
1.3437964,1.3437964,1.5500000,-55.3572640,-66.3084283
1.3537964,1.3537964,1.5600000,-54.9600520,-65.8856578
1.3637964,1.3637964,1.5700000,-54.5659544,-65.4660283
1.3737964,1.3737964,1.5800000,-54.1749512,-65.0495213
1.3837964,1.3837964,1.5900000,-53.7870224,-64.6361185
1.3937964,1.3937964,1.6000000,-53.4021478,-64.2258014
1.4037964,1.4037964,1.6100000,-53.0203072,-63.8185514
1.4137964,1.4137964,1.6200000,-52.6414804,-63.4143498
1.4237964,1.4237964,1.6300000,-52.2656471,-63.0131778
1.4337964,1.4337964,1.6400000,-51.8927871,-62.6150165
1.4437964,1.4437964,1.6500000,-51.5228800,-62.2198471
1.4537964,1.4537964,1.6600000,-51.1559055,-61.8276505
1.4637964,1.4637964,1.6700000,-50.7918432,-61.4384077
1.4737964,1.4737964,1.6800000,-50.4306727,-61.0520996
1.4837964,1.4837964,1.6900000,-50.0723738,-60.6687070
1.4937964,1.4937964,1.7000000,-49.7169260,-60.2882109
1.5037964,1.5037964,1.7100000,-49.3643090,-59.9105919
1.5137964,1.5137964,1.7200000,-49.0145024,-59.5358309
1.5237964,1.5237964,1.7300000,-48.6674858,-59.1639086
1.5337964,1.5337964,1.7400000,-48.3232390,-58.7948057
1.5437964,1.5437964,1.7500000,-47.9817417,-58.4285030
1.5537964,1.5537964,1.7600000,-47.6429736,-58.0649812
1.5637964,1.5637964,1.7700000,-47.3069144,-57.7042209
1.5737964,1.5737964,1.7800000,-46.9735439,-57.3462030
1.5837964,1.5837964,1.7900000,-46.6428420,-56.9909081
1.5937964,1.5937964,1.8000000,-46.3147886,-56.6383171
