# r[nm],ssd(r)[nm]
0.5758292,0.5258292
0.5808292,0.5308292
0.5858292,0.5358292
0.5908292,0.5408292
0.5958292,0.5458292
0.6008292,0.5508292
0.6058292,0.5558292
0.6108292,0.5608292
0.6158292,0.5658292
0.6208292,0.5708292
0.6258292,0.5758292
0.6308292,0.5808292
0.6358292,0.5858292
0.6408292,0.5908292
0.6458292,0.5958292
0.6508292,0.6008292
0.6558292,0.6058292
0.6608292,0.6108292
0.6658292,0.6158292
0.6708292,0.6208292
0.6758292,0.6258292
0.6808292,0.6308292
0.6858292,0.6358292
0.6908292,0.6408292
0.6958292,0.6458292
0.7008292,0.6508292
0.7058292,0.6558292
0.7108292,0.6608292
0.7158292,0.6658292
0.7208292,0.6708292
0.7258292,0.6758292
0.7308292,0.6808292
0.7358292,0.6858292
0.7408292,0.6908292
0.7458292,0.6958292
0.7508292,0.7008292
0.7558292,0.7058292
0.7608292,0.7108292
0.7658292,0.7158292
0.7708292,0.7208292
0.7758292,0.7258292
0.7808292,0.7308292
0.7858292,0.7358292
0.7908292,0.7408292
0.7958292,0.7458292
0.8008292,0.7508292
0.8058292,0.7558292
0.8108292,0.7608292
0.8158292,0.7658292
0.8208292,0.7708292
0.8258292,0.7758292
0.8308292,0.7808292
0.8358292,0.7858292
0.8408292,0.7908292
0.8458292,0.7958292
0.8508292,0.8008292
0.8558292,0.8058292
0.8608292,0.8108292
0.8658292,0.8158292
0.8708292,0.8208292
0.8758292,0.8258292
0.8808292,0.8308292
0.8858292,0.8358292
0.8908292,0.8408292
0.8958292,0.8458292
0.9008292,0.8508292
0.9058292,0.8558292
0.9108292,0.8608292
0.9158292,0.8658292
0.9208292,0.8708292
0.9258292,0.8758292
0.9308292,0.8808292
0.9358292,0.8858292
0.9408292,0.8908292
0.9458292,0.8958292
0.9508292,0.9008292
0.9558292,0.9058292
0.9608292,0.9108292
0.9658292,0.9158292
0.9708292,0.9208292
0.9758292,0.9258292
0.9808292,0.9308292
0.9858292,0.9358292
0.9908292,0.9408292
0.9958292,0.9458292
1.0008292,0.9508292
1.0058292,0.9558292
1.0108292,0.9608292
1.0158292,0.9658292
1.0208292,0.9708292
1.0258292,0.9758292
1.0308292,0.9808292
1.0358292,0.9858292
1.0408292,0.9908292
1.0458292,0.9958292
1.0508292,1.0008292
1.0558292,1.0058292
1.0608292,1.0108292
1.0658292,1.0158292
1.0708292,1.0208292
1.0758292,1.0258292
1.0808292,1.0308292
1.0858292,1.0358292
1.0908292,1.0408292
1.0958292,1.0458292
1.1008292,1.0508292
1.1058292,1.0558292
1.1108292,1.0608292
1.1158292,1.0658292
1.1208292,1.0708292
1.1258292,1.0758292
1.1308292,1.0808292
1.1358292,1.0858292
1.1408292,1.0908292
1.1458292,1.0958292
1.1508292,1.1008292
1.1558292,1.1058292
