# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
1.1666496,1.1666496,1.3572101,-0.0489821,-496.1554769,197.0173015,-0.0109544,-0.0858677,-244.0775179,102.3445800,-0.0577420,-0.0365192,-0.0504268,-506.1717268,188.3871748,-0.0112770,-0.0884030,-253.1153467,94.2034114,-0.0594450,-0.0375963
1.1716496,1.1716496,1.3622101,-0.0482622,-494.7304920,197.0781911,-0.0107932,-0.0846067,-243.3683369,102.3712357,-0.0568934,-0.0359825,-0.0496898,-504.7432132,188.4619845,-0.0111120,-0.0871121,-252.4006554,94.2406719,-0.0585763,-0.0370469
1.1766496,1.1766496,1.3672101,-0.0475551,-493.3110931,197.1375202,-0.0106348,-0.0833680,-242.6619846,102.3971468,-0.0560598,-0.0354553,-0.0489659,-503.3202260,188.5352640,-0.0109499,-0.0858438,-251.6887351,94.2771700,-0.0577228,-0.0365071
1.1816496,1.1816496,1.3722101,-0.0468605,-491.8972662,197.1952997,-0.0104793,-0.0821512,-241.9584532,102.4223183,-0.0552410,-0.0349374,-0.0482546,-501.9027523,188.6070211,-0.0107907,-0.0845977,-250.9795790,94.3129093,-0.0568843,-0.0359768
1.1866496,1.1866496,1.3772101,-0.0461781,-490.4889969,197.2515406,-0.0103265,-0.0809559,-241.2577353,102.4467552,-0.0544366,-0.0344286,-0.0475557,-500.4907789,188.6772634,-0.0106342,-0.0833734,-250.2731806,94.3478936,-0.0560605,-0.0354558
1.1916496,1.1916496,1.3822101,-0.0455077,-489.0862709,197.3062538,-0.0101764,-0.0797815,-240.5598230,102.4704626,-0.0536463,-0.0339288,-0.0468690,-499.0842926,188.7459987,-0.0104805,-0.0821704,-249.5695329,94.3821269,-0.0552510,-0.0349438
1.1966496,1.1966496,1.3872101,-0.0448490,-487.6890736,197.3594503,-0.0100289,-0.0786277,-239.8647086,102.4934454,-0.0528698,-0.0334378,-0.0461942,-497.6832796,188.8132346,-0.0103294,-0.0809883,-248.8686291,94.4156128,-0.0544556,-0.0344407
1.2016496,1.2016496,1.3922101,-0.0442019,-486.2973903,197.4111410,-0.0098840,-0.0774939,-239.1723841,102.5157088,-0.0521069,-0.0329553,-0.0455311,-496.2877264,188.8789789,-0.0101810,-0.0798265,-248.1704620,94.4483552,-0.0536739,-0.0339463
1.2066496,1.2066496,1.3972101,-0.0435660,-484.9112062,197.4613369,-0.0097416,-0.0763799,-238.4828417,102.5372575,-0.0513573,-0.0324812,-0.0448795,-494.8976189,188.9432394,-0.0100351,-0.0786848,-247.4750247,94.4803580,-0.0529057,-0.0334605
1.2116496,1.2116496,1.4022101,-0.0429411,-483.5305061,197.5100489,-0.0096017,-0.0752852,-237.7960733,102.5580966,-0.0506207,-0.0320153,-0.0442390,-493.5129430,189.0060239,-0.0098918,-0.0775628,-246.7823098,94.5116250,-0.0521507,-0.0329830
1.2166496,1.2166496,1.4072101,-0.0423270,-482.1552750,197.5572880,-0.0094642,-0.0742093,-237.1120709,102.5782309,-0.0498968,-0.0315574,-0.0436095,-492.1336846,189.0673402,-0.0097509,-0.0764599,-246.0923102,94.5421601,-0.0514086,-0.0325137
1.2216496,1.2216496,1.4122101,-0.0417235,-480.7854975,197.6030652,-0.0093291,-0.0731520,-236.4308263,102.5976652,-0.0491853,-0.0311075,-0.0429908,-490.7598291,189.1271961,-0.0096124,-0.0753758,-245.4050185,94.5719671,-0.0506792,-0.0320523
