# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
1.0908788,1.0908788,1.2623590,-0.0555894,-0.5192330,0.3402873
1.0958788,1.0958788,1.2673590,-0.0545971,-0.5159557,0.3401751
1.1008788,1.1008788,1.2723590,-0.0536260,-0.5127116,0.3400294
1.1058788,1.1058788,1.2773590,-0.0526755,-0.5095003,0.3398512
1.1108788,1.1108788,1.2823590,-0.0517451,-0.5063213,0.3396417
1.1158788,1.1158788,1.2873590,-0.0508342,-0.5031740,0.3394019
1.1208788,1.1208788,1.2923590,-0.0499425,-0.5000578,0.3391328
1.1258788,1.1258788,1.2973590,-0.0490694,-0.4969723,0.3388353
1.1308788,1.1308788,1.3023590,-0.0482145,-0.4939170,0.3385105
1.1358788,1.1358788,1.3073590,-0.0473773,-0.4908914,0.3381591
1.1408788,1.1408788,1.3123590,-0.0465574,-0.4878951,0.3377821
1.1458788,1.1458788,1.3173590,-0.0457544,-0.4849275,0.3373804
1.1508788,1.1508788,1.3223590,-0.0449679,-0.4819883,0.3369548
1.1558788,1.1558788,1.3273590,-0.0441975,-0.4790769,0.3365060
1.1608788,1.1608788,1.3323590,-0.0434428,-0.4761930,0.3360350
1.1658788,1.1658788,1.3373590,-0.0427035,-0.4733362,0.3355423
1.1708788,1.1708788,1.3423590,-0.0419791,-0.4705059,0.3350288
1.1758788,1.1758788,1.3473590,-0.0412693,-0.4677020,0.3344952
1.1808788,1.1808788,1.3523590,-0.0405738,-0.4649238,0.3339422
1.1858788,1.1858788,1.3573590,-0.0398922,-0.4621711,0.3333705
1.1908788,1.1908788,1.3623590,-0.0392242,-0.4594435,0.3327806
1.1958788,1.1958788,1.3673590,-0.0385695,-0.4567407,0.3321733
1.2008788,1.2008788,1.3723590,-0.0379278,-0.4540622,0.3315491
1.2058788,1.2058788,1.3773590,-0.0372988,-0.4514077,0.3309086
1.2108788,1.2108788,1.3823590,-0.0366822,-0.4487769,0.3302525
1.2158788,1.2158788,1.3873590,-0.0360777,-0.4461694,0.3295813
1.2208788,1.2208788,1.3923590,-0.0354850,-0.4435849,0.3288955
1.2258788,1.2258788,1.3973590,-0.0349038,-0.4410231,0.3281957
1.2308788,1.2308788,1.4023590,-0.0343340,-0.4384836,0.3274824
1.2358788,1.2358788,1.4073590,-0.0337752,-0.4359663,0.3267560
1.2408788,1.2408788,1.4123590,-0.0332272,-0.4334707,0.3260171
1.2458788,1.2458788,1.4173590,-0.0326898,-0.4309965,0.3252661
1.2508788,1.2508788,1.4223590,-0.0321626,-0.4285435,0.3245035
1.2558788,1.2558788,1.4273590,-0.0316456,-0.4261115,0.3237298
1.2608788,1.2608788,1.4323590,-0.0311384,-0.4237000,0.3229453
1.2658788,1.2658788,1.4373590,-0.0306408,-0.4213088,0.3221504
1.2708788,1.2708788,1.4423590,-0.0301527,-0.4189378,0.3213457
1.2758788,1.2758788,1.4473590,-0.0296737,-0.4165865,0.3205315
1.2808788,1.2808788,1.4523590,-0.0292038,-0.4142548,0.3197081
1.2858788,1.2858788,1.4573590,-0.0287427,-0.4119424,0.3188759
1.2908788,1.2908788,1.4623590,-0.0282903,-0.4096490,0.3180354
1.2958788,1.2958788,1.4673590,-0.0278462,-0.4073744,0.3171868
1.3008788,1.3008788,1.4723590,-0.0274105,-0.4051185,0.3163304
1.3058788,1.3058788,1.4773590,-0.0269828,-0.4028808,0.3154667
1.3108788,1.3108788,1.4823590,-0.0265630,-0.4006613,0.3145960
1.3158788,1.3158788,1.4873590,-0.0261509,-0.3984596,0.3137185
1.3208788,1.3208788,1.4923590,-0.0257464,-0.3962756,0.3128345
1.3258788,1.3258788,1.4973590,-0.0253493,-0.3941090,0.3119444
1.3308788,1.3308788,1.5023590,-0.0249594,-0.3919597,0.3110484
1.3358788,1.3358788,1.5073590,-0.0245767,-0.3898274,0.3101469
1.3408788,1.3408788,1.5123590,-0.0242009,-0.3877119,0.3092400
1.3458788,1.3458788,1.5173590,-0.0238318,-0.3856131,0.3083280
1.3508788,1.3508788,1.5223590,-0.0234695,-0.3835306,0.3074113
1.3558788,1.3558788,1.5273590,-0.0231136,-0.3814644,0.3064900
1.3608788,1.3608788,1.5323590,-0.0227642,-0.3794143,0.3055644
1.3658788,1.3658788,1.5373590,-0.0224209,-0.3773799,0.3046347
1.3708788,1.3708788,1.5423590,-0.0220838,-0.3753613,0.3037012
1.3758788,1.3758788,1.5473590,-0.0217527,-0.3733581,0.3027640
1.3808788,1.3808788,1.5523590,-0.0214274,-0.3713702,0.3018234
1.3858788,1.3858788,1.5573590,-0.0211079,-0.3693975,0.3008796
1.3908788,1.3908788,1.5623590,-0.0207940,-0.3674397,0.2999328
1.3958788,1.3958788,1.5673590,-0.0204857,-0.3654967,0.2989831
1.4008788,1.4008788,1.5723590,-0.0201827,-0.3635683,0.2980308
1.4058788,1.4058788,1.5773590,-0.0198850,-0.3616544,0.2970761
1.4108788,1.4108788,1.5823590,-0.0195925,-0.3597548,0.2961192
1.4158788,1.4158788,1.5873590,-0.0193051,-0.3578693,0.2951601
1.4208788,1.4208788,1.5923590,-0.0190227,-0.3559978,0.2941991
1.4258788,1.4258788,1.5973590,-0.0187451,-0.3541401,0.2932364
1.4308788,1.4308788,1.6023590,-0.0184723,-0.3522962,0.2922720
1.4358788,1.4358788,1.6073590,-0.0182042,-0.3504657,0.2913063
1.4408788,1.4408788,1.6123590,-0.0179407,-0.3486487,0.2903392
1.4458788,1.4458788,1.6173590,-0.0176817,-0.3468449,0.2893710
1.4508788,1.4508788,1.6223590,-0.0174271,-0.3450542,0.2884018
1.4558788,1.4558788,1.6273590,-0.0171768,-0.3432765,0.2874317
1.4608788,1.4608788,1.6323590,-0.0169307,-0.3415116,0.2864609
1.4658788,1.4658788,1.6373590,-0.0166889,-0.3397594,0.2854894
1.4708788,1.4708788,1.6423590,-0.0164510,-0.3380197,0.2845175
1.4758788,1.4758788,1.6473590,-0.0162172,-0.3362925,0.2835453
1.4808788,1.4808788,1.6523590,-0.0159873,-0.3345776,0.2825728
1.4858788,1.4858788,1.6573590,-0.0157612,-0.3328749,0.2816002
1.4908788,1.4908788,1.6623590,-0.0155389,-0.3311842,0.2806276
1.4958788,1.4958788,1.6673590,-0.0153203,-0.3295055,0.2796550
1.5008788,1.5008788,1.6723590,-0.0151053,-0.3278386,0.2786827
1.5058788,1.5058788,1.6773590,-0.0148939,-0.3261833,0.2777107
1.5108788,1.5108788,1.6823590,-0.0146860,-0.3245397,0.2767391
1.5158788,1.5158788,1.6873590,-0.0144814,-0.3229075,0.2757680
1.5208788,1.5208788,1.6923590,-0.0142803,-0.3212866,0.2747975
1.5258788,1.5258788,1.6973590,-0.0140824,-0.3196770,0.2738276
1.5308788,1.5308788,1.7023590,-0.0138877,-0.3180785,0.2728586
1.5358788,1.5358788,1.7073590,-0.0136962,-0.3164910,0.2718904
1.5408788,1.5408788,1.7123590,-0.0135078,-0.3149144,0.2709231
1.5458788,1.5458788,1.7173590,-0.0133225,-0.3133487,0.2699569
1.5508788,1.5508788,1.7223590,-0.0131401,-0.3117936,0.2689917
1.5558788,1.5558788,1.7273590,-0.0129607,-0.3102491,0.2680277
1.5608788,1.5608788,1.7323590,-0.0127842,-0.3087151,0.2670650
1.5658788,1.5658788,1.7373590,-0.0126105,-0.3071915,0.2661035
1.5708788,1.5708788,1.7423590,-0.0124396,-0.3056782,0.2651435
1.5758788,1.5758788,1.7473590,-0.0122714,-0.3041751,0.2641849
1.5808788,1.5808788,1.7523590,-0.0121058,-0.3026820,0.2632278
