# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
1.8050000,1.0550000,1.0292291,-0.0700679,-10.4645577,-13.9029036,-0.0176937,-0.1174820,-0.4938290,-1.5647701,-4.0703898
1.8100000,1.0600000,1.0342291,-0.0686365,-10.4082856,-13.8112546,-0.0173323,-0.1150826,-0.4837685,-1.5331610,-3.9899859
1.8150000,1.0650000,1.0392291,-0.0672405,-10.3523728,-13.7201231,-0.0169797,-0.1127422,-0.4739546,-1.5023131,-3.9114265
1.8200000,1.0700000,1.0442291,-0.0658786,-10.2968046,-13.6295068,-0.0166358,-0.1104593,-0.4643802,-1.4722053,-3.8346654
1.8250000,1.0750000,1.0492291,-0.0645501,-10.2415668,-13.5394040,-0.0163003,-0.1082321,-0.4550384,-1.4428172,-3.7596580
1.8300000,1.0800000,1.0542291,-0.0632539,-10.1866460,-13.4498124,-0.0159730,-0.1060591,-0.4459226,-1.4141290,-3.6863603
1.8350000,1.0850000,1.0592291,-0.0619890,-10.1320299,-13.3607303,-0.0156536,-0.1039387,-0.4370264,-1.3861214,-3.6147298
1.8400000,1.0900000,1.0642291,-0.0607547,-10.0777066,-13.2721557,-0.0153419,-0.1018694,-0.4283438,-1.3587760,-3.5447248
1.8450000,1.0950000,1.0692291,-0.0595500,-10.0236652,-13.1840868,-0.0150377,-0.0998497,-0.4198685,-1.3320745,-3.4763046
1.8500000,1.1000000,1.0742291,-0.0583741,-9.9698952,-13.0965218,-0.0147408,-0.0978783,-0.4115950,-1.3059995,-3.4094296
1.8550000,1.1050000,1.0792291,-0.0572262,-9.9163871,-13.0094589,-0.0144509,-0.0959539,-0.4035175,-1.2805340,-3.3440611
1.8600000,1.1100000,1.0842291,-0.0561055,-9.8631316,-12.9228964,-0.0141679,-0.0940750,-0.3956306,-1.2556616,-3.2801616
1.8650000,1.1150000,1.0892291,-0.0550112,-9.8101203,-12.8368326,-0.0138916,-0.0922404,-0.3879290,-1.2313663,-3.2176942
1.8700000,1.1200000,1.0942291,-0.0539427,-9.7573453,-12.7512658,-0.0136218,-0.0904490,-0.3804077,-1.2076326,-3.1566233
1.8750000,1.1250000,1.0992291,-0.0528992,-9.7047993,-12.6661942,-0.0133583,-0.0886995,-0.3730618,-1.1844456,-3.0969140
1.8800000,1.1300000,1.1042291,-0.0518800,-9.6524753,-12.5816163,-0.0131009,-0.0869907,-0.3658863,-1.1617905,-3.0385323
1.8850000,1.1350000,1.1092291,-0.0508844,-9.6003671,-12.4975304,-0.0128495,-0.0853216,-0.3588768,-1.1396533,-2.9814452
1.8900000,1.1400000,1.1142291,-0.0499119,-9.5484686,-12.4139348,-0.0126040,-0.0836910,-0.3520287,-1.1180203,-2.9256204
1.8950000,1.1450000,1.1192291,-0.0489617,-9.4967745,-12.3308279,-0.0123640,-0.0820980,-0.3453377,-1.0968782,-2.8710266
1.9000000,1.1500000,1.1242291,-0.0480333,-9.4452798,-12.2482081,-0.0121296,-0.0805414,-0.3387995,-1.0762141,-2.8176333
1.9050000,1.1550000,1.1292291,-0.0471262,-9.3939796,-12.1660738,-0.0119006,-0.0790204,-0.3324101,-1.0560154,-2.7654106
1.9100000,1.1600000,1.1342291,-0.0462396,-9.3428699,-12.0844232,-0.0116767,-0.0775340,-0.3261655,-1.0362699,-2.7143297
1.9150000,1.1650000,1.1392291,-0.0453731,-9.2919466,-12.0032549,-0.0114579,-0.0760812,-0.3200618,-1.0169660,-2.6643623
1.9200000,1.1700000,1.1442291,-0.0445262,-9.2412062,-11.9225672,-0.0112441,-0.0746612,-0.3140954,-0.9980921,-2.6154809
1.9250000,1.1750000,1.1492291,-0.0436983,-9.1906455,-11.8423585,-0.0110350,-0.0732731,-0.3082627,-0.9796371,-2.5676589
1.9300000,1.1800000,1.1542291,-0.0428889,-9.1402614,-11.7626271,-0.0108306,-0.0719160,-0.3025600,-0.9615902,-2.5208701
1.9350000,1.1850000,1.1592291,-0.0420976,-9.0900514,-11.6833715,-0.0106308,-0.0705891,-0.2969841,-0.9439410,-2.4750893
1.9400000,1.1900000,1.1642291,-0.0413238,-9.0400129,-11.6045899,-0.0104354,-0.0692917,-0.2915316,-0.9266792,-2.4302918
1.9450000,1.1950000,1.1692291,-0.0405671,-8.9901438,-11.5262808,-0.0102444,-0.0680230,-0.2861994,-0.9097950,-2.3864536
1.9500000,1.2000000,1.1742291,-0.0398271,-8.9404421,-11.4484425,-0.0100575,-0.0667822,-0.2809842,-0.8932787,-2.3435512
