# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol],UMinmethane(d)[kj/mol]
1.3021220,1.3021220,1.3100000,-0.2108625,-0.2134684
1.3121220,1.3121220,1.3200000,-0.2048701,-0.2074245
1.3221220,1.3221220,1.3300000,-0.1990841,-0.2015884
1.3321220,1.3321220,1.3400000,-0.1934961,-0.1959514
1.3421220,1.3421220,1.3500000,-0.1880981,-0.1905054
1.3521220,1.3521220,1.3600000,-0.1828822,-0.1852427
1.3621220,1.3621220,1.3700000,-0.1778413,-0.1801560
1.3721220,1.3721220,1.3800000,-0.1729682,-0.1752382
1.3821220,1.3821220,1.3900000,-0.1682565,-0.1704827
1.3921220,1.3921220,1.4000000,-0.1636997,-0.1658830
1.4021220,1.4021220,1.4100000,-0.1592917,-0.1614331
1.4121220,1.4121220,1.4200000,-0.1550269,-0.1571273
1.4221220,1.4221220,1.4300000,-0.1508996,-0.1529599
1.4321220,1.4321220,1.4400000,-0.1469047,-0.1489256
1.4421220,1.4421220,1.4500000,-0.1430370,-0.1450195
1.4521220,1.4521220,1.4600000,-0.1392919,-0.1412367
1.4621220,1.4621220,1.4700000,-0.1356646,-0.1375725
1.4721220,1.4721220,1.4800000,-0.1321508,-0.1340226
1.4821220,1.4821220,1.4900000,-0.1287463,-0.1305827
1.4921220,1.4921220,1.5000000,-0.1254470,-0.1272488
1.5021220,1.5021220,1.5100000,-0.1222492,-0.1240170
1.5121220,1.5121220,1.5200000,-0.1191491,-0.1208836
1.5221220,1.5221220,1.5300000,-0.1161432,-0.1178451
1.5321220,1.5321220,1.5400000,-0.1132282,-0.1148981
1.5421220,1.5421220,1.5500000,-0.1104007,-0.1120392
1.5521220,1.5521220,1.5600000,-0.1076577,-0.1092655
1.5621220,1.5621220,1.5700000,-0.1049962,-0.1065739
1.5721220,1.5721220,1.5800000,-0.1024133,-0.1039616
1.5821220,1.5821220,1.5900000,-0.0999063,-0.1014257
1.5921220,1.5921220,1.6000000,-0.0974726,-0.0989637
