# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
1.0489752,1.0489752,1.0377433,-0.1245070,-0.1002405,-0.2856121,-0.0315068,-0.2085861,-0.1245070,-0.1245070,-0.1467738,-0.0928276,-0.1278029,-0.1028945,-0.2931671,-0.0323414,-0.2141048,-0.1278029,-0.1278029,-0.1506591,-0.0952852
1.0539752,1.0539752,1.0427433,-0.1222630,-0.0984337,-0.2804663,-0.0309388,-0.2048280,-0.1222630,-0.1222630,-0.1441286,-0.0911546,-0.1254865,-0.1010293,-0.2878552,-0.0317550,-0.2102254,-0.1254865,-0.1254865,-0.1479283,-0.0935581
1.0589752,1.0589752,1.0477433,-0.1200681,-0.0966665,-0.2754329,-0.0303832,-0.2011520,-0.1200681,-0.1200681,-0.1415411,-0.0895182,-0.1232218,-0.0992058,-0.2826625,-0.0311817,-0.2064329,-0.1232218,-0.1232218,-0.1452586,-0.0918696
1.0639752,1.0639752,1.0527433,-0.1179210,-0.0949377,-0.2705089,-0.0298397,-0.1975558,-0.1179210,-0.1179210,-0.1390100,-0.0879174,-0.1210097,-0.0974247,-0.2775898,-0.0306217,-0.2027281,-0.1210097,-0.1210097,-0.1426509,-0.0902204
1.0689752,1.0689752,1.0577433,-0.1158203,-0.0932463,-0.2656916,-0.0293080,-0.1940376,-0.1158203,-0.1158203,-0.1365337,-0.0863512,-0.1188460,-0.0956826,-0.2726284,-0.0300740,-0.1991046,-0.1188460,-0.1188460,-0.1401003,-0.0886072
1.0739752,1.0739752,1.0627433,-0.1137650,-0.0915914,-0.2609781,-0.0287877,-0.1905952,-0.1137650,-0.1137650,-0.1341108,-0.0848188,-0.1167314,-0.0939799,-0.2677789,-0.0295387,-0.1955629,-0.1167314,-0.1167314,-0.1376075,-0.0870306
1.0789752,1.0789752,1.0677433,-0.1117538,-0.0899721,-0.2563658,-0.0282786,-0.1872267,-0.1117538,-0.1117538,-0.1317399,-0.0833194,-0.1146623,-0.0923140,-0.2630340,-0.0290149,-0.1920975,-0.1146623,-0.1146623,-0.1351684,-0.0854880
1.0839752,1.0839752,1.0727433,-0.1097857,-0.0883875,-0.2518521,-0.0277805,-0.1839303,-0.1097857,-0.1097857,-0.1294198,-0.0818520,-0.1126377,-0.0906838,-0.2583909,-0.0285024,-0.1887065,-0.1126377,-0.1126377,-0.1327817,-0.0839785
1.0889752,1.0889752,1.0777433,-0.1078595,-0.0868366,-0.2474345,-0.0272929,-0.1807040,-0.1078595,-0.1078595,-0.1271491,-0.0804159,-0.1106563,-0.0890886,-0.2538471,-0.0280009,-0.1853880,-0.1106563,-0.1106563,-0.1304460,-0.0825013
1.0939752,1.0939752,1.0827433,-0.1059742,-0.0853186,-0.2431107,-0.0268157,-0.1775462,-0.1059742,-0.1059742,-0.1249266,-0.0790103,-0.1087172,-0.0875273,-0.2494000,-0.0275101,-0.1821402,-0.1087172,-0.1087172,-0.1281601,-0.0810556
1.0989752,1.0989752,1.0877433,-0.1041287,-0.0838328,-0.2388781,-0.0263486,-0.1744550,-0.1041287,-0.1041287,-0.1227511,-0.0776344,-0.1068193,-0.0859991,-0.2450472,-0.0270297,-0.1789612,-0.1068193,-0.1068193,-0.1259227,-0.0796405
1.1039752,1.1039752,1.0927433,-0.1023221,-0.0823782,-0.2347346,-0.0258914,-0.1714290,-0.1023221,-0.1023221,-0.1206214,-0.0762874,-0.1049614,-0.0845032,-0.2407863,-0.0265595,-0.1758493,-0.1049614,-0.1049614,-0.1237325,-0.0782553
1.1089752,1.1089752,1.0977433,-0.1005533,-0.0809540,-0.2306779,-0.0254437,-0.1684663,-0.1005533,-0.1005533,-0.1185363,-0.0749687,-0.1031426,-0.0830388,-0.2366150,-0.0260991,-0.1728029,-0.1031426,-0.1031426,-0.1215885,-0.0768993
1.1139752,1.1139752,1.1027433,-0.0988215,-0.0795597,-0.2267059,-0.0250054,-0.1655654,-0.0988215,-0.0988215,-0.1164947,-0.0736775,-0.1013619,-0.0816051,-0.2325310,-0.0256484,-0.1698203,-0.1013619,-0.1013619,-0.1194893,-0.0755717
1.1189752,1.1189752,1.1077433,-0.0971257,-0.0781943,-0.2228164,-0.0245762,-0.1627248,-0.0971257,-0.0971257,-0.1144956,-0.0724132,-0.0996206,-0.0802032,-0.2285376,-0.0252077,-0.1669038,-0.0996206,-0.0996206,-0.1174367,-0.0742735
1.1239752,1.1239752,1.1127433,-0.0954650,-0.0768572,-0.2190075,-0.0241559,-0.1599431,-0.0954650,-0.0954650,-0.1125379,-0.0711750,-0.0979159,-0.0788306,-0.2246277,-0.0247762,-0.1640482,-0.0979159,-0.0979159,-0.1154270,-0.0730025
1.1289752,1.1289752,1.1177433,-0.0938385,-0.0755478,-0.2152771,-0.0237442,-0.1572187,-0.0938385,-0.0938385,-0.1106206,-0.0699624,-0.0962463,-0.0774864,-0.2207985,-0.0243536,-0.1612517,-0.0962463,-0.0962463,-0.1134589,-0.0717577
1.1339752,1.1339752,1.1227433,-0.0922455,-0.0742652,-0.2116233,-0.0233410,-0.1545503,-0.0922455,-0.0922455,-0.1087427,-0.0687748,-0.0946112,-0.0761699,-0.2170482,-0.0239398,-0.1585127,-0.0946112,-0.0946112,-0.1115313,-0.0705386
1.1389752,1.1389752,1.1277433,-0.0906851,-0.0730089,-0.2080443,-0.0229461,-0.1519365,-0.0906851,-0.0906851,-0.1069033,-0.0676114,-0.0930096,-0.0748804,-0.2133747,-0.0235344,-0.1558299,-0.0930096,-0.0930096,-0.1096433,-0.0693445
