# r[nm],d[nm],daligned[nm],Ucline(d)[kj/mol]
0.0865689,0.0865689,0.0717694,71385.4316597
0.0965689,0.0965689,0.0817694,48779.2493343
0.1065689,0.1065689,0.0917694,32927.0867486
0.1165689,0.1165689,0.1017694,22019.8720540
0.1265689,0.1265689,0.1117694,14624.1589970
0.1365689,0.1365689,0.1217694,9663.5126387
0.1465689,0.1465689,0.1317694,6361.5324152
0.1565689,0.1565689,0.1417694,4174.7351164
0.1665689,0.1665689,0.1517694,2730.9290212
0.1765689,0.1765689,0.1617694,1798.1313569
0.1865689,0.1865689,0.1717694,1171.1820003
0.1965689,0.1965689,0.1817694,758.2302685
0.2065689,0.2065689,0.1917694,486.1595390
0.2165689,0.2165689,0.2017694,306.8183640
0.2265689,0.2265689,0.2117694,188.5996298
0.2365689,0.2365689,0.2217694,110.6646093
0.2465689,0.2465689,0.2317694,59.4050755
0.2565689,0.2565689,0.2417694,25.9166452
0.2665689,0.2665689,0.2517694,4.2011847
0.2765689,0.2765689,0.2617694,-9.7807228
0.2865689,0.2865689,0.2717694,-18.6469211
0.2965689,0.2965689,0.2817694,-24.0549302
0.3065689,0.3065689,0.2917694,-27.0864951
0.3165689,0.3165689,0.3017694,-28.4438256
0.3265689,0.3265689,0.3117694,-28.6174434
0.3365689,0.3365689,0.3217694,-27.9890451
0.3465689,0.3465689,0.3317694,-26.8532254
0.3565689,0.3565689,0.3417694,-25.4239960
0.3665689,0.3665689,0.3517694,-23.8487466
0.3765689,0.3765689,0.3617694,-22.2249995
0.3865689,0.3865689,0.3717694,-20.6150654
0.3965689,0.3965689,0.3817694,-19.0571973
0.4065689,0.4065689,0.3917694,-17.5735404
0.4165689,0.4165689,0.4017694,-16.1756202
0.4265689,0.4265689,0.4117694,-14.8680664
0.4365689,0.4365689,0.4217694,-13.6511188
0.4465689,0.4465689,0.4317694,-12.5223023
0.4565689,0.4565689,0.4417694,-11.4775402
0.4665689,0.4665689,0.4517694,-10.5118888
0.4765689,0.4765689,0.4617694,-9.6200183
0.4865689,0.4865689,0.4717694,-8.7965202
0.4965689,0.4965689,0.4817694,-8.0361012
0.5065689,0.5065689,0.4917694,-7.3336991
0.5165689,0.5165689,0.5017694,-6.6845478
0.5265689,0.5265689,0.5117694,-6.0842085
0.5365689,0.5365689,0.5217694,-5.5285786
0.5465689,0.5465689,0.5317694,-5.0138871
0.5565689,0.5565689,0.5417694,-4.5366811
0.5665689,0.5665689,0.5517694,-4.0938078
0.5765689,0.5765689,0.5617694,-3.6823935
0.5865689,0.5865689,0.5717694,-3.2998227
0.5965689,0.5965689,0.5817694,-2.9437829
0.6065689,0.6065689,0.5917694,-2.6163752
0.6165689,0.6165689,0.6017694,-2.3885628
0.6265689,0.6265689,0.6117694,-2.6329066
0.6365689,0.6365689,0.6217694,-3.7070696
0.6465689,0.6465689,0.6317694,-5.0970341
0.6565689,0.6565689,0.6417694,-6.2354911
0.6665689,0.6665689,0.6517694,-6.9689416
0.6765689,0.6765689,0.6617694,-7.3256766
0.6865689,0.6865689,0.6717694,-7.3883738
0.6965689,0.6965689,0.6817694,-7.2460222
0.7065689,0.7065689,0.6917694,-6.9732228
0.7165689,0.7165689,0.7017694,-6.6252146
0.7265689,0.7265689,0.7117694,-6.2401138
0.7365689,0.7365689,0.7217694,-5.8430251
0.7465689,0.7465689,0.7317694,-5.4498407
0.7565689,0.7565689,0.7417694,-5.0701715
0.7665689,0.7665689,0.7517694,-4.7094437
0.7765689,0.7765689,0.7617694,-4.3703473
0.7865689,0.7865689,0.7717694,-4.0538190
0.7965689,0.7965689,0.7817694,-3.7597003
0.8065689,0.8065689,0.7917694,-3.4871764
0.8165689,0.8165689,0.8017694,-3.2350636
0.8265689,0.8265689,0.8117694,-3.0019975
0.8365689,0.8365689,0.8217694,-2.7865520
0.8465689,0.8465689,0.8317694,-2.5873142
0.8565689,0.8565689,0.8417694,-2.4029282
0.8665689,0.8665689,0.8517694,-2.2321207
0.8765689,0.8765689,0.8617694,-2.0738154
0.8865689,0.8865689,0.8717694,-1.9301058
0.8965689,0.8965689,0.8817694,-1.8309605
0.9065689,0.9065689,0.8917694,-1.8874709
0.9165689,0.9165689,0.9017694,-2.2323220
0.9265689,0.9265689,0.9117694,-2.8108520
0.9365689,0.9365689,0.9217694,-3.4055744
0.9465689,0.9465689,0.9317694,-3.8467180
0.9565689,0.9565689,0.9417694,-4.0835218
0.9665689,0.9665689,0.9517694,-4.1414537
0.9765689,0.9765689,0.9617694,-4.0704931
0.9865689,0.9865689,0.9717694,-3.9179974
0.9965689,0.9965689,0.9817694,-3.7202602
1.0065689,1.0065689,0.9917694,-3.5023413
1.0165689,1.0165689,1.0017694,-3.2803858
1.0265689,1.0265689,1.0117694,-3.0641571
1.0365689,1.0365689,1.0217694,-2.8591068
1.0465689,1.0465689,1.0317694,-2.6678926
1.0565689,1.0565689,1.0417694,-2.4914301
1.0665689,1.0665689,1.0517694,-2.3295965
1.0765689,1.0765689,1.0617694,-2.1816877
1.0865689,1.0865689,1.0717694,-2.0467075
1.0965689,1.0965689,1.0817694,-1.9235450
1.1065689,1.1065689,1.0917694,-1.8110796
1.1165689,1.1165689,1.1017694,-1.7082398
1.1265689,1.1265689,1.1117694,-1.6140323
1.1365689,1.1365689,1.1217694,-1.5275551
1.1465689,1.1465689,1.1317694,-1.4479987
1.1565689,1.1565689,1.1417694,-1.3746429
1.1665689,1.1665689,1.1517694,-1.3068498
1.1765689,1.1765689,1.1617694,-1.2440560
1.1865689,1.1865689,1.1717694,-1.1857644
1.1965689,1.1965689,1.1817694,-1.1315369
1.2065689,1.2065689,1.1917694,-1.0809864
1.2165689,1.2165689,1.2017694,-1.0337712
1.2265689,1.2265689,1.2117694,-0.9895886
1.2365689,1.2365689,1.2217694,-0.9481701
1.2465689,1.2465689,1.2317694,-0.9092771
1.2565689,1.2565689,1.2417694,-0.8726970
1.2665689,1.2665689,1.2517694,-0.8382400
1.2765689,1.2765689,1.2617694,-0.8057361
1.2865689,1.2865689,1.2717694,-0.7750326
1.2965689,1.2965689,1.2817694,-0.7459924
1.3065689,1.3065689,1.2917694,-0.7184916
1.3165689,1.3165689,1.3017694,-0.6924184
1.3265689,1.3265689,1.3117694,-0.6676713
1.3365689,1.3365689,1.3217694,-0.6441583
1.3465689,1.3465689,1.3317694,-0.6217956
1.3565689,1.3565689,1.3417694,-0.6005068
1.3665689,1.3665689,1.3517694,-0.5802219
1.3765689,1.3765689,1.3617694,-0.5608771
1.3865689,1.3865689,1.3717694,-0.5424137
1.3965689,1.3965689,1.3817694,-0.5247776
1.4065689,1.4065689,1.3917694,-0.5079193
1.4165689,1.4165689,1.4017694,-0.4917929
1.4265689,1.4265689,1.4117694,-0.4763560
1.4365689,1.4365689,1.4217694,-0.4615695
1.4465689,1.4465689,1.4317694,-0.4473972
1.4565689,1.4565689,1.4417694,-0.4338052
1.4665689,1.4665689,1.4517694,-0.4207622
1.4765689,1.4765689,1.4617694,-0.4082392
1.4865689,1.4865689,1.4717694,-0.3962089
