# r[nm],d[nm],daligned[nm],Ucarbring(d)[kj/mol],UMincarbring(d)[kj/mol]
1.2075162,1.2075162,1.3400000,-0.4663492,-0.4853774
1.2175162,1.2175162,1.3500000,-0.4523203,-0.4707343
1.2275162,1.2275162,1.3600000,-0.4387975,-0.4566222
1.2375162,1.2375162,1.3700000,-0.4257594,-0.4430181
1.2475162,1.2475162,1.3800000,-0.4131854,-0.4299005
1.2575162,1.2575162,1.3900000,-0.4010560,-0.4172520
1.2675162,1.2675162,1.4000000,-0.3893527,-0.4050607
1.2775162,1.2775162,1.4100000,-0.3780578,-0.3932957
1.2875162,1.2875162,1.4200000,-0.3671544,-0.3819391
1.2975162,1.2975162,1.4300000,-0.3566267,-0.3709744
1.3075162,1.3075162,1.4400000,-0.3464594,-0.3603856
1.3175162,1.3175162,1.4500000,-0.3366379,-0.3501575
1.3275162,1.3275162,1.4600000,-0.3271485,-0.3402756
1.3375162,1.3375162,1.4700000,-0.3179779,-0.3307261
1.3475162,1.3475162,1.4800000,-0.3091135,-0.3214958
1.3575162,1.3575162,1.4900000,-0.3005434,-0.3125723
1.3675162,1.3675162,1.5000000,-0.2922560,-0.3039435
1.3775162,1.3775162,1.5100000,-0.2842405,-0.2955979
1.3875162,1.3875162,1.5200000,-0.2764863,-0.2875247
1.3975162,1.3975162,1.5300000,-0.2689834,-0.2797134
1.4075162,1.4075162,1.5400000,-0.2617224,-0.2721541
1.4175162,1.4175162,1.5500000,-0.2546941,-0.2648372
1.4275162,1.4275162,1.5600000,-0.2478898,-0.2577537
1.4375162,1.4375162,1.5700000,-0.2413011,-0.2508947
1.4475162,1.4475162,1.5800000,-0.2349200,-0.2442520
1.4575162,1.4575162,1.5900000,-0.2287388,-0.2378176
1.4675162,1.4675162,1.6000000,-0.2227503,-0.2315838
1.4775162,1.4775162,1.6100000,-0.2169475,-0.2255433
1.4875162,1.4875162,1.6200000,-0.2113236,-0.2196892
1.4975162,1.4975162,1.6300000,-0.2058721,-0.2140147
1.5075162,1.5075162,1.6400000,-0.2005870,-0.2085142
1.5175162,1.5175162,1.6500000,-0.1954623,-0.2031817
1.5275162,1.5275162,1.6600000,-0.1904923,-0.1980100
1.5375162,1.5375162,1.6700000,-0.1856715,-0.1929937
1.5475162,1.5475162,1.6800000,-0.1809948,-0.1881272
1.5575162,1.5575162,1.6900000,-0.1764572,-0.1834053
1.5675162,1.5675162,1.7000000,-0.1720538,-0.1788231
1.5775162,1.5775162,1.7100000,-0.1677800,-0.1743757
1.5875162,1.5875162,1.7200000,-0.1636314,-0.1700585
1.5975162,1.5975162,1.7300000,-0.1596036,-0.1658672
