# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
-0.1875600,-0.1875600,-0.1806453,8284.8828403,4897.0215048,39459.1388544,223.3235888,27506.6788947,677870.5053268,8330983.8494156,66073895.0960810
-0.1825600,-0.1825600,-0.1756453,9217.7195323,5461.0493894,43749.0479412,260.3929292,30502.0473251,749348.9888172,9204388.8564109,72990677.1087839
-0.1775600,-0.1775600,-0.1706453,10653.1818694,6329.4413274,50344.8827083,317.8673982,35107.6796429,859165.6605887,10546057.6194779,83615394.2932615
-0.1725600,-0.1725600,-0.1656453,12830.1317040,7647.1181177,60339.1157903,405.7065974,42086.5786168,1025433.2144352,12577099.5994756,99698652.1867597
-0.1675600,-0.1675600,-0.1606453,16116.5635700,9637.4048016,75414.1312367,539.3088104,52613.7751619,1276034.2749068,15637865.1210519,123935079.5092372
-0.1625600,-0.1625600,-0.1556453,20994.8692047,12592.3851398,97783.3613355,738.2316256,68234.9324415,1647774.2811980,20177908.7817663,159884487.7130717
-0.1575600,-0.1575600,-0.1506453,26078.9778976,15662.3702306,121213.1238200,936.4406591,84592.8040916,2038897.9223210,24958833.4505057,197749747.9047498
-0.1525600,-0.1525600,-0.1456453,31608.4074129,19013.4028788,146548.1980483,1163.4616442,102285.7672511,2459626.4595625,30096466.6956223,238429605.3750851
-0.1475600,-0.1475600,-0.1406453,36341.9114763,21870.6825606,168374.2780712,1347.0624784,117523.6024421,2824159.7225957,34552786.2855692,273724836.9051383
-0.1425600,-0.1425600,-0.1356453,38478.8719525,23165.4612409,178169.1136760,1434.5202561,124363.7893341,2986872.2555619,36539841.6804922,289458631.9640207
-0.1375600,-0.1375600,-0.1306453,41601.8242009,25058.8131987,192469.2039215,1563.4279159,134350.6727638,3224214.3855248,39437777.9966899,312403892.2672548
