# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
-0.0540250,-0.0540250,0.1521786,97.7230318,-6281.7105677,6342.0035352,7.7745273,285.0022647,6393.4331236,70133.9636421,509880.5966940
-0.0490250,-0.0490250,0.1571786,90.8476232,-6299.8425652,6276.4048902,7.2141931,263.9287837,5967.5828260,65585.9361543,477205.7492847
-0.0440250,-0.0440250,0.1621786,83.9236271,-6320.9769181,6220.0835734,6.6989209,245.2500055,5587.5492470,61311.8574797,441619.0642940
-0.0390250,-0.0390250,0.1671786,75.6401258,-6339.1634609,6171.2489009,6.2260029,219.8844496,4989.7923559,54147.1074689,390171.0275619
-0.0340250,-0.0340250,0.1721786,67.2491611,-6352.7897816,6128.4904276,5.7906584,207.6182719,4421.7756335,48097.0475037,346767.8170705
-0.0290250,-0.0290250,0.1771786,59.7745895,-6362.7614369,6090.6928625,5.3876229,184.1424083,3938.0357101,42946.2311592,309845.6233009
-0.0240250,-0.0240250,0.1821786,53.2151681,-6369.7745284,6056.9704333,5.0124282,163.8608985,3522.7515495,38524.4735400,278170.0273284
-0.0190250,-0.0190250,0.1871786,47.3661426,-6374.3657415,6026.6162503,4.6621822,146.0859759,3163.3870103,34697.0796427,250764.8715831
-0.0140250,-0.0140250,0.1921786,42.0906312,-6376.9504542,5999.0632252,4.3355693,129.4764752,2780.9569209,30395.6177689,218943.9416862
-0.0090250,-0.0090250,0.1971786,37.3597529,-6377.8517393,5973.8538787,4.0322182,113.4506399,2425.5838454,26609.7732682,191823.9032253
-0.0040250,-0.0040250,0.2021786,33.1778162,-6377.3224245,5950.6169842,3.7519537,99.1084522,2124.3322006,23400.0988608,168847.8719499
0.0009750,0.0009750,0.2071786,29.5263064,-6375.5618607,5929.0494642,3.4942869,86.7740122,1867.2630853,20659.8621583,149242.6763647
0.0059750,0.0059750,0.2121786,26.3609924,-6372.7286590,5908.9023237,3.2581584,76.2336167,1646.5241869,18304.9073474,132399.5691754
0.0109750,0.0109750,0.2171786,23.6261414,-6368.9503585,5889.9696900,3.0418157,67.2079805,1455.8746829,16268.4955914,117836.5502378
0.0159750,0.0159750,0.2221786,21.2651295,-6364.3307585,5872.0802423,2.8427809,59.4495147,1290.3243179,14497.3865667,105169.7600380
0.0209750,0.0209750,0.2271786,19.2252752,-6358.9554741,5855.0904871,2.6579492,52.7523803,1145.8580236,12948.8500024,94091.6700735
0.0259750,0.0259750,0.2321786,17.4592443,-6352.8961418,5838.8794605,2.4838737,46.9478776,1019.2248913,11588.3769105,84354.3868989
0.0309750,0.0309750,0.2371786,15.9249412,-6349.2315305,5823.3445378,2.3172306,41.8981105,907.7757584,10387.9193773,75756.8189629
