# r[nm],d[nm],daligned[nm],UwaterUCD(d)[kj/mol]
-0.6573057,-0.6573057,-0.5460080,156.4396954
-0.6473057,-0.6473057,-0.5360080,151.0007276
-0.6373057,-0.6373057,-0.5260080,148.7400103
-0.6273057,-0.6273057,-0.5160080,150.2887838
-0.6173057,-0.6173057,-0.5060080,161.2758896
-0.6073057,-0.6073057,-0.4960080,176.3272354
-0.5973057,-0.5973057,-0.4860080,195.7956756
-0.5873057,-0.5873057,-0.4760080,219.2689056
-0.5773057,-0.5773057,-0.4660080,245.3676791
-0.5673057,-0.5673057,-0.4560080,272.8903578
-0.5573057,-0.5573057,-0.4460080,300.8247867
-0.5473057,-0.5473057,-0.4360080,320.6925859
-0.5373057,-0.5373057,-0.4260080,344.1342945
-0.5273057,-0.5273057,-0.4160080,375.3595617
-0.5173057,-0.5173057,-0.4060080,410.6003997
-0.5073057,-0.5073057,-0.3960080,424.1183933
-0.4973057,-0.4973057,-0.3860080,417.0986047
-0.4873057,-0.4873057,-0.3760080,408.0139666
-0.4773057,-0.4773057,-0.3660080,395.5896606
-0.4673057,-0.4673057,-0.3560080,377.1930312
-0.4573057,-0.4573057,-0.3460080,353.6782790
-0.4473057,-0.4473057,-0.3360080,327.4823221
-0.4373057,-0.4373057,-0.3260080,299.3454851
-0.4273057,-0.4273057,-0.3160080,268.8311484
-0.4173057,-0.4173057,-0.3060080,235.1181100
-0.4073057,-0.4073057,-0.2960080,202.8571353
-0.3973057,-0.3973057,-0.2860080,176.0100995
-0.3873057,-0.3873057,-0.2760080,157.1181428
-0.3773057,-0.3773057,-0.2660080,147.9512674
-0.3673057,-0.3673057,-0.2560080,149.2363633
-0.3573057,-0.3573057,-0.2460080,162.9557133
-0.3473057,-0.3473057,-0.2360080,194.2251801
-0.3373057,-0.3373057,-0.2260080,195.9993781
-0.3273057,-0.3273057,-0.2160080,218.9198211
-0.3173057,-0.3173057,-0.2060080,254.3461670
-0.3073057,-0.3073057,-0.1960080,263.2957763
-0.2973057,-0.2973057,-0.1860080,284.9934596
-0.2873057,-0.2873057,-0.1760080,276.1208880
-0.2773057,-0.2773057,-0.1660080,262.1330191
-0.2673057,-0.2673057,-0.1560080,240.5513448
-0.2573057,-0.2573057,-0.1460080,195.8227252
-0.2473057,-0.2473057,-0.1360080,172.1768081
-0.2373057,-0.2373057,-0.1260080,169.8748201
-0.2273057,-0.2273057,-0.1160080,181.6413099
-0.2173057,-0.2173057,-0.1060080,204.8838625
-0.2073057,-0.2073057,-0.0960080,236.4332303
-0.1973057,-0.1973057,-0.0860080,273.6043936
-0.1873057,-0.1873057,-0.0760080,315.0917762
-0.1773057,-0.1773057,-0.0660080,355.9209575
-0.1673057,-0.1673057,-0.0560080,360.5108781
-0.1573057,-0.1573057,-0.0460080,363.0229327
-0.1473057,-0.1473057,-0.0360080,363.4261552
-0.1373057,-0.1373057,-0.0260080,360.8099199
-0.1273057,-0.1273057,-0.0160080,354.6031837
-0.1173057,-0.1173057,-0.0060080,345.8690517
-0.1073057,-0.1073057,0.0039920,335.5542888
-0.0973057,-0.0973057,0.0139920,323.2048868
-0.0873057,-0.0873057,0.0239920,309.6480234
-0.0773057,-0.0773057,0.0339920,296.4211078
-0.0673057,-0.0673057,0.0439920,283.7177073
-0.0573057,-0.0573057,0.0539920,271.1379776
-0.0473057,-0.0473057,0.0639920,258.2382672
-0.0373057,-0.0373057,0.0739920,244.5499780
-0.0273057,-0.0273057,0.0839920,229.3903527
-0.0173057,-0.0173057,0.0939920,208.2563176
-0.0073057,-0.0073057,0.1039920,167.7444888
0.0026943,0.0026943,0.1139920,134.7807347
0.0126943,0.0126943,0.1239920,108.3897897
0.0226943,0.0226943,0.1339920,87.1613883
0.0326943,0.0326943,0.1439920,69.6847293
0.0426943,0.0426943,0.1539920,55.0335414
0.0526943,0.0526943,0.1639920,42.9844450
0.0626943,0.0626943,0.1739920,33.1470866
0.0726943,0.0726943,0.1839920,25.0269103
