# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
2.6950000,1.9450000,1.9227756,-0.0045950,11.8705700,-11.9040731
2.7000000,1.9500000,1.9277756,-0.0045404,11.8517975,-11.8849664
2.7050000,1.9550000,1.9327756,-0.0044867,11.8330797,-11.8659184
2.7100000,1.9600000,1.9377756,-0.0044337,11.8144163,-11.8469290
2.7150000,1.9650000,1.9427756,-0.0043815,11.7958071,-11.8279977
2.7200000,1.9700000,1.9477756,-0.0043299,11.7772520,-11.8091244
2.7250000,1.9750000,1.9527756,-0.0042791,11.7587506,-11.7903087
2.7300000,1.9800000,1.9577756,-0.0042290,11.7403028,-11.7715504
2.7350000,1.9850000,1.9627756,-0.0041796,11.7219085,-11.7528493
2.7400000,1.9900000,1.9677756,-0.0041309,11.7035672,-11.7342050
2.7450000,1.9950000,1.9727756,-0.0040829,11.6852790,-11.7156173
