# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.4508333,0.4508333,0.4324119,-5.0943903,-4.0099522,-12.1849708,-1.0795518,-8.8811277,-34.3209129,-23.4082608,608.9827920
0.4558333,0.4558333,0.4374119,-4.9029757,-3.8575748,-11.7477960,-1.0373760,-8.5611709,-33.6838907,-31.0878821,518.3377898
0.4608333,0.4608333,0.4424119,-4.7202483,-3.7122945,-11.3282659,-0.9972857,-8.2542746,-33.0066537,-37.5342814,438.8421612
0.4658333,0.4658333,0.4474119,-4.5457831,-3.5737421,-10.9257869,-0.9591581,-7.9599790,-32.2995682,-42.9105918,369.1135901
0.4708333,0.4708333,0.4524119,-4.3791730,-3.4415667,-10.5397497,-0.9228782,-7.6778168,-31.5713378,-47.3587688,307.9483569
0.4758333,0.4758333,0.4574119,-4.2200288,-3.3154360,-10.1695381,-0.8883390,-7.4073188,-30.8292501,-51.0025007,254.2971611
0.4808333,0.4808333,0.4624119,-4.0679788,-3.1950349,-9.8145362,-0.8554405,-7.1480188,-30.0793875,-53.9496263,207.2443686
0.4858333,0.4858333,0.4674119,-3.9226691,-3.0800652,-9.4741334,-0.8240892,-6.8994566,-29.3268080,-56.2941769,169.4743578
0.4908333,0.4908333,0.4724119,-3.7837629,-2.9702450,-9.1477288,-0.7941979,-6.6611813,-28.5756989,-58.1181284,132.9511364
0.4958333,0.4958333,0.4774119,-3.6509403,-2.8653077,-8.8347346,-0.7656847,-6.4327529,-27.8295082,-59.4929239,100.9425657
0.5008333,0.5008333,0.4824119,-3.5238974,-2.7650014,-8.5345781,-0.7384733,-6.2137444,-27.0910568,-60.4808039,72.9122277
0.5058333,0.5058333,0.4874119,-3.4023459,-2.6690881,-8.2467037,-0.7124923,-6.0037421,-26.3626335,-61.1359735,48.3898881
0.5108333,0.5108333,0.4924119,-3.2860126,-2.5773431,-7.9705740,-0.6876744,-5.8023472,-25.6460765,-61.5056257,26.9627924
0.5158333,0.5158333,0.4974119,-3.1746384,-2.4895541,-7.7056710,-0.6639571,-5.6091753,-24.9428425,-61.6308383,8.2680857
0.5208333,0.5208333,0.5024119,-3.0679780,-2.4055207,-7.4514959,-0.6412813,-5.4238575,-24.2540659,-61.5473586,-8.0136954
0.5258333,0.5258333,0.5074119,-2.9657992,-2.3250537,-7.2075699,-0.6195920,-5.2460398,-23.5806090,-61.2862890,-22.1641686
0.5308333,0.5308333,0.5124119,-2.8678819,-2.2479745,-6.9734337,-0.5988371,-5.0753832,-22.9231049,-60.8746848,-34.4318329
0.5358333,0.5358333,0.5174119,-2.7740179,-2.1741143,-6.7486475,-0.5789682,-4.9115635,-22.2819939,-60.3360750,-45.0361193
0.5408333,0.5408333,0.5224119,-2.6840102,-2.1033138,-6.5327907,-0.5599394,-4.7542708,-21.6575547,-59.6909166,-54.1708907
0.5458333,0.5458333,0.5274119,-2.5976722,-2.0354226,-6.3254614,-0.5417077,-4.6032094,-21.0499313,-58.9569887,-62.0074884
0.5508333,0.5508333,0.5324119,-2.5148273,-1.9702983,-6.1262758,-0.5242328,-4.4580971,-20.4591551,-58.1497362,-68.6973987
0.5558333,0.5558333,0.5374119,-2.4353084,-1.9078068,-5.9348679,-0.5074766,-4.3186650,-19.8851643,-57.2825686,-74.3745951
0.5608333,0.5608333,0.5424119,-2.3589573,-1.8478209,-5.7508885,-0.4914032,-4.1846566,-19.3278207,-56.3671201,-79.1575999
0.5658333,0.5658333,0.5474119,-2.2856242,-1.7902208,-5.5740049,-0.4759789,-4.0558279,-18.7869234,-55.4134756,-83.1513010
0.5708333,0.5708333,0.5524119,-2.2151672,-1.7348929,-5.4039000,-0.4611720,-3.9319464,-18.2622204,-54.4303680,-86.4485518
0.5758333,0.5758333,0.5574119,-2.1474520,-1.6817298,-5.2402720,-0.4469524,-3.8127908,-17.7534193,-53.4253496,-89.1315809
0.5808333,0.5808333,0.5624119,-2.0823514,-1.6306301,-5.0828333,-0.4332919,-3.6981504,-17.2601956,-52.4049419,-91.2732342
0.5858333,0.5858333,0.5674119,-2.0197448,-1.5814976,-4.9313101,-0.4201638,-3.5878248,-16.7821997,-51.3747659,-92.9380677
0.5908333,0.5908333,0.5724119,-1.9595180,-1.5342414,-4.7854420,-0.4075429,-3.4816233,-16.3190634,-50.3396560,-94.1833111
0.5958333,0.5958333,0.5774119,-1.9015627,-1.4887753,-4.6449810,-0.3954054,-3.3793644,-15.8704052,-49.3037592,-95.0597152
0.6008333,0.6008333,0.5824119,-1.8457762,-1.4450177,-4.5096909,-0.3837287,-3.2808755,-15.4358342,-48.2706223,-95.6122990
0.6058333,0.6058333,0.5874119,-1.7920612,-1.4028914,-4.3793471,-0.3724917,-3.1859923,-15.0149542,-47.2432672,-95.8810076
0.6108333,0.6108333,0.5924119,-1.7403253,-1.3623229,-4.2537358,-0.3616742,-3.0945584,-14.6073666,-46.2242578,-95.9012922
0.6158333,0.6158333,0.5974119,-1.6904809,-1.3232429,-4.1326534,-0.3512571,-3.0064252,-14.2126729,-45.2157579,-95.7046213
0.6208333,0.6208333,0.6024119,-1.6424448,-1.2855854,-4.0159062,-0.3412224,-2.9214511,-13.8304770,-44.2195817,-95.3189324
0.6258333,0.6258333,0.6074119,-1.5961380,-1.2492880,-3.9033096,-0.3315531,-2.8395014,-13.4603869,-43.2372387,-94.7690298
0.6308333,0.6308333,0.6124119,-1.5514855,-1.2142912,-3.7946882,-0.3222329,-2.7604477,-13.1020158,-42.2699726,-94.0769369
0.6358333,0.6358333,0.6174119,-1.5084161,-1.1805387,-3.6898745,-0.3132465,-2.6841680,-12.7549838,-41.3187956,-93.2622067
