# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
1.5139128,1.5139128,1.7152297,-0.0498583,-0.0389862,-0.1223569
1.5189128,1.5189128,1.7202297,-0.0492137,-0.0384822,-0.1207748
1.5239128,1.5239128,1.7252297,-0.0485791,-0.0379859,-0.1192173
1.5289128,1.5289128,1.7302297,-0.0479543,-0.0374974,-0.1176839
1.5339128,1.5339128,1.7352297,-0.0473391,-0.0370164,-0.1161742
1.5389128,1.5389128,1.7402297,-0.0467335,-0.0365428,-0.1146877
1.5439128,1.5439128,1.7452297,-0.0461371,-0.0360764,-0.1132241
1.5489128,1.5489128,1.7502297,-0.0455498,-0.0356173,-0.1117828
1.5539128,1.5539128,1.7552297,-0.0449715,-0.0351651,-0.1103636
1.5589128,1.5589128,1.7602297,-0.0444021,-0.0347198,-0.1089659
1.5639128,1.5639128,1.7652297,-0.0438412,-0.0342812,-0.1075895
1.5689128,1.5689128,1.7702297,-0.0432889,-0.0338493,-0.1062339
1.5739128,1.5739128,1.7752297,-0.0427449,-0.0334240,-0.1048988
1.5789128,1.5789128,1.7802297,-0.0422091,-0.0330050,-0.1035838
1.5839128,1.5839128,1.7852297,-0.0416813,-0.0325923,-0.1022886
1.5889128,1.5889128,1.7902297,-0.0411615,-0.0321858,-0.1010128
1.5939128,1.5939128,1.7952297,-0.0406494,-0.0317854,-0.0997560
1.5989128,1.5989128,1.8002297,-0.0401449,-0.0313910,-0.0985179
1.6039128,1.6039128,1.8052297,-0.0396479,-0.0310024,-0.0972983
1.6089128,1.6089128,1.8102297,-0.0391583,-0.0306195,-0.0960967
1.6139128,1.6139128,1.8152297,-0.0386760,-0.0302423,-0.0949129
1.6189128,1.6189128,1.8202297,-0.0382007,-0.0298707,-0.0937465
1.6239128,1.6239128,1.8252297,-0.0377325,-0.0295046,-0.0925973
1.6289128,1.6289128,1.8302297,-0.0372711,-0.0291438,-0.0914650
1.6339128,1.6339128,1.8352297,-0.0368164,-0.0287883,-0.0903492
1.6389128,1.6389128,1.8402297,-0.0363684,-0.0284380,-0.0892497
1.6439128,1.6439128,1.8452297,-0.0359269,-0.0280927,-0.0881662
1.6489128,1.6489128,1.8502297,-0.0354918,-0.0277525,-0.0870984
1.6539128,1.6539128,1.8552297,-0.0350630,-0.0274173,-0.0860461
1.6589128,1.6589128,1.8602297,-0.0346404,-0.0270868,-0.0850089
1.6639128,1.6639128,1.8652297,-0.0342239,-0.0267611,-0.0839868
1.6689128,1.6689128,1.8702297,-0.0338134,-0.0264401,-0.0829793
1.6739128,1.6739128,1.8752297,-0.0334088,-0.0261237,-0.0819862
1.6789128,1.6789128,1.8802297,-0.0330099,-0.0258118,-0.0810073
1.6839128,1.6839128,1.8852297,-0.0326167,-0.0255044,-0.0800424
1.6889128,1.6889128,1.8902297,-0.0322292,-0.0252013,-0.0790913
1.6939128,1.6939128,1.8952297,-0.0318471,-0.0249026,-0.0781536
1.6989128,1.6989128,1.9002297,-0.0314704,-0.0246080,-0.0772292
1.7039128,1.7039128,1.9052297,-0.0310991,-0.0243177,-0.0763178
1.7089128,1.7089128,1.9102297,-0.0307329,-0.0240314,-0.0754193
1.7139128,1.7139128,1.9152297,-0.0303719,-0.0237491,-0.0745334
1.7189128,1.7189128,1.9202297,-0.0300160,-0.0234708,-0.0736599
1.7239128,1.7239128,1.9252297,-0.0296651,-0.0231964,-0.0727987
1.7289128,1.7289128,1.9302297,-0.0293190,-0.0229258,-0.0719494
1.7339128,1.7339128,1.9352297,-0.0289778,-0.0226590,-0.0711120
1.7389128,1.7389128,1.9402297,-0.0286413,-0.0223959,-0.0702862
1.7439128,1.7439128,1.9452297,-0.0283095,-0.0221364,-0.0694718
1.7489128,1.7489128,1.9502297,-0.0279822,-0.0218805,-0.0686687
1.7539128,1.7539128,1.9552297,-0.0276595,-0.0216281,-0.0678766
1.7589128,1.7589128,1.9602297,-0.0273411,-0.0213792,-0.0670954
1.7639128,1.7639128,1.9652297,-0.0270272,-0.0211337,-0.0663250
