# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
1.1150000,0.3650000,0.3351329,-4.3179453,-76.3816213,-155.3616216,-1.4223064,-5.6268822,-34.0307167,-76.2580531,-5.1436327,-3.1494665,-5.9024072,-90.8551278,-169.3476647,-2.5068301,-7.3666461,-48.3909560,-89.4327207,-6.9579866,-4.4006171
1.1200000,0.3700000,0.3401329,-4.1982854,-75.4982843,-153.3668583,-1.3664395,-5.6131539,-33.5590346,-74.5838648,-5.0002673,-3.0634291,-5.7798226,-90.0240753,-167.0713338,-2.4059629,-7.2981772,-47.9075789,-87.5836799,-6.8134792,-4.3092226
1.1250000,0.3750000,0.3451329,-4.0741667,-74.6293888,-151.2083510,-1.3137560,-5.5677148,-33.0752299,-72.9044484,-4.8516781,-2.9739655,-5.6399531,-89.1978835,-164.5978961,-2.3060005,-7.1961378,-47.4196547,-85.9116060,-6.6485956,-4.2049410
1.1300000,0.3800000,0.3501329,-3.9475421,-73.7756192,-148.9179130,-1.2637505,-5.4969954,-32.5837424,-71.2281707,-4.7001983,-2.8825727,-5.4875599,-88.3783751,-161.9730989,-2.2075780,-7.0679477,-46.9301495,-84.3453654,-6.4689486,-4.0913223
1.1350000,0.3850000,0.3551329,-3.8199750,-72.9370993,-146.5208857,-1.2160237,-5.4064508,-32.0884926,-69.5621434,-4.5476511,-2.7905404,-5.3264739,-87.5669954,-159.7379367,-2.1112013,-6.9618594,-46.4414392,-82.7662027,-6.2790541,-3.9712225
1.1400000,0.3900000,0.3601329,-3.6927836,-72.1136722,-144.0388703,-1.1702716,-5.3006642,-31.5928136,-67.9123806,-4.3955017,-2.6990177,-5.1597716,-86.7648818,-157.4891972,-2.0172659,-6.8996037,-45.9554184,-81.1833766,-6.0825390,-3.8469355
1.1450000,0.3950000,0.3651329,-3.5671390,-71.3050644,-141.4912069,-1.1261807,-5.1834517,-31.0994450,-66.2839219,-4.2450032,-2.6090027,-4.9899169,-85.9729189,-155.1186720,-1.9260734,-6.8206157,-45.4735894,-79.6045835,-5.8823077,-3.7202980
1.1500000,0.4000000,0.3701329,-3.4440796,-70.5109727,-138.8955803,-1.0833900,-5.0579569,-30.6105694,-64.6809371,-4.0972807,-2.5212894,-4.8188755,-85.1917843,-152.6570175,-1.8378459,-6.7138105,-44.9971336,-78.0361801,-5.6806774,-3.5927758
1.1550000,0.4050000,0.3751329,-3.3244587,-69.7311033,-136.2681677,-1.0415613,-4.9267391,-30.1278748,-63.1068174,-3.9533229,-2.4364315,-4.6482075,-84.4219852,-150.1301439,-1.7527389,-6.5853014,-44.5269702,-76.4833774,-5.4794873,-3.4655321
1.1600000,0.4100000,0.3801329,-3.2088863,-68.9651849,-133.6236174,-1.0004708,-4.7918674,-29.6526262,-61.5642591,-3.8139136,-2.3547594,-4.4882609,-83.6638889,-147.5598807,-1.6708517,-6.4401334,-44.0638038,-74.9504073,-5.2909361,-3.3462818
