# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm]
1.8950000,1.1450000,1.1167333,-0.0842853,-0.0123414
1.9000000,1.1500000,1.1217333,-0.0825522,-0.0122686
1.9050000,1.1550000,1.1267333,-0.0808625,-0.0121961
1.9100000,1.1600000,1.1317333,-0.0792149,-0.0121239
1.9150000,1.1650000,1.1367333,-0.0776082,-0.0120520
1.9200000,1.1700000,1.1417333,-0.0760412,-0.0119805
1.9250000,1.1750000,1.1467333,-0.0745126,-0.0119092
1.9300000,1.1800000,1.1517333,-0.0730214,-0.0118383
1.9350000,1.1850000,1.1567333,-0.0715665,-0.0117677
1.9400000,1.1900000,1.1617333,-0.0701469,-0.0116974
1.9450000,1.1950000,1.1667333,-0.0687615,-0.0116274
1.9500000,1.2000000,1.1717333,-0.0674093,-0.0115577
1.9550000,1.2050000,1.1767333,-0.0660895,-0.0114883
1.9600000,1.2100000,1.1817333,-0.0648011,-0.0114193
1.9650000,1.2150000,1.1867333,-0.0635431,-0.0113505
1.9700000,1.2200000,1.1917333,-0.0623149,-0.0112820
1.9750000,1.2250000,1.1967333,-0.0611154,-0.0112139
1.9800000,1.2300000,1.2017333,-0.0599440,-0.0111460
1.9850000,1.2350000,1.2067333,-0.0587998,-0.0110785
1.9900000,1.2400000,1.2117333,-0.0576822,-0.0110112
1.9950000,1.2450000,1.2167333,-0.0565903,-0.0109443
2.0000000,1.2500000,1.2217333,-0.0555235,-0.0108777
2.0050000,1.2550000,1.2267333,-0.0544811,-0.0108113
2.0100000,1.2600000,1.2317333,-0.0534624,-0.0107453
2.0150000,1.2650000,1.2367333,-0.0524668,-0.0106796
2.0200000,1.2700000,1.2417333,-0.0514937,-0.0106141
2.0250000,1.2750000,1.2467333,-0.0505424,-0.0105490
2.0300000,1.2800000,1.2517333,-0.0496125,-0.0104842
2.0350000,1.2850000,1.2567333,-0.0487032,-0.0104196
2.0400000,1.2900000,1.2617333,-0.0478142,-0.0103554
2.0450000,1.2950000,1.2667333,-0.0469448,-0.0102915
2.0500000,1.3000000,1.2717333,-0.0460945,-0.0102278
2.0550000,1.3050000,1.2767333,-0.0452629,-0.0101645
2.0600000,1.3100000,1.2817333,-0.0444495,-0.0101015
2.0650000,1.3150000,1.2867333,-0.0436537,-0.0100387
2.0700000,1.3200000,1.2917333,-0.0428752,-0.0099763
2.0750000,1.3250000,1.2967333,-0.0421135,-0.0099141
2.0800000,1.3300000,1.3017333,-0.0413681,-0.0098522
2.0850000,1.3350000,1.3067333,-0.0406387,-0.0097907
2.0900000,1.3400000,1.3117333,-0.0399248,-0.0097294
2.0950000,1.3450000,1.3167333,-0.0392261,-0.0096684
2.1000000,1.3500000,1.3217333,-0.0385422,-0.0096077
2.1050000,1.3550000,1.3267333,-0.0378727,-0.0095473
2.1100000,1.3600000,1.3317333,-0.0372173,-0.0094872
2.1150000,1.3650000,1.3367333,-0.0365755,-0.0094274
2.1200000,1.3700000,1.3417333,-0.0359471,-0.0093679
2.1250000,1.3750000,1.3467333,-0.0353318,-0.0093087
2.1300000,1.3800000,1.3517333,-0.0347291,-0.0092498
2.1350000,1.3850000,1.3567333,-0.0341389,-0.0091911
2.1400000,1.3900000,1.3617333,-0.0335608,-0.0091328
2.1450000,1.3950000,1.3667333,-0.0329945,-0.0090747
2.1500000,1.4000000,1.3717333,-0.0324397,-0.0090169
2.1550000,1.4050000,1.3767333,-0.0318962,-0.0089595
2.1600000,1.4100000,1.3817333,-0.0313637,-0.0089023
2.1650000,1.4150000,1.3867333,-0.0308418,-0.0088454
2.1700000,1.4200000,1.3917333,-0.0303305,-0.0087887
2.1750000,1.4250000,1.3967333,-0.0298294,-0.0087324
2.1800000,1.4300000,1.4017333,-0.0293382,-0.0086764
2.1850000,1.4350000,1.4067333,-0.0288568,-0.0086206
2.1900000,1.4400000,1.4117333,-0.0283850,-0.0085651
2.1950000,1.4450000,1.4167333,-0.0279224,-0.0085099
2.2000000,1.4500000,1.4217333,-0.0274689,-0.0084550
2.2050000,1.4550000,1.4267333,-0.0270243,-0.0084004
2.2100000,1.4600000,1.4317333,-0.0265883,-0.0083461
2.2150000,1.4650000,1.4367333,-0.0261608,-0.0082920
2.2200000,1.4700000,1.4417333,-0.0257416,-0.0082382
2.2250000,1.4750000,1.4467333,-0.0253305,-0.0081847
2.2300000,1.4800000,1.4517333,-0.0249272,-0.0081315
2.2350000,1.4850000,1.4567333,-0.0245317,-0.0080786
2.2400000,1.4900000,1.4617333,-0.0241438,-0.0080259
2.2450000,1.4950000,1.4667333,-0.0237632,-0.0079735
