# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.4562356,0.4562356,0.4582025,-2.3821431,-1.9326134,-5.3130062,-0.6199853,-3.8857616,-12.6414364,-12.2696276,107.4532389
0.4612356,0.4612356,0.4632025,-2.2968410,-1.8624978,-5.1323177,-0.5967311,-3.7531575,-12.4418895,-13.7627609,91.1165581
0.4662356,0.4662356,0.4682025,-2.2150867,-1.7953923,-4.9581366,-0.5745517,-3.6253903,-12.2257607,-15.0406230,76.6244329
0.4712356,0.4712356,0.4732025,-2.1367312,-1.7311588,-4.7903147,-0.5533892,-3.5023395,-11.9964052,-16.1307926,63.7687883
0.4762356,0.4762356,0.4782025,-2.0616292,-1.6696650,-4.6286874,-0.5331888,-3.3838748,-11.7567665,-17.0569582,52.3663139
0.4812356,0.4812356,0.4832025,-1.9896396,-1.6107835,-4.4730785,-0.5138991,-3.2698588,-11.5094102,-17.8392006,42.2552470
0.4862356,0.4862356,0.4882025,-1.9206261,-1.5543925,-4.3233040,-0.4954718,-3.1601496,-11.2565596,-18.4943260,33.2925947
0.4912356,0.4912356,0.4932025,-1.8544569,-1.5003754,-4.1791746,-0.4778616,-3.0546028,-11.0001305,-19.0362915,25.3517468
0.4962356,0.4962356,0.4982025,-1.7910054,-1.4486211,-4.0404986,-0.4610257,-2.9530729,-10.7417647,-19.4767113,18.3204274
0.5012356,0.5012356,0.5032025,-1.7301497,-1.3990233,-3.9070837,-0.4449238,-2.8554149,-10.4828613,-19.8253864,12.0989367
0.5062356,0.5062356,0.5082025,-1.6717732,-1.3514809,-3.7787384,-0.4295182,-2.7614851,-10.2246057,-20.0907954,6.5986403
0.5112356,0.5112356,0.5132025,-1.6157641,-1.3058974,-3.6552736,-0.4147732,-2.6711419,-9.9679958,-20.2804923,1.7406644
0.5162356,0.5162356,0.5182025,-1.5620153,-1.2621812,-3.5365033,-0.4006552,-2.5842468,-9.7138658,-20.4013945,-2.5452355
0.5212356,0.5212356,0.5232025,-1.5104247,-1.2202450,-3.4222454,-0.3871327,-2.5006641,-9.4629072,-20.4599637,-6.3216598
0.5262356,0.5262356,0.5282025,-1.4608948,-1.1800057,-3.3123223,-0.3741758,-2.4202622,-9.2156879,-20.4623032,-9.6444290
0.5312356,0.5312356,0.5332025,-1.4133322,-1.1413846,-3.2065614,-0.3617564,-2.3429131,-8.9726688,-20.4141981,-12.5633430
0.5362356,0.5362356,0.5382025,-1.3676484,-1.1043066,-3.1047956,-0.3498481,-2.2684932,-8.7342181,-20.3211215,-15.1228512
0.5412356,0.5412356,0.5432025,-1.3237587,-1.0687005,-3.0068628,-0.3384258,-2.1968827,-8.5006247,-20.1882255,-17.3626408
0.5462356,0.5462356,0.5482025,-1.2815823,-1.0344987,-2.9126069,-0.3274659,-2.1279665,-8.2721092,-20.0203281,-19.3181480
0.5512356,0.5512356,0.5532025,-1.2410426,-1.0016368,-2.8218772,-0.3169462,-2.0616334,-8.0488335,-19.8219033,-21.0209923
0.5562356,0.5562356,0.5582025,-1.2020665,-0.9700538,-2.7345287,-0.3068455,-1.9977767,-7.8309099,-19.5970767,-22.4993355
0.5612356,0.5612356,0.5632025,-1.1645842,-0.9396918,-2.6504220,-0.2971441,-1.9362937,-7.6184081,-19.3496276,-23.7781721
0.5662356,0.5662356,0.5682025,-1.1285296,-0.9104954,-2.5694232,-0.2878230,-1.8770861,-7.4113618,-19.0829971,-24.8795669
0.5712356,0.5712356,0.5732025,-1.0938395,-0.8824126,-2.4914038,-0.2788646,-1.8200593,-7.2097746,-18.8003009,-25.8228655
0.5762356,0.5762356,0.5782025,-1.0604540,-0.8553934,-2.4162407,-0.2702519,-1.7651228,-7.0136243,-18.5043462,-26.6249059
0.5812356,0.5812356,0.5832025,-1.0283160,-0.8293907,-2.3438157,-0.2619690,-1.7121901,-6.8228676,-18.1976503,-27.3002530
0.5862356,0.5862356,0.5882025,-0.9973710,-0.8043595,-2.2740158,-0.2540009,-1.6611780,-6.6374435,-17.8824608,-27.8614672
0.5912356,0.5912356,0.5932025,-0.9675672,-0.7802571,-2.2067327,-0.2463333,-1.6120072,-6.4572764,-17.5607768,-28.3193973
0.5962356,0.5962356,0.5982025,-0.9388556,-0.7570430,-2.1418629,-0.2389526,-1.5646016,-6.2822789,-17.2343692,-28.6834812
0.6012356,0.6012356,0.6032025,-0.9111891,-0.7346786,-2.0793072,-0.2318460,-1.5188887,-6.1123543,-16.9048010,-28.9620303
0.6062356,0.6062356,0.6082025,-0.8845231,-0.7131272,-2.0189707,-0.2250013,-1.4747988,-5.9473980,-16.5734464,-29.1624761
0.6112356,0.6112356,0.6132025,-0.8588151,-0.6923539,-1.9607630,-0.2184071,-1.4322657,-5.7872999,-16.2415094,-29.2915706
0.6162356,0.6162356,0.6182025,-0.8340246,-0.6723256,-1.9045972,-0.2120523,-1.3912258,-5.6319454,-15.9100401,-29.3555346
0.6212356,0.6212356,0.6232025,-0.8101131,-0.6530105,-1.8503906,-0.2059265,-1.3516183,-5.4812168,-15.5799510,-29.3601614
0.6262356,0.6262356,0.6282025,-0.7870439,-0.6343787,-1.7980639,-0.2000199,-1.3133854,-5.3349944,-15.2520309,-29.3108827
0.6312356,0.6312356,0.6332025,-0.7647819,-0.6164015,-1.7475415,-0.1943231,-1.2764716,-5.1931573,-14.9269586,-29.2128076
0.6362356,0.6362356,0.6382025,-0.7432938,-0.5990517,-1.6987509,-0.1888271,-1.2408239,-5.0555843,-14.6053145,-29.0707442
0.6412356,0.6412356,0.6432025,-0.7225479,-0.5823033,-1.6516230,-0.1835236,-1.2063916,-4.9221543,-14.2875914,-28.8892097
0.6462356,0.6462356,0.6482025,-0.7025137,-0.5661316,-1.6060917,-0.1784044,-1.1731265,-4.7927472,-13.9742048,-28.6724367
0.6512356,0.6512356,0.6532025,-0.6831625,-0.5505130,-1.5620938,-0.1734618,-1.1409822,-4.6672438,-13.6655012,-28.4243762
0.6562356,0.6562356,0.6582025,-0.6644666,-0.5354250,-1.5195688,-0.1686887,-1.1099145,-4.5455268,-13.3617664,-28.1487028
0.6612356,0.6612356,0.6632025,-0.6463998,-0.5208463,-1.4784591,-0.1640779,-1.0798811,-4.4274807,-13.0632326,-27.8488200
0.6662356,0.6662356,0.6682025,-0.6289370,-0.5067564,-1.4387093,-0.1596230,-1.0508417,-4.3129921,-12.7700844,-27.5278684
0.6712356,0.6712356,0.6732025,-0.6120543,-0.4931358,-1.4002666,-0.1553176,-1.0227577,-4.2019501,-12.4824650,-27.1887349
0.6762356,0.6762356,0.6782025,-0.5957287,-0.4799659,-1.3630806,-0.1511557,-0.9955920,-4.0942459,-12.2004810,-26.8340643
0.6812356,0.6812356,0.6832025,-0.5799385,-0.4672290,-1.3271029,-0.1471315,-0.9693094,-3.9897738,-11.9242070,-26.4662711
0.6862356,0.6862356,0.6882025,-0.5646628,-0.4549081,-1.2922873,-0.1432397,-0.9438760,-3.8884304,-11.6536897,-26.0875531
0.6912356,0.6912356,0.6932025,-0.5498817,-0.4429871,-1.2585896,-0.1394749,-0.9192595,-3.7901152,-11.3889513,-25.6999048
0.6962356,0.6962356,0.6982025,-0.5355762,-0.4314505,-1.2259674,-0.1358323,-0.8954289,-3.6947305,-11.1299930,-25.3051308
0.7012356,0.7012356,0.7032025,-0.5217280,-0.4202836,-1.1943804,-0.1323071,-0.8723547,-3.6021814,-10.8767976,-24.9048598
0.7062356,0.7062356,0.7082025,-0.5083199,-0.4094722,-1.1637895,-0.1288948,-0.8500085,-3.5123757,-10.6293321,-24.5005575
0.7112356,0.7112356,0.7132025,-0.4953351,-0.3990028,-1.1341579,-0.1255910,-0.8283632,-3.4252239,-10.3875498,-24.0935396
0.7162356,0.7162356,0.7182025,-0.4827578,-0.3888626,-1.1054499,-0.1223916,-0.8073927,-3.3406396,-10.1513927,-23.6849837
0.7212356,0.7212356,0.7232025,-0.4705728,-0.3790393,-1.0776315,-0.1192926,-0.7870722,-3.2585388,-9.9207927,-23.2759412
0.7262356,0.7262356,0.7282025,-0.4587655,-0.3695209,-1.0506700,-0.1162904,-0.7673778,-3.1788403,-9.6956734,-22.8673478
0.7312356,0.7312356,0.7332025,-0.4473219,-0.3602963,-1.0245343,-0.1133812,-0.7482868,-3.1014655,-9.4759516,-22.4600338
0.7362356,0.7362356,0.7382025,-0.4362288,-0.3513547,-0.9991943,-0.1105616,-0.7297772,-3.0263384,-9.2615383,-22.0547336
0.7412356,0.7412356,0.7432025,-0.4254733,-0.3426856,-0.9746214,-0.1078283,-0.7118280,-2.9533855,-9.0523399,-21.6520942
0.7462356,0.7462356,0.7482025,-0.4150433,-0.3342792,-0.9507881,-0.1051782,-0.6944191,-2.8825356,-8.8482588,-21.2526836
0.7512356,0.7512356,0.7532025,-0.4049269,-0.3261259,-0.9276680,-0.1026082,-0.6775313,-2.8137203,-8.6491949,-20.8569980
0.7562356,0.7562356,0.7582025,-0.3951129,-0.3182168,-0.9052357,-0.1001154,-0.6611460,-2.7468731,-8.4550455,-20.4654688
0.7612356,0.7612356,0.7632025,-0.3855907,-0.3105430,-0.8834671,-0.0976971,-0.6452456,-2.6819299,-8.2657066,-20.0784687
0.7662356,0.7662356,0.7682025,-0.3763498,-0.3030963,-0.8623388,-0.0953506,-0.6298129,-2.6188290,-8.0810731,-19.6963176
0.7712356,0.7712356,0.7732025,-0.3673803,-0.2958686,-0.8418284,-0.0930733,-0.6148317,-2.5575106,-7.9010393,-19.3192875
0.7762356,0.7762356,0.7782025,-0.3586728,-0.2888522,-0.8219146,-0.0908628,-0.6002863,-2.4979170,-7.7254996,-18.9476079
0.7812356,0.7812356,0.7832025,-0.3502182,-0.2820397,-0.8025767,-0.0887167,-0.5861616,-2.4399925,-7.5543483,-18.5814695
0.7862356,0.7862356,0.7882025,-0.3420076,-0.2754242,-0.7837949,-0.0866329,-0.5724433,-2.3836834,-7.3874805,-18.2210283
0.7912356,0.7912356,0.7932025,-0.3340327,-0.2689987,-0.7655503,-0.0846091,-0.5591173,-2.3289378,-7.2247921,-17.8664094
0.7962356,0.7962356,0.7982025,-0.3262855,-0.2627569,-0.7478247,-0.0826433,-0.5461704,-2.2757057,-7.0661800,-17.5177103
0.8012356,0.8012356,0.8032025,-0.3187582,-0.2566924,-0.7306004,-0.0807335,-0.5335897,-2.2239387,-6.9115424,-17.1750035
0.8062356,0.8062356,0.8082025,-0.3114433,-0.2507992,-0.7138606,-0.0788778,-0.5213630,-2.1735903,-6.7607788,-16.8383394
0.8112356,0.8112356,0.8132025,-0.3043337,-0.2450716,-0.6975892,-0.0770743,-0.5094785,-2.1246153,-6.6137904,-16.5077488
0.8162356,0.8162356,0.8182025,-0.2974225,-0.2395039,-0.6817706,-0.0753214,-0.4979247,-2.0769705,-6.4704799,-16.1832448
0.8212356,0.8212356,0.8232025,-0.2907033,-0.2340910,-0.6663898,-0.0736172,-0.4866907,-2.0306138,-6.3307520,-15.8648252
0.8262356,0.8262356,0.8282025,-0.2841695,-0.2288276,-0.6514324,-0.0719603,-0.4757660,-1.9855048,-6.1945130,-15.5524740
0.8312356,0.8312356,0.8332025,-0.2778151,-0.2237089,-0.6368845,-0.0703490,-0.4651405,-1.9416044,-6.0616711,-15.2461630
0.8362356,0.8362356,0.8382025,-0.2716342,-0.2187300,-0.6227329,-0.0687818,-0.4548044,-1.8988750,-5.9321366,-14.9458536
0.8412356,0.8412356,0.8432025,-0.2656213,-0.2138865,-0.6089648,-0.0672573,-0.4447484,-1.8572802,-5.8058217,-14.6514976
0.8462356,0.8462356,0.8482025,-0.2597708,-0.2091740,-0.5955676,-0.0657741,-0.4349635,-1.8167849,-5.6826405,-14.3630388
0.8512356,0.8512356,0.8532025,-0.2540775,-0.2045882,-0.5825297,-0.0643308,-0.4254409,-1.7773552,-5.5625092,-14.0804141
0.8562356,0.8562356,0.8582025,-0.2485365,-0.2001250,-0.5698395,-0.0629262,-0.4161723,-1.7389582,-5.4453460,-13.8035539
0.8612356,0.8612356,0.8632025,-0.2431428,-0.1957806,-0.5574861,-0.0615591,-0.4071497,-1.7015625,-5.3310711,-13.5323839
0.8662356,0.8662356,0.8682025,-0.2378918,-0.1915513,-0.5454587,-0.0602282,-0.3983653,-1.6651375,-5.2196067,-13.2668248
0.8712356,0.8712356,0.8732025,-0.2327790,-0.1874333,-0.5337473,-0.0589324,-0.3898116,-1.6296538,-5.1108768,-13.0067941
0.8762356,0.8762356,0.8782025,-0.2278000,-0.1834232,-0.5223418,-0.0576707,-0.3814815,-1.5950828,-5.0048076,-12.7522057
0.8812356,0.8812356,0.8832025,-0.2229508,-0.1795176,-0.5112329,-0.0564418,-0.3733679,-1.5613971,-4.9013272,-12.5029714
0.8862356,0.8862356,0.8882025,-0.2182272,-0.1757132,-0.5004114,-0.0552449,-0.3654643,-1.5285701,-4.8003655,-12.2590005
0.8912356,0.8912356,0.8932025,-0.2136254,-0.1720071,-0.4898683,-0.0540789,-0.3577641,-1.4965762,-4.7018543,-12.0202012
0.8962356,0.8962356,0.8982025,-0.2091417,-0.1683960,-0.4795953,-0.0529428,-0.3502611,-1.4653906,-4.6057273,-11.7864800
0.9012356,0.9012356,0.9032025,-0.2047725,-0.1648772,-0.4695842,-0.0518358,-0.3429494,-1.4349894,-4.5119199,-11.5577430
0.9062356,0.9062356,0.9082025,-0.2005143,-0.1614478,-0.4598268,-0.0507570,-0.3358230,-1.4053493,-4.4203695,-11.3338955
0.9112356,0.9112356,0.9132025,-0.1963636,-0.1581052,-0.4503158,-0.0497055,-0.3288766,-1.3764481,-4.3310150,-11.1148428
0.9162356,0.9162356,0.9182025,-0.1923174,-0.1548466,-0.4410436,-0.0486805,-0.3221046,-1.3482640,-4.2437970,-10.9004900
0.9212356,0.9212356,0.9232025,-0.1883725,-0.1516697,-0.4320031,-0.0476812,-0.3155019,-1.3207763,-4.1586580,-10.6907426
0.9262356,0.9262356,0.9282025,-0.1845258,-0.1485719,-0.4231875,-0.0467068,-0.3090634,-1.2939647,-4.0755419,-10.4855065
0.9312356,0.9312356,0.9332025,-0.1807745,-0.1455509,-0.4145901,-0.0457566,-0.3027843,-1.2678096,-3.9943943,-10.2846882
0.9362356,0.9362356,0.9382025,-0.1771157,-0.1426045,-0.4062045,-0.0448299,-0.2966599,-1.2422922,-3.9151623,-10.0881950
0.9412356,0.9412356,0.9432025,-0.1735468,-0.1397305,-0.3980245,-0.0439260,-0.2906857,-1.2173942,-3.8377945,-9.8959351
0.9462356,0.9462356,0.9482025,-0.1700651,-0.1369267,-0.3900442,-0.0430442,-0.2848573,-1.1930979,-3.7622410,-9.7078178
0.9512356,0.9512356,0.9532025,-0.1666681,-0.1341912,-0.3822578,-0.0421838,-0.2791705,-1.1693862,-3.6884532,-9.5237533
0.9562356,0.9562356,0.9582025,-0.1633533,-0.1315219,-0.3746596,-0.0413443,-0.2736212,-1.1462426,-3.6163841,-9.3436531
0.9612356,0.9612356,0.9632025,-0.1601183,-0.1289169,-0.3672443,-0.0405251,-0.2682055,-1.1236511,-3.5459880,-9.1674301
0.9662356,0.9662356,0.9682025,-0.1569610,-0.1263745,-0.3600066,-0.0397256,-0.2629195,-1.1015961,-3.4772203,-8.9949984
0.9712356,0.9712356,0.9732025,-0.1538790,-0.1238927,-0.3529415,-0.0389451,-0.2577596,-1.0800627,-3.4100380,-8.8262735
0.9762356,0.9762356,0.9782025,-0.1508703,-0.1214700,-0.3460442,-0.0381832,-0.2527222,-1.0590364,-3.3443991,-8.6611723
0.9812356,0.9812356,0.9832025,-0.1479328,-0.1191045,-0.3393099,-0.0374394,-0.2478039,-1.0385031,-3.2802629,-8.4996132
0.9862356,0.9862356,0.9882025,-0.1450645,-0.1167948,-0.3327340,-0.0367131,-0.2430013,-1.0184492,-3.2175900,-8.3415162
0.9912356,0.9912356,0.9932025,-0.1422634,-0.1145393,-0.3263121,-0.0360038,-0.2383112,-0.9988615,-3.1563418,-8.1868026
0.9962356,0.9962356,0.9982025,-0.1395276,-0.1123365,-0.3200400,-0.0353112,-0.2337304,-0.9797273,-3.0964811,-8.0353953
1.0012356,1.0012356,1.0032025,-0.1368555,-0.1101848,-0.3139135,-0.0346346,-0.2292560,-0.9610343,-3.0379718,-7.8872187
1.0062356,1.0062356,1.0082025,-0.1342452,-0.1080829,-0.3079286,-0.0339737,-0.2248850,-0.9427704,-2.9807785,-7.7421988
