# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
1.5900000,0.8400000,0.8117333,-0.3787073,-0.2577461,-0.9795453
1.5950000,0.8450000,0.8167333,-0.3677149,-0.2490227,-0.9530554
1.6000000,0.8500000,0.8217333,-0.3571151,-0.2406238,-0.9274782
1.6050000,0.8550000,0.8267333,-0.3468914,-0.2325357,-0.9027762
1.6100000,0.8600000,0.8317333,-0.3370280,-0.2247451,-0.8789137
1.6150000,0.8650000,0.8367333,-0.3275098,-0.2172394,-0.8558567
1.6200000,0.8700000,0.8417333,-0.3183225,-0.2100066,-0.8335725
1.6250000,0.8750000,0.8467333,-0.3094523,-0.2030355,-0.8120302
1.6300000,0.8800000,0.8517333,-0.3008864,-0.1963152,-0.7912002
1.6350000,0.8850000,0.8567333,-0.2926123,-0.1898352,-0.7710542
1.6400000,0.8900000,0.8617333,-0.2846182,-0.1835859,-0.7515652
1.6450000,0.8950000,0.8667333,-0.2768928,-0.1775578,-0.7327074
1.6500000,0.9000000,0.8717333,-0.2694254,-0.1717420,-0.7144563
1.6550000,0.9050000,0.8767333,-0.2622057,-0.1661299,-0.6967882
1.6600000,0.9100000,0.8817333,-0.2552240,-0.1607134,-0.6796808
1.6650000,0.9150000,0.8867333,-0.2484709,-0.1554848,-0.6631125
1.6700000,0.9200000,0.8917333,-0.2419376,-0.1504366,-0.6470628
1.6750000,0.9250000,0.8967333,-0.2356154,-0.1455618,-0.6315121
1.6800000,0.9300000,0.9017333,-0.2294964,-0.1408535,-0.6164416
1.6850000,0.9350000,0.9067333,-0.2235727,-0.1363055,-0.6018334
1.6900000,0.9400000,0.9117333,-0.2178369,-0.1319114,-0.5876702
1.6950000,0.9450000,0.9167333,-0.2122818,-0.1276654,-0.5739356
1.7000000,0.9500000,0.9217333,-0.2069008,-0.1235618,-0.5606140
1.7050000,0.9550000,0.9267333,-0.2016874,-0.1195953,-0.5476901
1.7100000,0.9600000,0.9317333,-0.1966352,-0.1157606,-0.5351497
1.7150000,0.9650000,0.9367333,-0.1917384,-0.1120530,-0.5229788
1.7200000,0.9700000,0.9417333,-0.1869913,-0.1084675,-0.5111642
1.7250000,0.9750000,0.9467333,-0.1823885,-0.1049997,-0.4996933
