AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
59,IFE59,IFE,-0.8026111111110971,-0.18887499999998703,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
60,IFE60,IFE,-0.623611111111097,-0.06287499999998691,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
61,IFE61,IFE,-0.8026111111110971,0.06312500000001298,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
62,IFE62,IFE,-0.623611111111097,0.1891250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
63,IFE63,IFE,-0.8026111111110971,0.315125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
64,IFE64,IFE,-0.623611111111097,0.4411250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
65,IFE65,IFE,-0.8026111111110971,0.567125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
66,IFE66,IFE,-0.623611111111097,0.6931250000000129,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
67,IFE67,IFE,-0.8026111111110971,0.8191250000000132,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
68,IFE68,IFE,-0.623611111111097,0.9451250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
69,IFE69,IFE,-0.8026111111110971,1.0721250000000129,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
70,IFE70,IFE,-0.623611111111097,1.1981250000000132,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
71,IFE71,IFE,-0.8026111111110971,1.324125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
72,IFE72,IFE,-0.623611111111097,1.450125000000013,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
73,IFE73,IFE,-0.44561111111109697,-1.449874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
74,IFE74,IFE,-0.26761111111109703,-1.3238749999999868,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
75,IFE75,IFE,-0.44561111111109697,-1.197874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
76,IFE76,IFE,-0.26761111111109703,-1.071874999999987,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
77,IFE77,IFE,-0.44561111111109697,-0.9458749999999869,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
78,IFE78,IFE,-0.26761111111109703,-0.8198749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
