"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma","epsilon"
34,"C34","CC",0.623340909090909,0.4170702479338835,1.5409907024793394,0.,12.011,0.339967,0.45773
35,"C35","CC",0.7153409090909091,0.22307024793388353,-0.30500929752066064,0.,12.011,0.339967,0.45773
36,"C36","CC",0.4953409090909089,0.5920702479338837,-0.30700929752066064,0.,12.011,0.339967,0.45773
37,"C37","CC",0.31234090909090906,-0.6979297520661165,1.2939907024793391,0.,12.011,0.339967,0.45773
38,"C38","CC",0.10534090909090876,0.7730702479338833,-0.5500092975206607,0.,12.011,0.339967,0.45773
39,"C39","CC",0.716340909090909,0.22407024793388342,0.18699070247933935,0.,12.011,0.339967,0.45773
40,"C40","CC",0.10334090909090898,-0.7569297520661165,1.6629907024793393,0.,12.011,0.339967,0.45773
41,"C41","CC",0.10134090909090876,0.7680702479338835,0.6789907024793393,0.,12.011,0.339967,0.45773
42,"C42","CC",-0.648659090909091,-0.4149297520661164,0.43199070247933946,0.,12.011,0.339967,0.45773
43,"C43","CC",-0.7386590909090911,-0.22092975206611642,-1.6560092975206606,0.,12.011,0.339967,0.45773
44,"C44","CC",0.4963409090909088,0.5930702479338836,0.18799070247933924,0.,12.011,0.339967,0.45773
45,"C45","CC",0.4893409090909091,0.5880702479338837,-0.7990092975206607,0.,12.011,0.339967,0.45773
46,"C46","CC",-0.771659090909091,-0.0009297520661162295,0.43299070247933935,0.,12.011,0.339967,0.45773
47,"C47","CC",-0.31565909090909106,0.6880702479338834,-0.5500092975206607,0.,12.011,0.339967,0.45773
48,"C48","CC",0.6343409090909087,-0.40892975206611637,0.8009907024793392,0.,12.011,0.339967,0.45773
49,"C49","CC",0.744340909090909,0.0070702479338833335,0.5559907024793391,0.,12.011,0.339967,0.45773
50,"C50","CC",0.10434090909090887,0.7690702479338833,-0.05800929752066075,0.,12.011,0.339967,0.45773
