"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma","epsilon"
47,"AG47","AG",-1.5170357142857138,0.10184999999999933,-1.156,0.,107.868,0.26326057121,19.07904
48,"AG48","AG",-1.661035714285714,0.3068499999999994,-1.589,0.,107.868,0.26326057121,19.07904
49,"AG49","AG",-1.9500357142857139,0.7148499999999993,-1.589,0.,107.868,0.26326057121,19.07904
50,"AG50","AG",-1.806035714285714,0.5108499999999996,-1.444,0.,107.868,0.26326057121,19.07904
51,"AG51","AG",-1.9500357142857139,0.7148499999999993,-1.3,0.,107.868,0.26326057121,19.07904
52,"AG52","AG",-1.5170357142857138,0.5108499999999996,-1.444,0.,107.868,0.26326057121,19.07904
53,"AG53","AG",-1.661035714285714,0.7148499999999993,-1.3,0.,107.868,0.26326057121,19.07904
54,"AG54","AG",-1.806035714285714,0.5108499999999996,-1.156,0.,107.868,0.26326057121,19.07904
55,"AG55","AG",-1.5170357142857138,0.5108499999999996,-1.156,0.,107.868,0.26326057121,19.07904
56,"AG56","AG",-1.661035714285714,0.7148499999999993,-1.589,0.,107.868,0.26326057121,19.07904
57,"AG57","AG",-1.9500357142857139,1.1238499999999996,-1.589,0.,107.868,0.26326057121,19.07904
58,"AG58","AG",-1.806035714285714,0.9188499999999995,-1.444,0.,107.868,0.26326057121,19.07904
59,"AG59","AG",-1.9500357142857139,1.1238499999999996,-1.3,0.,107.868,0.26326057121,19.07904
60,"AG60","AG",-1.5170357142857138,0.9188499999999995,-1.444,0.,107.868,0.26326057121,19.07904
61,"AG61","AG",-1.661035714285714,1.1238499999999996,-1.3,0.,107.868,0.26326057121,19.07904
62,"AG62","AG",-1.806035714285714,0.9188499999999995,-1.156,0.,107.868,0.26326057121,19.07904
63,"AG63","AG",-1.5170357142857138,0.9188499999999995,-1.156,0.,107.868,0.26326057121,19.07904
64,"AG64","AG",-1.661035714285714,1.1238499999999996,-1.589,0.,107.868,0.26326057121,19.07904
65,"AG65","AG",-1.9500357142857139,1.5318499999999995,-1.589,0.,107.868,0.26326057121,19.07904
66,"AG66","AG",-1.806035714285714,1.3278499999999993,-1.444,0.,107.868,0.26326057121,19.07904
67,"AG67","AG",-1.9500357142857139,1.5318499999999995,-1.3,0.,107.868,0.26326057121,19.07904
68,"AG68","AG",-1.5170357142857138,1.3278499999999993,-1.444,0.,107.868,0.26326057121,19.07904
