# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.2600000,0.2600000,0.2600000,48.5103398,0.2294460,4.7902876,48.5103398,55.0563085,173.4084753,5.4749653,147.4106112,63.8834887,32.3922657,55.2014345,38.8638552,990.8238162,35.9965614,43.7096603,158.8591011,-2.6764934,133.3915388,52.4951316,19.4979911,42.4341433,26.8377087,975.5673269
0.2625000,0.2625000,0.2625000,44.1089180,0.2242578,3.1001068,44.1089180,50.9402498,154.7560940,5.1670692,133.9956668,58.8741251,28.2696145,50.0621500,35.5079677,893.7057081,31.8011602,39.4223110,140.3469504,-2.7268261,120.1338270,48.0871824,15.5151379,37.4884416,23.7097723,878.4506749
0.2650000,0.2650000,0.2650000,40.1176772,0.2186378,1.6086997,40.1176772,47.2149653,137.8879832,4.8580953,121.8400630,54.2134777,24.5657759,45.4090243,32.4586696,805.8339030,28.0269618,35.5664819,123.6257633,-2.7611263,108.1378449,43.9599044,11.9501747,33.0392701,20.8958692,790.5820870
0.2675000,0.2675000,0.2675000,36.4961289,0.2126121,0.2967101,36.4961289,43.8468256,122.6340465,4.5535527,110.8226851,49.8926794,21.2398896,41.1926443,29.6886447,726.3211856,24.6326745,32.0955849,108.5237264,-2.7814213,97.2827740,40.2249651,8.7618661,29.0379525,18.3652137,711.0757623
0.2700000,0.2700000,0.2700000,33.2092504,0.2062630,-0.8540068,33.2092504,40.8025350,108.8404971,4.2593179,100.8337331,45.9090427,18.2552826,37.3696512,27.1741812,654.3661046,21.5810780,28.9683178,94.8857694,-2.7895163,87.4595706,36.2723103,5.9130475,25.4406122,16.0900559,639.1322395
0.2725000,0.2725000,0.2725000,30.2268242,0.1997144,-1.8605755,30.2268242,38.0506316,96.3682388,3.9805313,91.7735652,42.2572921,15.5790320,33.9024097,24.8943153,589.2444923,18.8386178,26.1480394,82.5719044,-2.7870180,78.5697974,32.3362155,3.3702186,22.2076937,14.0453787,574.0298312
0.2750000,0.2750000,0.2750000,27.5225829,0.1931068,-2.7390681,27.5225829,35.5620393,85.0914693,3.7209939,83.5517023,38.9262921,13.1815563,30.7583879,22.8301112,530.3020073,16.3750391,23.6022214,71.4557324,-2.7753551,70.5245731,28.7887890,1.0834659,19.3035315,12.2086253,515.1169196
0.2775000,0.2775000,0.2775000,25.0733268,0.1865741,-3.5043524,25.0733268,33.3100101,74.8964490,3.4829897,76.0860578,35.8995309,11.0362382,27.9093186,20.9641407,476.9475881,14.1630583,21.3019666,61.4231000,-2.7557973,63.2436272,25.5305471,-1.0299349,16.6959626,10.5594539,461.8050261
0.2800000,0.2800000,0.2800000,22.8581618,0.1802265,-4.1699136,22.8581618,31.2691361,65.6803951,3.2673792,69.3024203,33.1569779,9.1190852,25.3302994,19.2801599,428.6476559,12.1780673,19.2215862,52.3708901,-2.7294724,56.6544499,22.6090775,-2.9115391,14.3559783,9.0795179,413.5625767
0.2825000,0.2825000,0.2825000,20.8579327,0.1741435,-4.7477319,20.8579327,29.4117788,57.3504722,3.0738271,63.1341374,30.6769358,7.4084289,22.9989867,17.7629359,384.9208744,10.3978683,17.3382276,44.2059349,-2.6973808,50.6915273,19.9886340,-4.5842866,12.2574107,7.7522672,369.9092926
0.2850000,0.2850000,0.2850000,19.0548563,0.1683739,-5.2482640,19.0548563,27.6976760,49.8228642,2.9010711,57.5218609,28.4374237,5.8846654,20.8949773,16.3981677,345.3332882,8.8024342,15.6315480,36.7469478,-2.6604092,45.2956528,17.6374101,-6.0688568,10.3766509,6.5627703,330.4111430
0.2875000,0.2875000,0.2875000,17.4323139,0.1629408,-5.6805407,17.4323139,26.0505889,43.0219181,2.7471820,52.4131892,26.4170655,4.5300307,18.9993927,15.1724547,309.4937246,7.3736936,14.0834260,29.9046930,-2.6193429,40.4133076,15.5270871,-7.3838943,8.6923961,5.4975540,294.6758022
0.2900000,0.2900000,0.2900000,15.9747483,0.1578479,-6.0523569,15.9747483,24.3290981,36.8793536,2.6097940,47.7620921,24.5955837,3.3284079,17.2946335,14.0732745,277.0494288,6.0953379,12.6777081,23.7389884,-2.5876022,35.9961037,13.6324361,-8.5462117,7.1854208,4.5444592,262.3485617
0.2925000,0.2925000,0.2925000,14.6676159,0.1530854,-6.3705149,14.6676159,22.3536933,31.3335383,2.4862973,43.5281180,22.9539881,2.2651569,15.7642503,13.0889460,247.6819780,4.9526469,11.3999856,18.1856853,-2.5555504,32.0002814,11.9309678,-9.5709720,5.8383723,3.6925109,233.1086496
0.2950000,0.2950000,0.2950000,13.4973585,0.1486350,-6.6410827,13.4973585,20.0545522,26.3288225,2.3739980,39.6754824,21.4744773,1.3269504,14.3928806,12.2085613,221.1035458,3.9323321,10.2373973,13.1867956,-2.5190892,28.3862577,10.4026228,-10.4718522,4.6355857,2.9318018,206.6659169
0.2975000,0.2975000,0.2975000,12.4513679,0.1444737,-6.8696336,12.4513679,17.5600040,21.8149343,2.2702580,36.1721780,20.1399832,0.5015875,13.1662131,11.4218771,197.0535692,3.0223962,8.2552839,8.6898870,-2.4789661,25.1182194,9.0294987,-11.2611911,3.5629180,2.2533872,182.7578541
0.3000000,0.3000000,0.3000000,11.5179276,0.1405751,-7.0614309,11.5179276,15.0620468,17.7464307,2.1726273,32.9892171,18.9332120,-0.2222740,12.0709531,10.7191693,175.2958197,2.2120061,5.3213146,4.6475392,-2.4358370,22.1637566,7.7956089,-11.9501215,2.6075986,1.6491902,161.1469031
0.3025000,0.3025000,0.3025000,10.6861195,0.1369111,-7.2215260,10.6861195,12.6875231,14.0822021,2.0789723,30.1000579,17.8350537,-0.8555582,11.0947698,10.0910665,155.6158436,1.4913784,2.6397949,1.0168545,-2.4224778,19.4935323,6.6866696,-12.5486893,1.7580947,1.1119167,141.6180367
0.3050000,0.3050000,0.3050000,9.9456922,0.1334513,-7.3547498,9.9456922,10.4909930,10.7850287,1.9875871,27.4802091,16.8224755,-1.4095050,10.2262138,9.5283946,137.8187276,0.8516770,0.2351002,-2.2409833,-2.4446841,17.0809853,5.6899113,-13.0659610,1.0039899,0.6349790,123.9765774
0.3075000,0.3075000,0.3075000,9.2868987,0.1301629,-7.4656033,9.2868987,8.4862420,7.8211838,1.8972662,25.1069755,15.8666643,-1.8967897,9.4545990,9.0220735,121.7271710,0.2849204,-1.9215353,-5.1611058,-2.4561491,14.9020619,4.7939119,-13.5101196,0.3358752,0.2124262,108.0462318
0.3100000,0.3100000,0.3100000,8.7003213,0.1270106,-7.5580895,8.7003213,6.6688340,5.1600809,1.8073187,22.9592991,14.9332371,-2.3329724,8.7698481,8.5631143,107.1798732,-0.2161017,-3.8556908,-7.7753167,-2.4583149,12.9349743,3.9884490,-13.8885521,-0.2547491,-0.1611175,93.6673185
0.3125000,0.3125000,0.3125000,8.1767190,0.1239576,-7.6355475,8.1767190,5.0271604,2.7739599,1.7175235,21.0176545,13.9869283,-2.7378612,8.1623159,8.1427505,94.0302433,-0.6579036,-5.5901356,-10.1124144,-2.4524508,11.1599828,3.2643694,-14.2079270,-0.7755623,-0.4905087,80.6951713
0.3150000,0.3150000,0.3150000,7.7069408,0.1209673,-7.7005538,7.7069408,3.5472180,0.6376094,1.6280428,19.2639712,13.0012219,-3.1357982,7.6226153,7.7527125,82.1453904,-1.0463713,-7.1451584,-12.1984819,-2.4396740,9.5591995,2.6134727,-14.4742649,-1.2335031,-0.7801359,68.9986982
0.3175000,0.3175000,0.3175000,7.2819482,0.1180064,-7.7549302,7.2819482,2.2142356,-1.2718803,1.5393182,17.6815649,11.9682092,-3.5534189,7.1414853,7.3856086,71.4052920,-1.3868233,-8.5388549,-14.0571477,-2.4209676,8.1164107,2.0284084,-14.6930018,-1.6348411,-1.0339643,58.4590827
0.3200000,0.3200000,0.3200000,6.8929806,0.1150493,-7.7998605,6.8929806,1.0114266,-2.9753377,1.4519715,16.2550662,10.9009342,-4.0140413,6.7097462,7.0353319,61.7019969,-1.6840656,-9.7873813,-15.7098224,-2.3971969,6.8169175,1.5025847,-14.8690460,-1.9852419,-1.2555772,48.9686115
0.3225000,0.3225000,0.3225000,6.5318616,0.1120815,-7.8360784,6.5318616,-0.0879721,-4.4917078,1.3667165,14.9703426,9.8259591,-4.5303257,6.3183845,6.6973805,52.9387391,-1.9424418,-10.9051757,-17.1759102,-2.3691232,5.6473911,1.0300873,-15.0108774,-2.2898258,-1.4482130,40.4296169
0.3250000,0.3250000,0.3250000,6.1914003,0.1091023,-7.8640816,6.1914003,-1.1460098,-5.8382397,1.2842803,13.8144096,8.7722559,-5.0996192,5.9587864,6.3689916,45.0289111,-2.1658770,-11.9051533,-18.4730014,-2.3374161,4.5957433,0.1195563,-15.1454702,-2.5532199,-1.6147980,32.7535221
0.3275000,0.3275000,0.3275000,5.8657969,0.1061253,-7.8843316,5.8657969,-2.3106660,-7.0306948,1.2053245,12.7753284,7.7633984,-5.7055857,5.6231032,6.0490393,37.8949297,-2.3579187,-12.7988772,-19.6170446,-2.3026642,3.6510080,-1.0551039,-15.2471957,-2.7796061,-1.7579772,25.8599795
0.3300000,0.3300000,0.3300000,5.5509354,0.1031761,-7.8974112,5.5509354,-3.8269901,-8.0836744,1.1303651,11.8420889,6.8149060,-6.3249287,5.3046769,5.7377209,31.4670865,-2.5217729,-13.5967103,-20.6225032,-2.2653851,2.8032360,-2.1063749,-15.3195245,-2.9727638,-1.8801409,19.6760925
0.3325000,0.3325000,0.3325000,5.2444678,0.1002876,-7.9041167,5.2444678,-5.8415653,-9.0113160,1.0597020,11.0044799,5.9349166,-6.9346295,4.9984186,5.4361174,25.6824779,-2.6603371,-15.7769716,-21.5024959,-2.2260334,2.0433983,-3.1720379,-15.9033001,-3.1361086,-1.9834492,14.1357122
0.3350000,0.3350000,0.3350000,4.9456557,0.0974936,-7.9054641,4.9456557,-8.2010535,-9.8289023,0.9933799,10.2529490,5.1260188,-7.5163672,4.7010224,5.1457365,20.4840800,-2.7762297,-18.6974599,-22.3034862,-2.1850079,1.3633002,-4.1250233,-16.6489206,-3.2727273,-2.0698545,9.1788024
0.3375000,0.3375000,0.3375000,4.6550101,0.0948225,-7.9026067,4.6550101,-10.6478689,-10.5563068,0.9311964,9.5784639,4.3870263,-8.0578236,4.4109391,4.8681260,15.8199915,-2.8718169,-21.3013040,-23.0333828,-2.1426589,0.7555025,-4.9749515,-17.2998690,-3.3854092,-2.1411208,4.7508658
0.3400000,0.3400000,0.3400000,4.3738281,0.0922933,-7.8966918,4.3738281,-13.0349034,-11.2242406,0.8727494,8.9723862,3.7142421,-8.5521969,4.1281102,4.6046034,11.6428316,-2.9492368,-23.6194719,-23.6653305,-2.1059514,0.2132507,-5.7320391,-17.8657218,-3.4766748,-2.1988422,0.8024249
0.3425000,0.3425000,0.3425000,4.1037359,0.0899126,-7.8887063,4.1037359,-15.3184894,-11.8824803,0.8174958,8.4263788,3.1020846,-8.9972859,3.8535365,4.3561080,7.9092637,-3.0114336,-25.7035528,-24.2086883,-2.0681373,-0.2695884,-6.4054586,-18.3550909,-3.5499948,-2.2452138,-2.7114470
0.3450000,0.3450000,0.3450000,3.8463206,0.0876757,-7.8793632,3.8463206,-17.4951481,-12.6029284,0.7648073,7.9323646,2.5430298,-9.3950263,3.5887938,4.1231499,4.5796110,-3.0600394,-27.5877058,-24.6719452,-2.0293561,-0.6985853,-7.0034507,-18.7757233,-3.6072932,-2.2814525,-5.8315501
0.3475000,0.3475000,0.3475000,3.6028864,0.0855682,-7.8690524,3.6028864,-19.5635502,-13.4618265,0.7140342,7.4825560,2.0268746,-9.7519482,3.3356000,3.9058222,1.6175380,-3.0998664,-29.2550515,-25.0628024,-2.0543481,-1.0787996,-7.5334237,-19.1345897,-3.6542428,-2.3111461,-8.5949421
0.3500000,0.3500000,0.3500000,3.3743302,0.0835703,-7.8578539,3.3743302,-21.5131673,-14.4966839,0.6645893,7.0695629,1.5395162,-10.0806266,3.0954965,3.7038451,-1.0102261,-3.1399606,-31.0101289,-25.3882475,-2.0703224,-1.4148279,-8.0020422,-19.4379641,-3.7015074,-2.3410388,-11.0352854
0.3525000,0.3525000,0.3525000,3.1611079,0.0816606,-7.8455898,3.1611079,-23.3279245,-15.6762260,0.6160363,6.6865704,1.0618334,-10.4015130,2.8696600,3.5166203,-3.3341330,-3.1712065,-33.2621690,-25.6546218,-2.0783529,-1.7108460,-8.4153048,-19.6914945,-3.7383413,-2.3643346,-13.1831613
0.3550000,0.3550000,0.3550000,2.9632560,0.0798199,-7.8318977,2.9632560,-24.9933663,-16.9227990,0.5681467,6.3275597,0.5697760,-10.7433116,2.6588231,3.3432839,-5.3820389,-3.1911906,-35.2421675,-27.1656404,-2.0793996,-1.9735893,-8.7786141,-19.9002671,-3.7618993,-2.3792340,-15.0897290
