# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.0625000,0.0625000,0.0625000,inf,nan,99360951.7299402,111903.2951399,71628.4946041,453209.1724911,6738.7706394,318968.1736285,111930.6272558,111875.9630240,131915.9464601,83430.9701022,2339317.8622335,111903.2951399,71628.4946041,453209.1724911,6738.7706394,318968.1736285,111930.6272558,111875.9630240,131915.9464601,83430.9701022,2339317.8622335
0.0650000,0.0650000,0.0650000,inf,nan,56503968.1519260,104556.3098426,66898.1364455,423875.3691283,6274.2820919,298306.4971820,104583.0760668,104529.5436184,123255.0351089,77953.3288056,2187754.5320639,104556.3098426,66898.1364455,423875.3691283,6274.2820919,298306.4971820,104583.0760668,104529.5436184,123255.0351089,77953.3288056,2187754.5320639
0.0675000,0.0675000,0.0675000,inf,nan,33191027.8047067,98005.2032763,62681.6469700,397698.9612778,5861.2342878,279869.6339216,98031.4519295,97978.9546230,115532.3364879,73069.0653406,2052512.7255767,98005.2032763,62681.6469700,397698.9612778,5861.2342878,279869.6339216,98031.4519295,97978.9546230,115532.3364879,73069.0653406,2052512.7255767
0.0700000,0.0700000,0.0700000,inf,nan,22492367.7378196,92123.9126867,58897.8172328,374177.2681066,5491.5813987,263303.5045420,92149.6923722,92098.1330012,108599.2429309,68684.1919663,1930995.0619760,92123.9126867,58897.8172328,374177.2681066,5491.5813987,263303.5045420,92149.6923722,92098.1330012,108599.2429309,68684.1919663,1930995.0619760
0.0725000,0.0725000,0.0725000,inf,nan,16900489.9925633,86804.4291639,55477.0518772,352879.8480145,5158.4200429,248304.9022589,86829.7886071,86779.0697206,102328.4293440,64718.1812229,1820977.3217708,86804.4291639,55477.0518772,352879.8480145,5158.4200429,248304.9022589,86829.7886071,86779.0697206,102328.4293440,64718.1812229,1820977.3217708
0.0750000,0.0750000,0.0750000,inf,nan,15354271.2069814,81954.9098134,52360.1534760,333440.9622355,4855.8689176,234616.1847324,81979.8977053,81929.9219214,96611.6277592,61102.5584351,1720569.5095991,81954.9098134,52360.1534760,333440.9622355,4855.8689176,234616.1847324,81979.8977053,81929.9219214,96611.6277592,61102.5584351,1720569.5095991
0.0775000,0.0775000,0.0775000,inf,nan,17318483.0176418,77497.9069948,49497.1826943,315552.4994647,4578.9561868,222020.2909846,77522.5718400,77473.2421496,91357.5398929,57779.5814983,1628179.3014987,77497.9069948,49497.1826943,315552.4994647,4578.9561868,222020.2909846,77522.5718400,77473.2421496,91357.5398929,57779.5814983,1628179.3014987
0.0800000,0.0800000,0.0800000,inf,nan,23482273.9617552,71153.1191053,45635.3990583,287518.6387177,4306.8919744,202415.8175611,71195.1482391,71111.0899716,83878.0577340,53049.1416301,1484563.6667764,71153.1191053,45635.3990583,287518.6387177,4306.8919744,202415.8175611,71195.1482391,71111.0899716,83878.0577340,53049.1416301,1484563.6667764
0.0825000,0.0825000,0.0825000,inf,nan,36100746.0084404,64470.9336686,41338.6432667,260778.9743761,3887.5299312,183584.8443482,64513.1190553,64428.7482820,76000.8382544,48067.1505932,1346433.6299972,64470.9336686,41338.6432667,260778.9743761,3887.5299312,183584.8443482,64513.1190553,64428.7482820,76000.8382544,48067.1505932,1346433.6299972
0.0850000,0.0850000,0.0850000,inf,nan,27679989.8305910,58497.9268608,37498.7098387,236867.6140460,3513.3098092,166746.1088891,58540.2920337,58455.5616880,68959.6260606,43613.8969890,1222917.8249150,58497.9268608,37498.7098387,236867.6140460,3513.3098092,166746.1088891,58540.2920337,58455.5616880,68959.6260606,43613.8969890,1222917.8249150
0.0875000,0.0875000,0.0875000,inf,nan,20170067.1345694,53152.1120151,34062.7618425,215457.9008492,3178.9856201,151669.5061230,53194.6791869,53109.5448433,62657.7720885,39628.2545823,1112328.2756285,53152.1120151,34062.7618425,215457.9008492,3178.9856201,151669.5061230,53194.6791869,53109.5448433,62657.7720885,39628.2545823,1112328.2756285
0.0900000,0.0900000,0.0900000,inf,nan,18428964.5664979,48360.9240180,30984.0317413,196260.7543758,2879.9136144,138151.3985838,48403.7140549,48318.1339812,57009.7337666,36056.1215004,1013171.1607414,48360.9240180,30984.0317413,196260.7543758,2879.9136144,138151.3985838,48403.7140549,48318.1339812,57009.7337666,36056.1215004,1013171.1607414
0.0925000,0.0925000,0.0925000,inf,nan,21796453.4909964,44060.3289685,28221.2479539,179021.1177228,2611.9954077,126012.1139153,44103.3613703,44017.2965667,51940.0254475,32849.7564283,924128.4564001,44060.3289685,28221.2479539,179021.1177228,2611.9954077,126012.1139153,44103.3613703,44017.2965667,51940.0254475,32849.7564283,924128.4564001
