# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.4450000,0.4450000,0.4450000,-0.2379609,-0.0039515,-5.3792077,-0.2379609,-72.2499715,-25.3792414,-0.5487251,0.3412970,-23.5791956,-14.7888280,-0.4584043,0.0521728,-11.6572168,-1.8222369,-82.0286820,-35.4421125,-1.1847917,-2.2248368,-32.8456014,-23.3641288,-2.1481236,-1.3585927,-16.5437882
0.4475000,0.4475000,0.4475000,-0.2800984,-0.0038836,-5.3363748,-0.2800984,-74.3730714,-26.1241075,-0.5525792,0.2676331,-24.0506424,-14.9845164,-0.4983146,0.0076501,-11.5706259,-1.8177826,-84.5935279,-36.4535596,-1.1903960,-2.2048726,-33.2056531,-23.4327741,-2.1428726,-1.3552716,-16.3901467
0.4500000,0.4500000,0.4500000,-0.3206257,-0.0038523,-5.2925743,-0.3206257,-76.2213081,-26.8739560,-0.5554598,0.1975080,-24.4709027,-15.1872607,-0.5366186,-0.0352900,-11.4856468,-1.8092753,-86.6193729,-37.3223613,-1.1901400,-2.1823737,-33.4735588,-23.4668241,-2.1328440,-1.3489290,-16.2181772
0.4525000,0.4525000,0.4525000,-0.3595985,-0.0038652,-5.2476528,-0.3595985,-77.7100834,-27.5946823,-0.5573298,0.1307065,-24.8424914,-15.4015763,-0.5733696,-0.0766831,-11.4038824,-1.7972181,-88.1831618,-38.0627466,-1.1849123,-2.1576665,-33.6605054,-23.4701533,-2.1186305,-1.3399396,-16.0302636
0.4550000,0.4550000,0.4550000,-0.3970653,-0.0039282,-5.2014691,-0.3970653,-78.8713228,-28.2667358,-0.5581545,0.0669957,-25.1701557,-15.6286409,-0.6086193,-0.1165461,-11.3264310,-1.7820631,-89.3509517,-38.6875575,-1.1754889,-2.1310466,-33.7763865,-23.4462408,-2.1007651,-1.3286405,-15.8285638
0.4575000,0.4575000,0.4575000,-0.4330611,-0.0040441,-5.1539062,-0.4330611,-79.7907637,-28.8809932,-0.5579137,0.0061423,-25.4632826,-15.8660691,-0.6424140,-0.1548793,-11.2538318,-1.7642166,-90.1795072,-39.2083877,-1.1625467,-2.1027814,-33.8299551,-23.5096372,-2.0797270,-1.3153348,-15.6150299
0.4600000,0.4600000,0.4600000,-0.4676034,-0.0042119,-5.1048800,-0.4676034,-80.5829420,-29.4345359,-0.5566136,-0.0520742,-25.7391392,-16.1090570,-0.6747887,-0.1916722,-11.1860561,-1.7440437,-90.7176519,-39.6357052,-1.1466756,-2.0731130,-33.8289567,-24.2028507,-2.0559464,-1.3002947,-15.3949453
0.4625000,0.4625000,0.4625000,-0.5006929,-0.0044269,-5.0543454,-0.5006929,-81.3450075,-29.9278408,-0.5542907,-0.1078532,-26.0236719,-16.3521491,-0.7057623,-0.2269106,-11.1225476,-1.7232880,-91.0074148,-39.9789641,-1.1283893,-2.0444072,-33.7802472,-24.7803651,-2.0314788,-1.2848200,-15.1792517
0.4650000,0.4650000,0.4650000,-0.5323179,-0.0046807,-5.0022981,-0.5323179,-82.0992467,-30.3635416,-0.5510043,-0.1613679,-26.3456318,-16.5906842,-0.7353372,-0.2605825,-11.0623063,-1.7026835,-92.1567584,-40.2467038,-1.1081341,-2.0145709,-33.7184033,-25.2555157,-2.0071894,-1.2694580,-14.9546753
0.4675000,0.4675000,0.4675000,-0.5624609,-0.0049619,-4.9487734,-0.5624609,-82.7928100,-30.7465919,-0.5468226,-0.2127652,-26.7240296,-16.8214274,-0.7635019,-0.2926811,-11.0040105,-1.6802302,-93.5021413,-40.4466392,-1.0862975,-1.9836956,-34.0160720,-25.6401455,-1.9807206,-1.2527177,-14.7263496
0.4700000,0.4700000,0.4700000,-0.5911043,-0.0052571,-4.8938429,-0.5911043,-83.3548325,-31.0855569,-0.5418094,-0.2621678,-27.1576121,-17.0424736,-0.7902371,-0.3232052,-10.9461610,-1.6562056,-94.4557189,-40.5857408,-1.0632154,-1.9609051,-34.7647427,-25.9447734,-1.9523994,-1.2348058,-14.5735567
0.4725000,0.4725000,0.4725000,-0.6182343,-0.0055526,-4.8376087,-0.6182343,-83.7394449,-31.3944326,-0.5360174,-0.3096780,-27.6265474,-17.2527896,-0.8155219,-0.3521593,-10.8872356,-1.6308582,-95.0760192,-40.7098209,-1.0412162,-1.9388199,-35.9337254,-26.1787443,-1.9225189,-1.2159077,-14.4052900
0.4750000,0.4750000,0.4750000,-0.6438426,-0.0058356,-4.7801970,-0.6438426,-83.9314533,-31.6936930,-0.5294891,-0.3553802,-28.1045179,-17.4517113,-0.8393376,-0.3795532,-10.8258356,-1.6044105,-95.4130730,-40.8328116,-1.0342140,-1.9150325,-36.8820080,-26.3503609,-1.8913414,-1.1961893,-14.2263039
0.4775000,0.4775000,0.4775000,-0.6679267,-0.0060948,-4.7217514,-0.6679267,-83.9360623,-32.0085187,-0.5222618,-0.3993430,-28.5698396,-17.6385468,-0.8616709,-0.4054022,-10.7608123,-1.5770617,-95.5096904,-40.9018880,-1.0253231,-1.9067583,-37.6387424,-26.4670008,-1.8591016,-1.1757991,-14.2099232
0.4800000,0.4800000,0.4800000,-0.6904906,-0.0063210,-4.6624264,-0.6904906,-83.7687154,-32.3626208,-0.5143742,-0.4416200,-29.0088255,-17.8123196,-0.8825144,-0.4297280,-10.6913610,-1.5489896,-95.4025345,-40.9227399,-1.0131816,-1.9070886,-38.2292623,-26.5352209,-1.8260091,-1.1548696,-14.2048443
0.4825000,0.4825000,0.4825000,-0.7115443,-0.0065071,-4.6023817,-0.7115443,-83.4487542,-32.7692513,-0.5058714,-0.4822500,-29.4132655,-17.9716610,-0.9018672,-0.4525589,-10.6170740,-1.5545795,-95.1230306,-40.9005061,-0.9983723,-1.9032117,-38.6756017,-26.5608486,-1.8325986,-1.1590371,-14.1691965
0.4850000,0.4850000,0.4850000,-0.7311054,-0.0066477,-4.5417771,-0.7311054,-82.9960892,-33.2251767,-0.4968072,-0.5212581,-29.7767841,-18.1148662,-0.9197351,-0.4739285,-10.5379496,-1.5652621,-94.6981334,-42.0370550,-0.9813963,-1.8956037,-38.9969386,-26.5490637,-1.8451916,-1.1670017,-14.1064593
0.4875000,0.4875000,0.4875000,-0.7491986,-0.0067394,-4.4807688,-0.7491986,-82.4296288,-33.7127542,-0.4872441,-0.5586579,-30.0929758,-18.2401163,-0.9361319,-0.4938730,-10.4543580,-1.5705189,-94.1509777,-43.0011418,-0.9626842,-1.8846960,-39.2099771,-26.5044706,-1.8513887,-1.1709210,-14.0197847
0.4900000,0.4900000,0.4900000,-0.7658547,-0.0067799,-4.4195064,-0.7658547,-81.7666262,-34.2085001,-0.4772511,-0.5944540,-30.3555664,-18.3458338,-0.9510789,-0.5124278,-10.3669714,-1.5709950,-93.5014309,-43.8061390,-0.9426050,-1.8708793,-39.3292759,-26.7114850,-1.8519499,-1.1712760,-13.9120272
0.4925000,0.4925000,0.4925000,-0.7811084,-0.0067684,-4.3581307,-0.7811084,-81.0224860,-34.6917211,-0.4669013,-0.6286451,-30.5594747,-18.4310665,-0.9646045,-0.5296238,-10.2766672,-1.5672697,-92.7665611,-44.4694865,-0.9214750,-1.8545074,-39.9464245,-26.9151996,-1.8475583,-1.1684985,-13.7857703
0.4950000,0.4950000,0.4950000,-0.7949941,-0.0067052,-4.2967721,-0.7949941,-80.2107885,-35.1488395,-0.4562686,-0.6612280,-30.7017001,-18.4957538,-0.9767415,-0.5454838,-10.1844184,-1.5598630,-91.9610370,-45.0067599,-0.8995642,-1.8359003,-40.4160479,-27.0550870,-1.8388271,-1.1629764,-13.6433519
0.4975000,0.4975000,0.4975000,-0.8075424,-0.0065912,-4.2355504,-0.8075424,-79.3434127,-35.5734299,-0.4454254,-0.6921995,-30.7816088,-18.5407444,-0.9875238,-0.5600211,-10.0911841,-1.5492421,-91.0974667,-45.4318739,-0.8771030,-1.8153478,-40.7493604,-27.1392600,-1.8263067,-1.1550578,-13.4868861
0.5000000,0.5000000,0.5000000,-0.8187763,-0.0064283,-4.1745738,-0.8187763,-78.4306975,-35.9640137,-0.4344406,-0.7215589,-30.8007012,-18.5675383,-0.9969824,-0.5732390,-9.9978139,-1.5358257,-90.1866887,-45.7572621,-0.8542872,-1.7931115,-40.9651514,-27.1748539,-1.8104910,-1.1450550,-13.3237578
0.5025000,0.5025000,0.5025000,-0.8287093,-0.0062189,-4.1139394,-0.8287093,-77.4816098,-36.3214330,-0.4233776,-0.7493096,-30.7621150,-18.5778537,-1.0051413,-0.5851332,-9.9049773,-1.5199895,-89.2380188,-45.9940376,-0.8312829,-1.7722883,-41.0797156,-27.1681463,-1.7918227,-1.1332482,-13.1657044
0.5050000,0.5050000,0.5050000,-0.8373445,-0.0059662,-4.0537334,-0.8373445,-76.5039068,-36.6467856,-0.4122939,-0.7754601,-30.6700771,-18.5731897,-1.0120148,-0.5956962,-9.8131245,-1.5020702,-88.2594623,-46.1521351,-0.8082301,-1.7499281,-41.1071942,-27.1246620,-1.7706986,-1.1198881,-12.9963616
0.5075000,0.5075000,0.5075000,-0.8446769,-0.0056738,-3.9940314,-0.8446769,-75.5042856,-36.9402574,-0.4012408,-0.8000244,-30.5294239,-18.5545406,-1.0176072,-0.6049218,-9.7224799,-1.4823691,-87.2578953,-46.2404382,-0.7852468,-1.7262247,-41.0598679,-27.0492643,-1.7474742,-1.1051997,-12.8173652
0.5100000,0.5100000,0.5100000,-0.8506978,-0.0053461,-3.9348996,-0.8506978,-74.4885173,-37.2008195,-0.3902625,-0.8230223,-30.3452309,-18.5223274,-1.0219136,-0.6128095,-9.6330637,-1.4611559,-86.2392201,-46.2668914,-0.7624315,-1.7013805,-40.9484078,-26.9462353,-1.7224673,-1.0893840,-12.6301910
0.5125000,0.5125000,0.5125000,-0.8553990,-0.0049882,-3.8763949,-0.8553990,-73.4615667,-37.4265708,-0.3793975,-0.8444786,-30.1225513,-18.4765153,-1.0249246,-0.6193666,-9.5447350,-1.4400615,-85.2084987,-46.3119079,-0.7398659,-1.6755779,-40.7820909,-26.8193460,-1.6976004,-1.0736568,-12.4361698
0.5150000,0.5150000,0.5150000,-0.8587779,-0.0046053,-3.8185657,-0.8587779,-72.4276969,-37.6154463,-0.3686777,-0.8644217,-29.8662446,-18.4168315,-1.0266304,-0.6246084,-9.4572457,-1.4194141,-84.1700675,-46.7437225,-0.7176177,-1.6489815,-40.5689865,-26.6719176,-1.6732605,-1.0582628,-12.2365001
0.5175000,0.5175000,0.5175000,-0.8608395,-0.0042032,-3.7614532,-0.8608395,-71.3905617,-37.7660202,-0.3581301,-0.8828811,-29.5808728,-18.3429895,-1.0270261,-0.6285571,-9.3702971,-1.3975216,-83.1276359,-47.0673942,-0.6957419,-1.6217392,-40.3161155,-26.5068756,-1.6474527,-1.0419406,-12.0323371
0.5200000,0.5200000,0.5200000,-0.8615970,-0.0037878,-3.7050915,-0.8615970,-70.3532852,-37.8781657,-0.3477765,-0.8998851,-29.2706462,-18.2548604,-1.0261145,-0.6312409,-9.2835905,-1.3745960,-82.0843714,-47.2957045,-0.6742828,-1.6225949,-40.0295884,-26.3267965,-1.6204271,-1.0248481,-12.1033186
0.5225000,0.5225000,0.5225000,-0.8610716,-0.0033654,-3.6495085,-0.8610716,-69.3185322,-37.9533778,-0.3376342,-0.9154578,-28.9394017,-18.1525690,-1.0239066,-0.6326926,-9.1968648,-1.3508264,-81.0429724,-47.4399836,-0.6532758,-1.6283671,-39.7147248,-26.1339499,-1.5924065,-1.0071263,-12.1385215
0.5250000,0.5250000,0.5250000,-0.8592905,-0.0029422,-3.5947266,-0.8592905,-68.2885681,-37.9946467,-0.3277169,-0.9296169,-28.5906021,-18.0365207,-1.0204218,-0.6329499,-9.1099184,-1.3263811,-80.0057317,-47.5102795,-0.6327481,-1.6297654,-39.3761558,-25.9303342,-1.5635895,-0.9889008,-12.1419427
0.5275000,0.5275000,0.5275000,-0.8562870,-0.0025244,-3.5407634,-0.8562870,-67.2653125,-38.0059069,-0.3180348,-0.9423722,-28.2273499,-17.9073797,-1.0156867,-0.6320556,-9.0226140,-1.3231963,-78.9745912,-47.5155059,-0.6127205,-1.6272847,-39.0179135,-25.7177089,-1.5598351,-0.9865263,-12.1171965
0.5300000,0.5300000,0.5300000,-0.8520996,-0.0021181,-3.4876321,-0.8520996,-66.2503841,-37.9912340,-0.3085951,-0.9537260,-27.8524082,-17.7660196,-1.0097337,-0.6300582,-8.9348703,-1.3252582,-77.9511884,-47.4635738,-0.5932076,-1.6213722,-38.6435077,-25.6839598,-1.5622658,-0.9880636,-12.0675504
0.5325000,0.5325000,0.5325000,-0.8467727,-0.0017284,-3.4353419,-0.8467727,-65.2451413,-37.9540576,-0.2994028,-0.9636748,-27.4682255,-17.6134640,-1.0026016,-0.6270124,-8.8466460,-1.3232614,-76.9368979,-47.3615055,-0.5775203,-1.6124324,-38.2559930,-25.6608388,-1.5599119,-0.9865749,-11.9959573
0.5350000,0.5350000,0.5350000,-0.8403574,-0.0013599,-3.3838987,-0.8403574,-64.2507159,-37.8966412,-0.2904605,-0.9722120,-27.0769631,-17.4508277,-0.9943352,-0.6229789,-8.7579222,-1.3177345,-75.9328663,-47.2155370,-0.5678563,-1.6008306,-37.8580269,-25.6027200,-1.5533966,-0.9824543,-11.9050846
0.5375000,0.5375000,0.5375000,-0.8329110,-0.0010163,-3.3333054,-0.8329110,-63.2680441,-37.8199558,-0.2817694,-0.9793311,-26.6805213,-17.2792661,-0.9849862,-0.6180240,-8.6686879,-1.3091480,-74.9400427,-47.0312069,-0.5569551,-1.5868968,-37.4519202,-25.5147818,-1.5432744,-0.9760525,-11.7973411
0.5400000,0.5400000,0.5400000,-0.8244978,-0.0007003,-3.2835625,-0.8244978,-62.2978917,-37.7239117,-0.2733287,-0.9850281,-26.2805653,-17.0999335,-0.9746133,-0.6122187,-8.5789296,-1.2979207,-73.9592056,-46.8134356,-0.5451037,-1.5709289,-37.0396805,-25.4014996,-1.5300393,-0.9676818,-11.6749008
0.5425000,0.5425000,0.5425000,-0.8151879,-0.0004133,-3.2346680,-0.8151879,-61.3408776,-37.6077956,-0.2651369,-0.9893042,-25.8785502,-16.9139523,-0.9632820,-0.6056372,-8.4886258,-1.2844253,-72.9909857,-46.5665947,-0.5325422,-1.5531957,-36.6230509,-25.2667429,-1.5141304,-0.9576201,-11.5397248
0.5450000,0.5450000,0.5450000,-0.8050564,-0.0001563,-3.1866180,-0.8050564,-60.3974928,-37.4707348,-0.2571911,-0.9921661,-25.4757425,-16.7223907,-0.9510645,-0.5983557,-8.3977449,-1.2689932,-72.0358858,-46.2945687,-0.5194701,-1.5339396,-36.2035428,-25.1138593,-1.4959384,-0.9461145,-11.3935808
0.5475000,0.5475000,0.5475000,-0.7941821,0.0000710,-3.1394071,-0.7941821,-59.4681183,-37.3120628,-0.2494879,-0.9936269,-25.0732419,-16.5262482,-0.9380381,-0.5904508,-8.3062451,-1.2519187,-71.0942984,-46.0008098,-0.5060538,-1.5133789,-35.7824650,-24.9457458,-1.4758103,-0.9333844,-11.2380616
0.5500000,0.5500000,0.5500000,-0.7826455,0.0002693,-3.0930283,-0.7826455,-58.5530396,-37.1315358,-0.2420229,-0.9937065,-24.6719992,-16.3264477,-0.9242843,-0.5819982,-8.2140755,-1.2334633,-70.1665204,-45.7867225,-0.4924308,-1.4919067,-35.3609491,-24.7649109,-1.4540544,-0.9196248,-11.0809511
