# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.0375000,0.0375000,0.0375000,inf,nan,6306871.9694164,3565552.6627015,2313207.0024887,14001693.7402175,239410.0773572,9871710.2212061,3565652.0276105,3565453.2977925,4203211.8318382,2658344.5753554,72429814.1215861,3565552.6627015,2313207.0024887,14001693.7402175,239410.0773572,9871710.2212061,3565652.0276105,3565453.2977925,4203211.8318382,2658344.5753554,72429814.1215861
0.0400000,0.0400000,0.0400000,inf,nan,7760785.9185833,2887272.9680971,1872414.6216890,11351386.6166124,193392.6591033,8002522.5758972,2887379.4606638,2887166.4755304,3403629.4087597,2152644.2485626,58714299.9621063,2887272.9680971,1872414.6216890,11351386.6166124,193392.6591033,8002522.5758972,2887379.4606638,2887166.4755304,3403629.4087597,2152644.2485626,58714299.9621063
0.0425000,0.0425000,0.0425000,inf,nan,5487690.8840913,2346743.3579899,1521223.9265395,9238207.9196449,156778.0787602,6512207.6365596,2346856.8476953,2346629.8682844,2766432.1303607,1749645.3048424,47778916.5224104,2346743.3579899,1521223.9265395,9238207.9196449,156778.0787602,6512207.6365596,2346856.8476953,2346629.8682844,2766432.1303607,1749645.3048424,47778916.5224104
0.0450000,0.0450000,0.0450000,inf,nan,4145932.8008788,1915387.0973150,1241034.8884695,7550877.6510737,127606.5108856,5322266.0598169,1915507.4450515,1915266.7495785,2257932.6324926,1428041.9843793,39047633.2400845,1915387.0973150,1241034.8884695,7550877.6510737,127606.5108856,5322266.0598169,1915507.4450515,1915266.7495785,2257932.6324926,1428041.9843793,39047633.2400845
0.0475000,0.0475000,0.0475000,inf,nan,3529231.9429222,1570656.7142373,1017174.5619974,6201555.1840787,104333.5492814,4370734.8911095,1570783.7734175,1570529.6550570,1851551.0804533,1171023.7236756,32065766.9594039,1570656.7142373,1017174.5619974,6201555.1840787,104333.5492814,4370734.8911095,1570783.7734175,1570529.6550570,1851551.0804533,1171023.7236756,32065766.9594039
0.0500000,0.0500000,0.0500000,inf,nan,3652582.1991024,1294750.2850228,838060.3601070,5120857.6139459,85741.3712970,3608672.6127437,1294883.9026380,1294616.6674076,1526301.8757828,965318.0648922,26474187.8073727,1294750.2850228,838060.3601070,5120857.6139459,85741.3712970,3608672.6127437,1294883.9026380,1294616.6674076,1526301.8757828,965318.0648922,26474187.8073727
0.0525000,0.0525000,0.0525000,inf,nan,4844543.0385678,1073599.1673111,694540.3506933,4253930.1826208,70868.7487314,2997386.5744989,1073739.1849363,1073459.1496859,1265600.3569653,800435.9471065,21988973.0695869,1073599.1673111,694540.3506933,4253930.1826208,70868.7487314,2997386.5744989,1073739.1849363,1073459.1496859,1265600.3569653,800435.9471065,21988973.0695869
0.0550000,0.0550000,0.0550000,inf,nan,8080689.3237601,896071.5247275,579374.2684690,3557353.1785827,58956.0333042,2506250.6679552,896217.7794720,895925.2699830,1056323.8833371,668077.8836359,18385392.5823777,896071.5247275,579374.2684690,3557353.1785827,58956.0333042,2506250.6679552,896217.7794720,895925.2699830,1056323.8833371,668077.8836359,18385392.5823777
0.0575000,0.0575000,0.0575000,inf,nan,15975599.3140857,753346.5639209,486825.8382872,2996710.6741790,49401.9816693,2110990.0105407,753498.8893212,753194.2385207,888074.1614255,561667.4162497,15485321.2792408,753346.5639209,486825.8382872,2996710.6741790,49401.9816693,2110990.0105407,753498.8893212,753194.2385207,888074.1614255,561667.4162497,15485321.2792408
0.0600000,0.0600000,0.0600000,inf,nan,21785882.8453819,638423.3309006,412342.8288637,2544681.0329324,41729.9065596,1792333.8002650,638581.5577546,638265.1040466,752598.1950102,475984.8918328,13147353.5542643,638423.3309006,412342.8288637,2544681.0329324,41729.9065596,1792333.8002650,638581.5577546,638265.1040466,752598.1950102,475984.8918328,13147353.5542643
0.0625000,0.0625000,0.0625000,inf,nan,12207599.1007194,545735.2907414,352306.0682620,2179537.6980824,35561.1541915,1534957.6687100,545899.2478823,545571.3336006,643333.9367250,406880.1072267,11259042.0992311,545735.2907414,352306.0682620,2179537.6980824,35561.1541915,1534957.6687100,545899.2478823,545571.3336006,643333.9367250,406880.1072267,11259042.0992311
0.0650000,0.0650000,0.0650000,inf,nan,7351635.1947436,470847.9185608,303832.5687157,1883972.0362755,30594.3258279,1326653.2749439,471017.4335676,470678.4035539,555053.7965667,351046.8442149,9730804.3340238,470847.9185608,303832.5687157,1883972.0362755,30594.3258279,1326653.2749439,471017.4335676,470678.4035539,555053.7965667,351046.8442149,9730804.3340238
0.0675000,0.0675000,0.0675000,inf,nan,4860818.5213658,410221.3587093,264621.0581165,1644168.7232019,26588.9972975,1157676.0875273,410396.2585556,410046.4588631,483584.8553400,305845.9169675,8491136.4516488,410221.3587093,264621.0581165,1644168.7232019,26588.9972975,1157676.0875273,410396.2585556,410046.4588631,483584.8553400,305845.9169675,8491136.4516488
0.0700000,0.0700000,0.0700000,inf,nan,3759546.6327637,361024.0582486,232830.7260436,1449079.0737582,23352.9579328,1020232.8269240,361204.1698861,360843.9466111,425589.1685692,269166.2240352,7482852.3383746,361024.0582486,232830.7260436,1449079.0737582,23352.9579328,1020232.8269240,361204.1698861,360843.9466111,425589.1685692,269166.2240352,7482852.3383746
0.0725000,0.0725000,0.0725000,inf,nan,3214261.1363583,320986.3274958,206985.9794185,1285876.2537652,20653.5558918,906105.7114477,321171.4783757,320801.1766160,378391.1379860,239315.5684918,6647039.3701708,320986.3274958,206985.9794185,1285876.2537652,20653.5558918,906105.7114477,321171.4783757,320801.1766160,378391.1379860,239315.5684918,6647039.3701708
0.0750000,0.0750000,0.0750000,inf,nan,2473815.5028629,287471.9423247,185901.5675420,1141142.4494847,18356.3767591,804137.2168526,287644.3023410,287299.5823084,338883.0802979,214328.4788470,5898994.1258558,287471.9423247,185901.5675420,1141142.4494847,18356.3767591,804137.2168526,287644.3023410,287299.5823084,338883.0802979,214328.4788470,5898994.1258558
0.0775000,0.0775000,0.0775000,inf,nan,1831491.0056784,257458.2393723,166722.0497094,1021945.1221001,16472.3461614,720170.7743573,257635.0471999,257281.4315447,303501.7626451,191951.3687669,5283029.1118151,257458.2393723,166722.0497094,1021945.1221001,16472.3461614,720170.7743573,257635.0471999,257281.4315447,303501.7626451,191951.3687669,5283029.1118151
