# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.2800000,0.2800000,0.2800000,59.9651378,-3.4598275,-2.2297330,59.9651378,-455.5995486,709.3989342,2.4306371,171.1189033,2857.6055911,27653.9508880,184040.4345352
0.2825000,0.2825000,0.2825000,53.8280721,-3.4307474,-2.8092085,53.8280721,-455.4610682,682.2289043,2.0601195,154.5094982,2588.8055247,25106.0664939,166960.4412692
0.2850000,0.2850000,0.2850000,48.3239069,-3.4022793,-3.3193096,48.3239069,-454.9564360,657.5067996,1.7320739,139.5413984,2346.6822703,22802.9145698,151575.0655370
0.2875000,0.2875000,0.2875000,43.3838563,-3.3743870,-3.7672984,43.3838563,-454.1315238,634.9757043,1.4415103,126.0443574,2128.4354711,20698.7245806,137705.2228774
0.2900000,0.2900000,0.2900000,38.9471569,-3.3470319,-4.1597862,38.9471569,-453.0268718,614.4074559,1.1840297,113.8692930,1931.5754011,18801.5504492,125191.9165016
0.2925000,0.2925000,0.2925000,34.9602147,-3.3201752,-4.5027558,34.9602147,-451.6783230,595.5992549,0.9557517,102.8841129,1753.8866270,17089.7279799,113893.8533964
0.2950000,0.2950000,0.2950000,31.3757518,-3.2937806,-4.8015975,31.3757518,-450.7291251,578.3706933,0.7532514,92.9705661,1593.3961432,15543.9972358,103685.3588353
0.2975000,0.2975000,0.2975000,28.1519909,-3.2678159,-5.0611522,28.1519909,-450.2007050,562.5611499,0.5735031,84.0221116,1448.3454010,14147.2204531,94454.5500151
0.3000000,0.3000000,0.3000000,25.2519108,-3.2422546,-5.2857584,25.2519108,-449.3492304,548.0275032,0.4138323,75.9425433,1317.1657333,12884.1348410,86101.7349543
0.3025000,0.3025000,0.3025000,22.6425913,-3.2170769,-5.4792978,22.6425913,-448.2173613,534.6421218,0.2718734,68.6450622,1198.4567423,11741.1357329,78538.0074346
0.3050000,0.3050000,0.3050000,20.2946546,-3.1922687,-5.6452357,20.2946546,-446.9843551,522.2910974,0.1455344,62.0515460,1090.9672740,10706.0861726,71684.0127387
0.3075000,0.3075000,0.3075000,18.1817980,-3.1678216,-5.7866538,18.1817980,-445.6479731,510.7056824,0.0329661,56.0918696,993.5786559,9768.1495469,65468.8623482
0.3100000,0.3100000,0.3100000,16.2804100,-3.1437318,-5.9062782,16.2804100,-444.0981112,499.8614878,-0.0674646,50.7032127,904.6928021,8917.6423349,59829.1786947
0.3125000,0.3125000,0.3125000,14.5692543,-3.1199980,-6.0065067,14.5692543,-442.3641494,489.8044231,-0.1571988,45.8293514,823.8757237,8145.9044305,54708.2535722
0.3150000,0.3150000,0.3150000,13.0292089,-3.0966208,-6.0894384,13.0292089,-440.4719149,480.4593627,-0.2375053,41.4199559,750.6186567,7445.1848354,50055.3059886
0.3175000,0.3175000,0.3175000,11.6430466,-3.0736012,-6.1569069,11.6430466,-438.4441192,471.7589372,-0.3094933,37.4299240,684.1750408,6808.5408065,45824.8270985
0.3200000,0.3200000,0.3200000,10.3952465,-3.0509394,-6.2105166,10.3952465,-436.6905965,463.6426896,-0.3741195,33.8187712,623.8762032,6229.7487939,41976.0014713
0.3225000,0.3225000,0.3225000,9.2718282,-3.0286348,-6.2516790,9.2718282,-435.7742774,455.1381913,-0.4321890,30.5500895,569.1227861,5703.2257205,38472.1953414
0.3250000,0.3250000,0.3250000,8.2602042,-3.0066851,-6.2816468,8.2602042,-434.6011180,446.8336045,-0.4843569,27.5910766,519.3771684,5223.9593414,35280.5036859
0.3275000,0.3275000,0.3275000,7.3490468,-2.9850867,-6.3015441,7.3490468,-433.6633878,439.0941707,-0.5311352,24.9121312,474.1567586,4787.4465814,32371.3490195
0.3300000,0.3300000,0.3300000,6.5281683,-2.9638343,-6.3123887,6.5281683,-432.5056750,431.8677839,-0.5729082,22.4865071,433.0280550,4389.6388918,29718.1256976
0.3325000,0.3325000,0.3325000,5.7884125,-2.9429219,-6.3151084,5.7884125,-431.1259762,425.1075276,-0.6099596,20.2900166,395.6013807,4026.8937849,27296.8842987
0.3350000,0.3350000,0.3350000,5.1215565,-2.9223427,-6.3105487,5.1215565,-429.5548500,418.7711333,-0.6425064,18.3007762,361.5262122,3695.9318132,25086.0513380
0.3375000,0.3375000,0.3375000,4.5202215,-2.9020900,-6.2994786,4.5202215,-428.0720517,412.8204989,-0.6707366,16.4989839,330.4870329,3393.7983508,23066.1801543
0.3400000,0.3400000,0.3400000,3.9777894,-2.8821572,-6.2825952,3.9777894,-427.1019569,407.2212584,-0.6948427,14.8667238,302.1996478,3117.8296127,21219.7293250
0.3425000,0.3425000,0.3425000,3.4883268,-2.8625384,-6.2605332,3.4883268,-426.2761415,401.9423982,-0.7150489,13.3877904,276.4079066,2865.6224191,19530.8654106
0.3450000,0.3450000,0.3450000,3.0465139,-2.8432288,-6.2338776,3.0465139,-425.4966801,396.9559140,-0.7316289,12.0475295,252.8807877,2635.0072703,17985.2872208
0.3475000,0.3475000,0.3475000,2.6475797,-2.8242241,-6.2031787,2.6475797,-424.4505247,392.2365047,-0.7449112,10.8326932,231.4098012,2424.0243526,16570.0691345
0.3500000,0.3500000,0.3500000,2.2872429,-2.8055208,-6.1689654,2.2872429,-423.1740185,387.7612982,-0.7552698,9.7313067,211.8066736,2230.9021377,15273.5213011
