# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.7075000,0.7075000,0.7075000,-0.1561227,1.4140570,-1.1800110,-0.1561227,187.1372979,-211.2120700,-0.0371188,-0.2647653,94.7454446,-103.2214924,-0.1841594,-0.1162956,-2.0356728
0.7100000,0.7100000,0.7100000,-0.1525643,1.4090635,-1.1665517,-0.1525643,186.5573193,-210.3305795,-0.0362579,-0.2588725,94.4450315,-102.7961866,-0.1799580,-0.1136485,-1.9877544
0.7125000,0.7125000,0.7125000,-0.1490990,1.4041054,-1.1533001,-0.1490990,185.9804934,-209.4568185,-0.0354206,-0.2531250,94.1462780,-102.3747173,-0.1758667,-0.1110704,-1.9411478
0.7150000,0.7150000,0.7150000,-0.1457241,1.3991823,-1.1402522,-0.1457241,185.4067980,-208.5906823,-0.0346060,-0.2475193,93.8491738,-101.9570313,-0.1718824,-0.1085595,-1.8958158
0.7175000,0.7175000,0.7175000,-0.1424370,1.3942938,-1.1274041,-0.1424370,184.8362110,-207.7320685,-0.0338135,-0.2420519,93.5537089,-101.5430763,-0.1680020,-0.1061137,-1.8517217
0.7200000,0.7200000,0.7200000,-0.1392354,1.3894395,-1.1147519,-0.1392354,184.2687105,-206.8808762,-0.0330423,-0.2367195,93.2598729,-101.1328010,-0.1642225,-0.1037313,-1.8088294
0.7225000,0.7225000,0.7225000,-0.1361167,1.3846191,-1.1022919,-0.1361167,183.7042748,-206.0370066,-0.0322918,-0.2315187,92.9676560,-100.7261551,-0.1605412,-0.1014105,-1.7671037
0.7250000,0.7250000,0.7250000,-0.1330785,1.3798322,-1.0900203,-0.1330785,183.1428825,-205.2003626,-0.0315614,-0.2264462,92.6770480,-100.3230890,-0.1569551,-0.0991495,-1.7265102
0.7275000,0.7275000,0.7275000,-0.1301186,1.3750785,-1.0779335,-0.1301186,182.5845125,-204.3708490,-0.0308504,-0.2214987,92.3880389,-99.9235542,-0.1534615,-0.0969466,-1.6870151
0.7300000,0.7300000,0.7300000,-0.1272348,1.3703575,-1.0660281,-0.1272348,182.0291436,-203.5483721,-0.0301583,-0.2166730,92.1006186,-99.5275031,-0.1500579,-0.0948002,-1.6485857
0.7325000,0.7325000,0.7325000,-0.1244249,1.3656691,-1.0543006,-0.1244249,181.4767552,-202.7328401,-0.0294844,-0.2119661,91.8147773,-99.1348888,-0.1467416,-0.0927086,-1.6111899
0.7350000,0.7350000,0.7350000,-0.1216868,1.3610127,-1.0427477,-0.1216868,180.9273266,-201.9241627,-0.0288283,-0.2073749,91.5305050,-98.7456653,-0.1435102,-0.0906704,-1.5747967
0.7375000,0.7375000,0.7375000,-0.1190184,1.3563882,-1.0313660,-0.1190184,180.3808374,-201.1222514,-0.0281893,-0.2028964,91.2477918,-98.3597874,-0.1403612,-0.0886840,-1.5393759
0.7400000,0.7400000,0.7400000,-0.1164178,1.3517951,-1.0201524,-0.1164178,179.8372675,-200.3270191,-0.0275670,-0.1985277,90.9666278,-97.9772107,-0.1372923,-0.0867480,-1.5048983
0.7425000,0.7425000,0.7425000,-0.1138831,1.3472331,-1.0091036,-0.1138831,179.2965969,-199.5383803,-0.0269609,-0.1942659,90.6870032,-97.5978917,-0.1343013,-0.0848609,-1.4713352
0.7450000,0.7450000,0.7450000,-0.1114124,1.3427019,-0.9982168,-0.1114124,178.7588057,-198.7562509,-0.0263704,-0.1901083,90.4089082,-97.2217874,-0.1313859,-0.0830214,-1.4386592
