# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
1.2750000,1.2750000,1.2750000,-0.0034840,-0.0010196,-0.1753102,-0.0034840,-1.0345377,-0.7130686,-0.0008292,-0.0059593,-0.2729948,-0.1827821,-0.0041071,-0.0025975,-0.0440646
1.2775000,1.2775000,1.2775000,-0.0034421,-0.0010158,-0.1742623,-0.0034421,-1.0260697,-0.7076844,-0.0008192,-0.0058877,-0.2708063,-0.1812468,-0.0040577,-0.0025663,-0.0435349
1.2800000,1.2800000,1.2800000,-0.0034009,-0.0010120,-0.1732228,-0.0034009,-1.0176898,-0.7023485,-0.0008094,-0.0058171,-0.2686408,-0.1797267,-0.0040091,-0.0025355,-0.0430126
1.2825000,1.2825000,1.2825000,-0.0033601,-0.0010083,-0.1721917,-0.0033601,-1.0093969,-0.6970604,-0.0007997,-0.0057475,-0.2664980,-0.1782216,-0.0039611,-0.0025052,-0.0424977
1.2850000,1.2850000,1.2850000,-0.0033200,-0.0010046,-0.1711687,-0.0033200,-1.0011899,-0.6918195,-0.0007902,-0.0056788,-0.2643776,-0.1767314,-0.0039138,-0.0024753,-0.0419899
1.2875000,1.2875000,1.2875000,-0.0032804,-0.0010009,-0.1701538,-0.0032804,-0.9930677,-0.6866254,-0.0007807,-0.0056111,-0.2622794,-0.1752558,-0.0038671,-0.0024458,-0.0414893
1.2900000,1.2900000,1.2900000,-0.0032414,-0.0009972,-0.1691471,-0.0032414,-0.9850294,-0.6814776,-0.0007715,-0.0055444,-0.2602030,-0.1737948,-0.0038211,-0.0024167,-0.0409956
1.2925000,1.2925000,1.2925000,-0.0032029,-0.0009935,-0.1681482,-0.0032029,-0.9770739,-0.6763756,-0.0007623,-0.0054785,-0.2581481,-0.1723481,-0.0037758,-0.0023880,-0.0405088
1.2950000,1.2950000,1.2950000,-0.0031650,-0.0009899,-0.1671573,-0.0031650,-0.9692001,-0.6713189,-0.0007533,-0.0054136,-0.2561146,-0.1709155,-0.0037310,-0.0023597,-0.0400287
1.2975000,1.2975000,1.2975000,-0.0031276,-0.0009863,-0.1661742,-0.0031276,-0.9614071,-0.6663071,-0.0007444,-0.0053496,-0.2541020,-0.1694970,-0.0036869,-0.0023318,-0.0395553
1.3000000,1.3000000,1.3000000,-0.0030907,-0.0009827,-0.1651988,-0.0030907,-0.9536939,-0.6613397,-0.0007356,-0.0052865,-0.2521102,-0.1680923,-0.0036434,-0.0023043,-0.0390885
1.3025000,1.3025000,1.3025000,-0.0030543,-0.0009791,-0.1642311,-0.0030543,-0.9460595,-0.6564163,-0.0007270,-0.0052242,-0.2501390,-0.1667013,-0.0036005,-0.0022771,-0.0386281
1.3050000,1.3050000,1.3050000,-0.0030184,-0.0009755,-0.1632709,-0.0030184,-0.9385029,-0.6515363,-0.0007184,-0.0051628,-0.2481879,-0.1653239,-0.0035582,-0.0022504,-0.0381740
1.3075000,1.3075000,1.3075000,-0.0029830,-0.0009720,-0.1623183,-0.0029830,-0.9310233,-0.6466993,-0.0007100,-0.0051023,-0.2462568,-0.1639598,-0.0035165,-0.0022240,-0.0377262
1.3100000,1.3100000,1.3100000,-0.0029481,-0.0009685,-0.1613731,-0.0029481,-0.9236196,-0.6419050,-0.0007017,-0.0050425,-0.2443455,-0.1626090,-0.0034753,-0.0021980,-0.0372845
1.3125000,1.3125000,1.3125000,-0.0029136,-0.0009650,-0.1604353,-0.0029136,-0.9162909,-0.6371528,-0.0006935,-0.0049836,-0.2424536,-0.1612713,-0.0034347,-0.0021723,-0.0368488
1.3150000,1.3150000,1.3150000,-0.0028797,-0.0009615,-0.1595047,-0.0028797,-0.9090363,-0.6324423,-0.0006854,-0.0049255,-0.2405810,-0.1599465,-0.0033947,-0.0021470,-0.0364191
