# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
0.3625000,0.3625000,0.3625000,0.1836420,-0.0559948,-3.5733052,0.1836420,-0.2948738,2.7665876
0.3650000,0.3650000,0.3650000,0.0902605,-0.0538625,-3.5446504,0.0902605,-0.3513182,2.4138029
0.3675000,0.3675000,0.3675000,0.0043114,-0.0518311,-3.5137754,0.0043114,-0.4026727,2.0937924
0.3700000,0.3700000,0.3700000,-0.0746336,-0.0499032,-3.4808739,-0.0746336,-0.4494097,1.8032850
0.3725000,0.3725000,0.3725000,-0.1470048,-0.0480769,-3.4461417,-0.1470048,-0.4920115,1.5392093
0.3750000,0.3750000,0.3750000,-0.2132460,-0.0463478,-3.4097733,-0.2132460,-0.5309539,1.2987205
0.3775000,0.3775000,0.3775000,-0.2738189,-0.0447104,-3.3719595,-0.2738189,-0.5666872,1.0792236
0.3800000,0.3800000,0.3800000,-0.3292002,-0.0431588,-3.3328852,-0.3292002,-0.5996175,0.8783924
0.3825000,0.3825000,0.3825000,-0.3798748,-0.0416869,-3.2927276,-0.3798748,-0.6300916,0.6941809
0.3850000,0.3850000,0.3850000,-0.4263232,-0.0402885,-3.2516550,-0.4263232,-0.6583879,0.5248246
0.3875000,0.3875000,0.3875000,-0.4690067,-0.0389570,-3.2098259,-0.4690067,-0.6847126,0.3688309
0.3900000,0.3900000,0.3900000,-0.5083508,-0.0376856,-3.1673881,-0.5083508,-0.7092024,0.2249565
0.3925000,0.3925000,0.3925000,-0.5447316,-0.0364677,-3.1244789,-0.5447316,-0.7319314,0.0921763
0.3950000,0.3950000,0.3950000,-0.5784649,-0.0352972,-3.0812246,-0.5784649,-0.7529211,-0.0303562
0.3975000,0.3975000,0.3975000,-0.6098015,-0.0341688,-3.0377411,-0.6098015,-0.7721524,-0.1433500
0.4000000,0.4000000,0.4000000,-0.6389275,-0.0330778,-2.9941339,-0.6389275,-0.7895786,-0.2474171
0.4025000,0.4025000,0.4025000,-0.6659691,-0.0320198,-2.9504984,-0.6659691,-0.8051378,-0.3431066
0.4050000,0.4050000,0.4050000,-0.6910008,-0.0309904,-2.9069208,-0.6910008,-0.8187649,-0.4309327
0.4075000,0.4075000,0.4075000,-0.7140547,-0.0299852,-2.8634783,-0.7140547,-0.8304020,-0.5113943
0.4100000,0.4100000,0.4100000,-0.7351316,-0.0290003,-2.8202400,-0.7351316,-0.8400066,-0.5849870
0.4125000,0.4125000,0.4125000,-0.7542117,-0.0280324,-2.7772669,-0.7542117,-0.8475571,-0.6522086
0.4150000,0.4150000,0.4150000,-0.7712641,-0.0270792,-2.7346132,-0.7712641,-0.8530568,-0.7135584
0.4175000,0.4175000,0.4175000,-0.7862567,-0.0261397,-2.6923265,-0.7862567,-0.8565346,-0.7695320
0.4200000,0.4200000,0.4200000,-0.7991638,-0.0252145,-2.6504481,-0.7991638,-0.8580441,-0.8206121
0.4225000,0.4225000,0.4225000,-0.8099723,-0.0243052,-2.6090141,-0.8099723,-0.8576614,-0.8672575
0.4250000,0.4250000,0.4250000,-0.8186865,-0.0234145,-2.5680554,-0.8186865,-0.8554819,-0.9098918
0.4275000,0.4275000,0.4275000,-0.8253299,-0.0225458,-2.5275985,-0.8253299,-0.8516163,-0.9488940
0.4300000,0.4300000,0.4300000,-0.8299469,-0.0217026,-2.4876656,-0.8299469,-0.8461866,-0.9845913
0.4325000,0.4325000,0.4325000,-0.8326015,-0.0208882,-2.4482754,-0.8326015,-0.8393219,-1.0172563
0.4350000,0.4350000,0.4350000,-0.8333755,-0.0201056,-2.4094432,-0.8333755,-0.8311555,-1.0471075
0.4375000,0.4375000,0.4375000,-0.8323663,-0.0193573,-2.3711811,-0.8323663,-0.8218212,-1.0743126
0.4400000,0.4400000,0.4400000,-0.8296833,-0.0186449,-2.3334989,-0.8296833,-0.8114508,-1.0989940
0.4425000,0.4425000,0.4425000,-0.8254448,-0.0179695,-2.2964036,-0.8254448,-0.8001723,-1.1212361
0.4450000,0.4450000,0.4450000,-0.8197751,-0.0173315,-2.2599003,-0.8197751,-0.7881080,-1.1410934
0.4475000,0.4475000,0.4475000,-0.8128011,-0.0167308,-2.2239922,-0.8128011,-0.7753735,-1.1585988
0.4500000,0.4500000,0.4500000,-0.8046502,-0.0161664,-2.1886806,-0.8046502,-0.7620768,-1.1737715
0.4525000,0.4525000,0.4525000,-0.7954478,-0.0156375,-2.1539655,-0.7954478,-0.7483180,-1.1866253
0.4550000,0.4550000,0.4550000,-0.7853155,-0.0151424,-2.1198456,-0.7853155,-0.7341893,-1.1971745
0.4575000,0.4575000,0.4575000,-0.7743700,-0.0146795,-2.0863182,-0.7743700,-0.7197745,-1.2054400
0.4600000,0.4600000,0.4600000,-0.7627218,-0.0142470,-2.0533798,-0.7627218,-0.7051497,-1.2114532
