# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,364698097177665017356341106841923616768.0000000,27366713800251671229127916889101790973289679921610752.0000000,17903385563074107673198375653808102749083397651431424.0000000,105294001925330421667075388835943560629099597727268864.0000000,1941642953742605122752769030659834601605341185572864.0000000,74333246490378718097794900165986610999809368465080320.0000000,27366713800251671229127916889101790973289679921610752.0000000,27366713800251671229127916889101790973289679921610752.0000000,32260944129932853268651503688105577085314569479389184.0000000,20403612583605374628187351495241693428432282666926080.0000000,545553164830693186765986530350901985705916295611940864.0000000,27366713800251671229127916889101790973289679921610752.0000000,17903385563074107673198375653808102749083397651431424.0000000,105294001925330421667075388835943560629099597727268864.0000000,1941642953742605122752769030659834601605341185572864.0000000,74333246490378718097794900165986610999809368465080320.0000000,27366713800251671229127916889101790973289679921610752.0000000,27366713800251671229127916889101790973289679921610752.0000000,32260944129932853268651503688105577085314569479389184.0000000,20403612583605374628187351495241693428432282666926080.0000000,545553164830693186765986530350901985705916295611940864.0000000
0.0600000,0.0600000,0.0600000,inf,nan,2014108.0707333,2214663589.9502354,1448800307.0622292,8521532165.2355242,157098108.0079531,6015825524.6090441,2214663429.2842150,2214663750.6162558,2610731374.7448916,1651171500.6112902,44151837486.2460251,2214663589.9502354,1448800307.0622292,8521532165.2355242,157098108.0079531,6015825524.6090441,2214663429.2842150,2214663750.6162558,2610731374.7448916,1651171500.6112902,44151837486.2460251
0.0625000,0.0625000,0.0625000,inf,nan,1722487.4235686,1357262403.4832942,887888993.4809656,5222625217.6993484,96271286.2938962,3686934145.4232817,1357262254.1693642,1357262552.7972243,1599993586.6625779,1011924795.1031500,27059433678.6919937,1357262403.4832942,887888993.4809656,5222625217.6993484,96271286.2938962,3686934145.4232817,1357262254.1693642,1357262552.7972243,1599993586.6625779,1011924795.1031500,27059433678.6919937
0.0650000,0.0650000,0.0650000,inf,nan,1741017.7702235,847981605.4763677,554718750.5942371,3263085825.2551179,60140821.0858002,2303588497.0391617,847981466.5211471,847981744.4315883,999633620.5055163,632223813.2955660,16906674854.4753914,847981605.4763677,554718750.5942371,3263085825.2551179,60140821.0858002,2303588497.0391617,847981466.5211471,847981744.4315883,999633620.5055163,632223813.2955660,16906674854.4753914
0.0675000,0.0675000,0.0675000,inf,nan,2125463.1678204,539289901.4341519,352783464.5409794,2075243405.8670530,38244465.5972867,1465021853.4547908,539289771.9572849,539290030.9110188,635735861.7111044,402074662.6513839,10752194327.9326191,539289901.4341519,352783464.5409794,2075243405.8670530,38244465.5972867,1465021853.4547908,539289771.9572849,539290030.9110188,635735861.7111044,402074662.6513839,10752194327.9326191
0.0700000,0.0700000,0.0700000,inf,nan,3059520.6470035,348674127.7120489,228084177.4830695,1341816649.6993656,24724683.8725778,947253936.9241189,348674006.8794869,348674248.5446110,411030591.2421256,259958571.2661549,6952148158.4322014,348674127.7120489,228084177.4830695,1341816649.6993656,24724683.8725778,947253936.9241189,348674006.8794869,348674248.5446110,411030591.2421256,259958571.2661549,6952148158.4322014
0.0725000,0.0725000,0.0725000,inf,nan,4961979.0077238,228927841.3847529,149747715.1843516,881063892.6692486,16230327.4541056,621982597.5539480,228927728.4870562,228927954.2824497,269869022.4411134,170680156.1674023,4564889829.6956806,228927841.3847529,149747715.1843516,881063892.6692486,16230327.4541056,621982597.5539480,228927728.4870562,228927954.2824497,269869022.4411134,170680156.1674023,4564889829.6956806
0.0750000,0.0750000,0.0750000,inf,nan,8744386.1791553,152480971.4624181,99737686.8572178,586908471.2724624,10807832.0648309,414322067.6745846,152480865.8609312,152481077.0639049,179750485.8322345,113684189.1503376,3040811074.4192419,152480971.4624181,99737686.8572178,586908471.2724624,10807832.0648309,414322067.6745846,152480865.8609312,152481077.0639049,179750485.8322345,113684189.1503376,3040811074.4192419
0.0775000,0.0775000,0.0775000,inf,nan,10091681.0603369,102937271.5838509,67327641.1208798,396265332.6010449,7293933.9107008,279736890.6455806,102937172.7019255,102937370.4657763,121346449.9863991,76746233.5865459,2053053319.1588395,102937271.5838509,67327641.1208798,396265332.6010449,7293933.9107008,279736890.6455806,102937172.7019255,102937370.4657763,121346449.9863991,76746233.5865459,2053053319.1588395
0.0800000,0.0800000,0.0800000,inf,nan,5854022.3923126,70373764.1694843,46025951.9230536,270955511.6531944,4984632.1827646,191274284.9466681,70373671.4850527,70373856.8539158,82959323.8945599,52468083.3308880,1403802319.0321147,70373764.1694843,46025951.9230536,270955511.6531944,4984632.1827646,191274284.9466681,70373671.4850527,70373856.8539158,82959323.8945599,52468083.3308880,1403802319.0321147
0.0825000,0.0825000,0.0825000,inf,nan,3509112.3969293,48686165.5885809,31839190.1558620,187492575.6457132,3446852.4176428,132353793.6261747,48686078.6278339,48686252.5493279,57393141.1501597,36298609.6212081,971369313.9361281,48686165.5885809,31839190.1558620,187492575.6457132,3446852.4176428,132353793.6261747,48686078.6278339,48686252.5493279,57393141.1501597,36298609.6212081,971369313.9361281
0.0850000,0.0850000,0.0850000,inf,nan,2165989.3957445,34061411.6607183,22272846.8629297,131205618.8927120,2410075.6345352,92618360.2570098,34061329.9926890,34061493.3287477,40152913.7401573,25394932.4222335,679740877.5674297,34061411.6607183,22272846.8629297,131205618.8927120,2410075.6345352,92618360.2570098,34061329.9926890,34061493.3287477,40152913.7401573,25394932.4222335,679740877.5674297
0.0875000,0.0875000,0.0875000,inf,nan,1372568.5565041,24083187.2012745,15746169.0249029,92797759.8309753,1702877.8740680,65504769.2895919,24083110.4331733,24083263.9693756,28390195.5653837,17955536.2408448,480747677.9658815,24083187.2012745,15746169.0249029,92797759.8309753,1702877.8740680,65504769.2895919,24083110.4331733,24083263.9693756,28390195.5653837,17955536.2408448,480747677.9658815
0.0900000,0.0900000,0.0900000,inf,nan,890682.2830053,17199450.7346920,11243813.2822098,66297426.0453605,1215152.5122838,46797337.4528599,17199378.5078664,17199522.9615176,20275379.9110629,12823276.1888362,343449601.2278828,17199450.7346920,11243813.2822098,66297426.0453605,1215152.5122838,46797337.4528599,17199378.5078664,17199522.9615176,20275379.9110629,12823276.1888362,343449601.2278828
0.0925000,0.0925000,0.0925000,inf,nan,590565.5255917,12400516.3903591,8105246.5345696,47819765.1789520,875271.1033267,33753520.6992263,12400448.3767765,12400584.4039417,14618209.8943868,9245367.7161344,247718328.4063605,12400516.3903591,8105246.5345696,47819765.1789520,875271.1033267,33753520.6992263,12400448.3767765,12400584.4039417,14618209.8943868,9245367.7161344,247718328.4063605
0.0950000,0.0950000,0.0950000,inf,nan,399337.6122053,9021578.7094404,5895557.2891345,34806854.3332924,636073.1188430,24567533.1793388,9021514.6086125,9021642.8102683,10634987.0442381,6726156.3892348,180300680.2123359,9021578.7094404,5895557.2891345,34806854.3332924,636073.1188430,24567533.1793388,9021514.6086125,9021642.8102683,10634987.0442381,6726156.3892348,180300680.2123359
0.0975000,0.0975000,0.0975000,inf,nan,274923.9010369,6619900.0336992,4325111.3779413,25555176.4308452,466152.7828115,18036764.8704890,6619839.5699798,6619960.4974186,7803795.0296739,4935553.3373741,132370359.5422973,6619900.0336992,4325111.3779413,25555176.4308452,466152.7828115,18036764.8704890,6619839.5699798,6619960.4974186,7803795.0296739,4935553.3373741,132370359.5422973
0.1000000,0.1000000,0.1000000,inf,nan,192417.2503536,4897434.1237423,3198932.1203257,18917914.0581161,344369.4661324,13351613.1559787,4897377.0439437,4897491.2035410,5773285.3787006,3651346.2757683,97985464.6021422,4897434.1237423,3198932.1203257,18917914.0581161,344369.4661324,13351613.1559787,4897377.0439437,4897491.2035410,5773285.3787006,3651346.2757683,97985464.6021422
0.1025000,0.1025000,0.1025000,inf,nan,136730.6598807,3651473.8801107,2384413.8950594,14115066.9325283,256346.2996814,9961433.4536385,3651419.9513927,3651527.8088286,4304499.0968947,2722404.2664650,73104661.7057816,3651473.8801107,2384413.8950594,14115066.9325283,256346.2996814,9961433.4536385,3651419.9513927,3651527.8088286,4304499.0968947,2722404.2664650,73104661.7057816
0.1050000,0.1050000,0.1050000,inf,nan,98530.4660100,2742804.8591756,1790488.0342923,10610923.3544238,192210.7646260,7488038.9975144,2742753.8671699,2742855.8511813,3233324.7962114,2044934.1542255,54952335.0451716,2742804.8591756,1790488.0342923,10610923.3544238,192210.7646260,7488038.9975144,2742753.8671699,2742855.8511813,3233324.7962114,2044934.1542255,54952335.0451716
0.1075000,0.1075000,0.1075000,inf,nan,71928.7457827,2074926.7389223,1354029.3956970,8033045.7189903,145120.5167735,5668634.5789184,2074878.4860594,2074974.9917853,2446004.1525871,1546988.8576810,41599966.3992056,2074926.7389223,1354029.3956970,8033045.7189903,145120.5167735,5668634.5789184,2074878.4860594,2074974.9917853,2446004.1525871,1546988.8576810,41599966.3992056
0.1100000,0.1100000,0.1100000,inf,nan,53143.6516637,1580276.7197631,1030893.5272648,6122354.8827299,110291.3879989,4320055.6983400,1580232.0780739,1580321.3614523,1862891.5162493,1178196.0450305,31702828.0524123,1580276.7197631,1030893.5272648,6122354.8827299,110291.3879989,4320055.6983400,1580232.0780739,1580321.3614523,1862891.5162493,1178196.0450305,31702828.0524123
0.1125000,0.1125000,0.1125000,inf,nan,39705.0666800,1211126.7626894,789838.4938481,4696738.0727530,84350.0581910,3313885.5832940,1211084.4982430,1211169.0271357,1427723.2228383,902971.4504970,24318671.6792521,1211126.7626894,789838.4938481,4696738.0727530,84350.0581910,3313885.5832940,1211084.4982430,1211169.0271357,1427723.2228383,902971.4504970,24318671.6792521
0.1150000,0.1150000,0.1150000,inf,nan,29974.2856769,933966.6066839,608827.4368487,3625684.3611478,64898.8222672,2557992.1884257,933926.5631646,934006.6502031,1100996.0763785,696331.0592530,18771319.0172038,933966.6066839,608827.4368487,3625684.3611478,64898.8222672,2557992.1884257,933926.5631646,934006.6502031,1100996.0763785,696331.0592530,18771319.0172038
0.1175000,0.1175000,0.1175000,inf,nan,22848.2403540,724505.5468927,472068.2138885,2815669.1415307,50220.2868107,1986354.0936144,724467.5797471,724543.5140383,854075.2514435,540164.6175485,14576224.8943688,724505.5468927,472068.2138885,2815669.1415307,50220.2868107,1986354.0936144,724467.5797471,724543.5140383,854075.2514435,540164.6175485,14576224.8943688
0.1200000,0.1200000,0.1200000,inf,nan,17574.2439819,565209.8862679,368094.2781228,2199170.3007460,39075.2599369,1551306.3551604,565173.8617166,565245.9108191,666291.3455983,421399.6474698,11383567.2647992,565209.8862679,368094.2781228,2199170.3007460,39075.2599369,1551306.3551604,565173.8617166,565245.9108191,666291.3455983,421399.6474698,11383567.2647992
0.1225000,0.1225000,0.1225000,inf,nan,13632.1015255,443332.7383965,288570.2853895,1727087.9551538,30560.6882110,1218189.1422220,443298.5325396,443366.9442534,522617.8345260,330532.5405854,8938971.9922431,443332.7383965,288570.2853895,1727087.9551538,30560.6882110,1218189.1422220,443298.5325396,443366.9442534,522617.8345260,330532.5405854,8938971.9922431
0.1250000,0.1250000,0.1250000,inf,nan,10657.9640284,349543.4588788,227395.4718476,1363471.1433775,24019.5378907,961624.9966792,349510.9568840,349575.9608735,412055.3925538,260606.7125250,7056190.5826843,349543.4588788,227395.4718476,1363471.1433775,24019.5378907,961624.9966792,349510.9568840,349575.9608735,412055.3925538,260606.7125250,7056190.5826843
0.1275000,0.1275000,0.1275000,inf,nan,8394.4537264,276966.8834087,180075.1333520,1081821.1582160,18969.0642657,762909.1409513,276935.9787740,276997.7880435,326499.3092232,206496.2943234,5597946.9060754,276966.8834087,180075.1333520,1081821.1582160,18969.0642657,762909.1409513,276935.9787740,276997.7880435,326499.3092232,206496.2943234,5597946.9060754
0.1300000,0.1300000,0.1300000,inf,nan,6657.5639672,220504.8688813,143276.7920403,862480.9691029,15049.3083370,608166.5252725,220475.4627635,220534.2749991,259939.6956200,164400.2984900,4462411.2470716,220504.8688813,143276.7920403,862480.9691029,15049.3083370,608166.5252725,220475.4627635,220534.2749991,259939.6956200,164400.2984900,4462411.2470716
0.1325000,0.1325000,0.1325000,inf,nan,5314.4179788,176353.7885553,114514.5592388,690778.5274183,11991.9626538,487041.0882781,176325.7891593,176381.7879513,207892.6889509,131482.8811964,3573580.4277727,176353.7885553,114514.5592388,690778.5274183,11991.9626538,487041.0882781,176325.7891593,176381.7879513,207892.6889509,131482.8811964,3573580.4277727
0.1350000,0.1350000,0.1350000,inf,nan,4268.1481930,141659.0418217,91923.1353241,555697.2025406,9595.8758866,391757.1522416,141632.3638423,141685.7198010,166993.1752517,105615.7574998,2874389.1373643,141659.0418217,91923.1353241,555697.2025406,9595.8758866,391757.1522416,141632.3638423,141685.7198010,166993.1752517,105615.7574998,2874389.1373643
0.1375000,0.1375000,0.1375000,inf,nan,3447.5020595,114266.0430974,74094.9272750,448917.4030104,7709.4019987,316442.8609449,114240.6072105,114291.4789843,134701.2454334,85192.5478462,2321744.4702410,114266.0430974,74094.9272750,448917.4030104,7709.4019987,316442.8609449,114240.6072105,114291.4789843,134701.2454334,85192.5478462,2321744.4702410
0.1400000,0.1400000,0.1400000,inf,nan,2799.6216234,92539.6084248,59961.9122870,364121.3513677,6217.6014691,256639.3937758,92515.3408215,92563.8760280,109089.2811971,68994.1193787,1882923.9303728,92539.6084248,59961.9122870,364121.3513677,6217.6014691,256639.3937758,92515.3408215,92563.8760280,109089.2811971,68994.1193787,1882923.9303728
0.1425000,0.1425000,0.1425000,inf,nan,2284.9776723,75232.1495302,48709.4309331,296485.6484333,5032.9045073,208942.7515002,75208.9814911,75255.3175692,88686.5770762,56090.3162889,1532946.4175282,75232.1495302,48709.4309331,296485.6484333,5032.9045073,208942.7515002,75208.9814911,75255.3175692,88686.5770762,56090.3162889,1532946.4175282
0.1450000,0.1450000,0.1450000,inf,nan,1873.7818104,61386.9163350,39712.9082954,242308.6961637,4088.2599675,170740.7463121,61364.7838402,61409.0488298,72365.2789534,45767.8210012,1252641.9446224,61386.9163350,39712.9082954,242308.6961637,4088.2599675,170740.7463121,61364.7838402,61409.0488298,72365.2789534,45767.8210012,1252641.9446224
0.1475000,0.1475000,0.1475000,inf,nan,1543.4223724,50266.5613912,32491.1396747,198735.5612069,3332.0798094,140018.7804101,50245.4047628,50287.7180197,59256.1730459,37476.8944500,1027226.2129221,50266.5613912,32491.1396747,198735.5612069,3332.0798094,140018.7804101,50245.4047628,50287.7180197,59256.1730459,37476.8944500,1027226.2129221
