# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
1.0250000,1.0250000,1.0250000,-0.0127657,-0.0016632,-0.3310595,-0.0127657,-1.3888794,-2.1352991,-0.0030575,-0.0217800,-0.4019919,-0.5707553,-0.0150488,-0.0095176,-0.1610461,-0.0140755,-3.8677819,-6.8747536,-0.0033620,-0.0240266,-1.9413215,-3.4351497,-0.0165927,-0.0104942,-0.1776371
1.0275000,1.0275000,1.0275000,-0.0125746,-0.0016511,-0.3285962,-0.0125746,-1.3773218,-2.1142300,-0.0030117,-0.0214541,-0.3981503,-0.5648800,-0.0148235,-0.0093752,-0.1586362,-0.0138584,-3.8480949,-6.8359463,-0.0033102,-0.0236563,-1.9313685,-3.4157795,-0.0163369,-0.0103323,-0.1748990
1.0300000,1.0300000,1.0300000,-0.0123869,-0.0016392,-0.3261574,-0.0123869,-1.3658775,-2.0934131,-0.0029668,-0.0211340,-0.3943530,-0.5590812,-0.0146022,-0.0092352,-0.1562685,-0.0136453,-3.8285596,-6.7974685,-0.0032594,-0.0232926,-1.9214931,-3.3965736,-0.0160856,-0.0101734,-0.1722102
1.0325000,1.0325000,1.0325000,-0.0122024,-0.0016273,-0.3237428,-0.0122024,-1.3545450,-2.0728448,-0.0029226,-0.0208194,-0.3905995,-0.5533576,-0.0143847,-0.0090976,-0.1539420,-0.0134360,-3.8091742,-6.7593166,-0.0032094,-0.0229355,-1.9116945,-3.3775300,-0.0158389,-0.0100174,-0.1695699
1.0350000,1.0350000,1.0350000,-0.0120211,-0.0016156,-0.3213522,-0.0120211,-1.3433233,-2.0525217,-0.0028792,-0.0205103,-0.3868892,-0.5477080,-0.0141710,-0.0089625,-0.1516559,-0.0132305,-3.7899372,-6.7214868,-0.0031604,-0.0225848,-1.9019720,-3.3586470,-0.0155966,-0.0098642,-0.1669771
1.0375000,1.0375000,1.0375000,-0.0118430,-0.0016039,-0.3189851,-0.0118430,-1.3322109,-2.0324406,-0.0028366,-0.0202065,-0.3832215,-0.5421313,-0.0139610,-0.0088297,-0.1494094,-0.0130286,-3.7708472,-6.6839754,-0.0031123,-0.0222404,-1.8923247,-3.3399225,-0.0153587,-0.0097137,-0.1644306
1.0400000,1.0400000,1.0400000,-0.0116680,-0.0015924,-0.3166413,-0.0116680,-1.3212067,-2.0125980,-0.0027947,-0.0199080,-0.3795959,-0.5366264,-0.0137547,-0.0086992,-0.1472018,-0.0128304,-3.7519025,-6.6467789,-0.0030650,-0.0219021,-1.8827518,-3.3213550,-0.0151250,-0.0095659,-0.1619297
1.0425000,1.0425000,1.0425000,-0.0114960,-0.0015810,-0.3143205,-0.0114960,-1.3103096,-1.9929907,-0.0027535,-0.0196146,-0.3760117,-0.5311921,-0.0135519,-0.0085710,-0.1450323,-0.0126357,-3.7331017,-6.6098938,-0.0030185,-0.0215699,-1.8732525,-3.3029426,-0.0148955,-0.0094207,-0.1594733
1.0450000,1.0450000,1.0450000,-0.0113269,-0.0015697,-0.3120225,-0.0113269,-1.2995182,-1.9736156,-0.0027130,-0.0193263,-0.3724685,-0.5258275,-0.0133526,-0.0084449,-0.1429001,-0.0124445,-3.7144433,-6.5733164,-0.0029729,-0.0212436,-1.8638262,-3.2846836,-0.0146700,-0.0092782,-0.1570605
1.0475000,1.0475000,1.0475000,-0.0111608,-0.0015585,-0.3097470,-0.0111608,-1.2888313,-1.9544694,-0.0026732,-0.0190430,-0.3689656,-0.5205313,-0.0131568,-0.0083210,-0.1408045,-0.0122567,-3.6959258,-6.5370434,-0.0029281,-0.0209230,-1.8544719,-3.2665763,-0.0144486,-0.0091381,-0.1546906
