# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.4875000,0.4875000,0.4875000,0.8866241,-3.9017596,-10.4184057,0.8866241,-711.9910133,455.9715969,-0.5920417,2.3469824,-322.0840969,227.6703082,0.5562560,1.3009042,-17.2840907,-3.2951392,-723.9634962,442.8617476,-2.0443844,-3.6271331,-331.6980896,216.4748805,-3.8844380,-2.4567343,-27.0017736
0.4900000,0.4900000,0.4900000,0.7805297,-3.8876214,-10.3955895,0.7805297,-710.6687069,453.5883272,-0.6231820,2.1895946,-320.9448839,226.4319623,0.4529886,1.1921457,-17.4519546,-3.2668934,-722.6411025,440.7060117,-2.0722956,-3.6168447,-330.2448883,215.3063172,-3.8511407,-2.4356752,-26.9132583
0.4925000,0.4925000,0.4925000,0.6768449,-3.8731476,-10.3681446,0.6768449,-709.0030889,451.1385977,-0.6522368,2.0370650,-320.7230806,225.2222169,0.3521651,1.0858915,-17.5952226,-3.2340312,-720.9753119,438.6297448,-2.0882082,-3.6000083,-330.8092337,214.2043273,-3.8124014,-2.4111744,-26.7772275
0.4950000,0.4950000,0.4950000,0.5755620,-3.8584135,-10.3359401,0.5755620,-707.0365168,448.6215791,-0.6793044,1.8888830,-321.7289475,224.0424718,0.2536991,0.9822036,-17.7149624,-3.1971740,-719.0083320,436.6259247,-2.0938015,-3.5773842,-333.1344442,213.1610026,-3.7689528,-2.3836950,-26.5992347
0.4975000,0.4975000,0.4975000,0.4767233,-3.8434880,-10.2988609,0.4767233,-704.8069125,446.0678658,-0.7044016,1.7447056,-323.1844860,222.8941039,0.1575718,0.8811394,-17.8104933,-3.1568804,-716.7777232,434.6882048,-2.0905510,-3.5496612,-334.9783220,212.1694361,-3.7214531,-2.3536536,-26.3843085
0.5000000,0.5000000,0.5000000,0.3803964,-3.8284288,-10.2568233,0.3803964,-702.3484266,443.5216107,-0.7274676,1.6043112,-324.4948429,221.7782113,0.0638201,0.7827354,-17.8802202,-3.1136521,-714.3169101,431.8454543,-2.0797531,-3.5174627,-336.3946265,211.2235894,-3.6704939,-2.3214242,-26.1370005
0.5025000,0.5025000,0.5025000,0.2866483,-3.8132807,-10.2097914,0.2866483,-699.6920272,441.0214283,-0.7483808,1.4675551,-325.5013887,220.6954261,-0.0274861,0.6869995,-17.9224509,-3.0679393,-711.6556375,429.0654019,-2.0625454,-3.4813530,-337.4312844,210.3181793,-3.6166058,-2.2873424,-25.8614287
0.5050000,0.5050000,0.5050000,0.1955258,-3.7980762,-10.1577923,0.1955258,-696.8659345,438.5917903,-0.7669854,1.3343322,-326.1932248,219.6458337,-0.1162708,0.5939114,-17.9360271,-3.0201457,-708.8203745,426.4583811,-2.0399262,-3.4622015,-338.1310295,209.4485796,-3.5602650,-2.2517093,-25.8527280
0.5075000,0.5075000,0.5075000,0.1070433,-3.7828391,-10.1009211,0.1070433,-693.8958231,436.2433739,-0.7831247,1.2045526,-326.5937482,218.6289842,-0.2024760,0.5034284,-17.9207084,-2.9706333,-705.8346742,424.0050636,-2.0127700,-3.4926344,-338.5319720,208.6107360,-3.5018978,-2.2147947,-26.0603714
0.5100000,0.5100000,0.5100000,0.0211818,-3.7675901,-10.0393333,0.0211818,-690.8047832,433.9768632,-0.7966745,1.0781295,-326.7324968,217.6439661,-0.2860765,0.4154947,-17.8773281,-2.9197259,-702.7194930,421.6884394,-1.9818427,-3.5123560,-338.6681044,207.8010928,-3.4418862,-2.1768400,-26.1900808
