# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.6525000,0.6525000,0.6525000,-0.1806703,-0.0032692,-1.1289734,-0.1806703,-9.8047181,-21.9316220,-0.0454396,-0.2982585,-3.7924861,-7.8804797,-0.2130403,-0.1346479,-2.2390386
0.6550000,0.6550000,0.6550000,-0.1764190,-0.0032282,-1.1154392,-0.1764190,-9.6686604,-21.6383204,-0.0443315,-0.2914969,-3.7375381,-7.7547560,-0.2080254,-0.1314813,-2.1873395
0.6575000,0.6575000,0.6575000,-0.1722798,-0.0031879,-1.1021211,-0.1722798,-9.5355502,-21.3498338,-0.0432550,-0.2848987,-3.6837477,-7.6313944,-0.2031428,-0.1283981,-2.1369260
0.6600000,0.6600000,0.6600000,-0.1682497,-0.0031482,-1.0890150,-0.1682497,-9.4053036,-21.0660673,-0.0422089,-0.2784604,-3.6310820,-7.5103447,-0.1983890,-0.1253960,-2.0877699
0.6625000,0.6625000,0.6625000,-0.1643256,-0.0031093,-1.0761166,-0.1643256,-9.2778391,-20.7869281,-0.0411923,-0.2721786,-3.5795087,-7.3915576,-0.1937604,-0.1224729,-2.0398432
0.6650000,0.6650000,0.6650000,-0.1605047,-0.0030710,-1.0634219,-0.1605047,-9.1530780,-20.5123255,-0.0402042,-0.2660498,-3.5289970,-7.2749853,-0.1892534,-0.1196265,-1.9931178
0.6675000,0.6675000,0.6675000,-0.1567840,-0.0030334,-1.0509270,-0.1567840,-9.0309440,-20.2421711,-0.0392437,-0.2600705,-3.4795170,-7.1605808,-0.1848648,-0.1168547,-1.9475657
0.6700000,0.6700000,0.6700000,-0.1531607,-0.0029964,-1.0386279,-0.1531607,-8.9113633,-19.9763783,-0.0383099,-0.2542372,-3.4310397,-7.0482984,-0.1805913,-0.1141555,-1.9031590
0.6725000,0.6725000,0.6725000,-0.1496322,-0.0029600,-1.0265208,-0.1496322,-8.7942646,-19.7148623,-0.0374021,-0.2485466,-3.3835371,-6.9380935,-0.1764295,-0.1115268,-1.8598701
0.6750000,0.6750000,0.6750000,-0.1461958,-0.0029243,-1.0146021,-0.1461958,-8.6795788,-19.4575406,-0.0365194,-0.2429954,-3.3369823,-6.8299223,-0.1723765,-0.1089666,-1.8176717
