# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.5225000,0.5225000,0.5225000,-0.7872864,-0.0015943,-3.6110594,-0.7872864,-38.6625394,-49.6000526,-0.3340575,-0.9314534,-16.6637761,-20.6496774,-0.9427513,-0.5716253,-9.3991231,-1.3637889,-48.1554089,-61.1709393,-0.9423329,-1.6050897,-24.6082793,-31.0361950,-1.6076873,-1.0167907,-11.9619230
0.5250000,0.5250000,0.5250000,-0.7867531,-0.0018423,-3.5576254,-0.7867531,-38.1557018,-48.8841929,-0.3244863,-0.9334340,-16.4158662,-20.2826891,-0.9394987,-0.5742150,-9.3019039,-1.3390488,-47.6275659,-60.4371347,-0.9233717,-1.6050622,-24.3321670,-30.6173173,-1.5785227,-0.9983454,-11.9548343
0.5275000,0.5275000,0.5275000,-0.7858658,-0.0021035,-3.5048442,-0.7858658,-37.6575034,-48.1730360,-0.3150930,-0.9345688,-16.1724458,-19.9232172,-0.9361466,-0.5761038,-9.2000813,-1.3135977,-47.1083085,-59.7070445,-0.9031903,-1.6010748,-24.0605345,-30.2055082,-1.5485199,-0.9793700,-11.9190030
0.5300000,0.5300000,0.5300000,-0.7844834,-0.0023701,-3.4527487,-0.7844834,-37.1677695,-47.4676670,-0.3058937,-0.9350644,-15.9334309,-19.5712151,-0.9325379,-0.5772033,-9.0940714,-1.2876050,-46.5974630,-58.9817667,-0.8820832,-1.5936115,-23.7933040,-29.8007837,-1.5178787,-0.9599908,-11.8579618
0.5325000,0.5325000,0.5325000,-0.7824785,-0.0026358,-3.4013658,-0.7824785,-36.6863288,-46.7690063,-0.2969009,-0.9350989,-15.6987370,-19.2266157,-0.9285168,-0.5774484,-8.9842936,-1.2612200,-46.0948588,-58.2622356,-0.8603015,-1.5831066,-23.5303978,-29.4031356,-1.4867750,-0.9403191,-11.7748826
0.5350000,0.5350000,0.5350000,-0.7797440,-0.0028955,-3.3507175,-0.7797440,-36.2130135,-46.0778294,-0.2881238,-0.9348163,-15.4682792,-18.8893349,-0.9239396,-0.5767984,-8.8711403,-1.2345738,-45.6003292,-57.5492420,-0.8380593,-1.5718373,-23.2717385,-29.0125350,-1.4553635,-0.9204527,-11.7025862
0.5375000,0.5375000,0.5375000,-0.7761985,-0.0031453,-3.3008211,-0.7761985,-35.7476588,-45.3947852,-0.2795689,-0.9343218,-15.2419732,-18.5592746,-0.9186835,-0.5752369,-8.7549596,-1.2077814,-45.1137102,-56.8434515,-0.8155384,-1.5650509,-23.0172488,-28.6289355,-1.4237796,-0.9004773,-11.6464967
0.5400000,0.5400000,0.5400000,-0.7717876,-0.0033825,-3.2516896,-0.7717876,-35.2901036,-44.7204115,-0.2712405,-0.9336806,-15.0197351,-18.2363256,-0.9126519,-0.5727688,-8.6360508,-1.1843142,-44.6348419,-56.1454201,-0.7928924,-1.5551632,-22.7668523,-28.2522763,-1.3961156,-0.8829810,-11.5679378
0.5425000,0.5425000,0.5425000,-0.7664837,-0.0036053,-3.2033327,-0.7664837,-34.8401899,-44.0551491,-0.2631408,-0.9329177,-14.8014821,-17.9203695,-0.9057773,-0.5694180,-8.5146736,-1.1704926,-44.1635671,-55.4556081,-0.7702510,-1.5425737,-22.5204730,-27.8824838,-1.3798221,-0.8726761,-11.4698242
0.5450000,0.5450000,0.5450000,-0.7602842,-0.0038124,-3.1557565,-0.7602842,-34.3977633,-43.3993534,-0.2552706,-0.9320211,-14.5871325,-17.6112806,-0.8980215,-0.5652241,-8.3910696,-1.1552159,-43.6997325,-54.7743920,-0.7477228,-1.5276404,-22.2780359,-27.5194744,-1.3618133,-0.8612864,-11.3547681
