# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
0.5150000,0.5150000,0.5150000,-0.8109499,-0.0053737,-4.3420222,-0.8109499,-0.7835125,-1.5316855
0.5175000,0.5175000,0.5175000,-0.8083397,-0.0058143,-4.2853337,-0.8083397,-0.7815019,-1.5300608
0.5200000,0.5200000,0.5200000,-0.8058497,-0.0061388,-4.2282752,-0.8058497,-0.7795553,-1.5263222
0.5225000,0.5225000,0.5225000,-0.8035133,-0.0063432,-4.1709984,-0.8035133,-0.7776848,-1.5207554
0.5250000,0.5250000,0.5250000,-0.8013703,-0.0064245,-4.1136436,-0.8013703,-0.7758765,-1.5136473
0.5275000,0.5275000,0.5275000,-0.7994593,-0.0063809,-4.0563381,-0.7994593,-0.7740918,-1.5052789
0.5300000,0.5300000,0.5300000,-0.7978084,-0.0062127,-3.9991968,-0.7978084,-0.7722724,-1.4959181
0.5325000,0.5325000,0.5325000,-0.7964260,-0.0059229,-3.9423221,-0.7964260,-0.7703459,-1.4858129
0.5350000,0.5350000,0.5350000,-0.7952968,-0.0055172,-3.8858047,-0.7952968,-0.7682312,-1.4751863
0.5375000,0.5375000,0.5375000,-0.7943801,-0.0050043,-3.8297239,-0.7943801,-0.7658422,-1.4642315
0.5400000,0.5400000,0.5400000,-0.7936130,-0.0043958,-3.7741487,-0.7936130,-0.7630910,-1.4531106
0.5425000,0.5425000,0.5425000,-0.7929138,-0.0037050,-3.7191385,-0.7929138,-0.7598915,-1.4419537
0.5450000,0.5450000,0.5450000,-0.7921857,-0.0029472,-3.6647438,-0.7921857,-0.7561628,-1.4308624
0.5475000,0.5475000,0.5475000,-0.7913214,-0.0021390,-3.6110074,-0.7913214,-0.7518337,-1.4199147
0.5500000,0.5500000,0.5500000,-0.7902064,-0.0012978,-3.5579647,-0.7902064,-0.7468460,-1.4091719
