# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.3675000,0.3675000,0.3675000,1.6023076,-2.6658233,-4.2073416,1.6023076,-451.8217135,337.7099081,-0.3359644,4.5447344,-217.4345491,168.0993166,1.5217785,1.6653948,1.3081929
0.3700000,0.3700000,0.3700000,1.4429557,-2.6533250,-4.1986514,1.4429557,-449.6291214,335.1054519,-0.3549339,4.2148058,-216.3095409,166.8584413,1.3539936,1.5200746,0.3283635
0.3725000,0.3725000,0.3725000,1.2925647,-2.6409113,-4.1883346,1.2925647,-447.4771882,332.5691095,-0.3725588,3.9031927,-215.1688661,165.6386227,1.1960758,1.3826376,-0.5468571
0.3750000,0.3750000,0.3750000,1.1506513,-2.6285719,-4.1767105,1.1506513,-445.2770802,330.0924835,-0.3894378,3.6090166,-214.0130561,164.4374928,1.0473655,1.2527843,-1.3285947
0.3775000,0.3775000,0.3775000,1.0168295,-2.6162893,-4.1639570,1.0168295,-442.9804144,327.6635935,-0.4060423,3.3314196,-212.8468801,163.2516736,0.9073313,1.1302152,-2.0269185
0.3800000,0.3800000,0.3800000,0.8907709,-2.6040420,-4.1501035,0.8907709,-440.5706342,325.2691527,-0.4226574,3.0695388,-211.6782435,162.0771919,0.7755491,1.0145979,-2.6509249
0.3825000,0.3825000,0.3825000,0.7721608,-2.5918071,-4.1350473,0.7721608,-438.0494011,322.8976976,-0.4393525,2.8224969,-210.5161909,160.9100893,0.6516660,0.9055529,-3.2088418
0.3850000,0.3850000,0.3850000,0.6606616,-2.5795630,-4.1185880,0.6606616,-435.4271127,320.5425328,-0.4559861,2.5894075,-209.3683109,159.7471158,0.5353560,0.8026600,-3.7081487
0.3875000,0.3875000,0.3875000,0.5558919,-2.5672912,-4.1004719,0.5558919,-432.7176074,318.2031512,-0.4722464,2.3693914,-208.2383823,158.5863111,0.4262807,0.7054823,-4.1556948
0.3900000,0.3900000,0.3900000,0.4574263,-2.5549765,-4.0804351,0.4574263,-429.9354687,315.8844573,-0.4877157,2.1616006,-207.1252755,157.4273015,0.3240615,0.6135990,-4.5577920
0.3925000,0.3925000,0.3925000,0.3648146,-2.5426060,-4.0582395,0.3648146,-427.0947331,313.5943418,-0.5019438,1.9652443,-206.0235703,156.2712653,0.2282744,0.5266374,-4.9202601
0.3950000,0.3950000,0.3950000,0.2776130,-2.5301677,-4.0336989,0.2776130,-424.2083205,311.3408667,-0.5145142,1.7796117,-204.9254282,155.1206610,0.1384633,0.4442976,-5.2484126
0.3975000,0.3975000,0.3975000,0.1954178,-2.5176495,-4.0066927,0.1954178,-421.2878302,309.1300730,-0.5250915,1.6040857,-203.8227281,153.9788502,0.0541689,0.3663644,-5.5469917
0.4000000,0.4000000,0.4000000,0.1178936,-2.5050383,-3.9771704,0.1178936,-418.3435184,306.9647428,-0.5334464,1.4381438,-202.7086553,152.8496804,-0.0250368,0.2927059,-5.8200739
0.4025000,0.4025000,0.4025000,0.0447902,-2.4923209,-3.9451485,0.0447902,-415.3843630,304.8439774,-0.5394619,1.2813458,-201.5784693,151.7370138,-0.0995194,0.2232597,-6.0709851
0.4050000,0.4050000,0.4050000,-0.0240545,-2.4794849,-3.9107024,-0.0240545,-412.4181670,302.7633666,-0.5431231,1.1333091,-200.4295937,150.6441766,-0.1695608,0.1580093,-6.3022580
0.4075000,0.4075000,0.4075000,-0.0887250,-2.4665209,-3.8739561,-0.0887250,-409.4516753,300.7156430,-0.5445005,0.9936794,-199.2613143,149.5733624,-0.2353519,0.0969536,-6.5156576
0.4100000,0.4100000,0.4100000,-0.1492502,-2.4534229,-3.8350705,-0.1492502,-406.4906910,298.6918164,-0.5437285,0.8621024,-198.0743314,148.5250754,-0.2969992,0.0400756,-6.7122762
0.4125000,0.4125000,0.4125000,-0.2056338,-2.4401889,-3.7942326,-0.2056338,-403.5401865,296.6827271,-0.5409855,0.7382046,-196.8703156,147.4977050,-0.3545448,-0.0126873,-6.8926839
0.4150000,0.4150000,0.4150000,-0.2578874,-2.4268199,-3.7516458,-0.2578874,-400.6044041,294.6807376,-0.5364754,0.6215864,-195.6515342,146.4873032,-0.4079956,-0.0614648,-7.0571048
0.4175000,0.4175000,0.4175000,-0.3060620,-2.4133180,-3.7075209,-0.3060620,-397.6869482,292.6810940,-0.5304133,0.5118288,-194.4205655,145.4876398,-0.4573573,-0.1064657,-7.2055931
0.4200000,0.4200000,0.4200000,-0.3502735,-2.3996850,-3.6620700,-0.3502735,-394.7908655,290.6825554,-0.5230143,0.4085097,-193.1800943,144.4906840,-0.5026680,-0.1479767,-7.3381827
0.4225000,0.4225000,0.4225000,-0.3907170,-2.3859203,-3.6155007,-0.3907170,-391.9187176,288.6872451,-0.5144856,0.3112253,-191.9327729,143.4877157,-0.5440261,-0.1863493,-7.4549988
0.4250000,0.4250000,0.4250000,-0.4276694,-2.3720199,-3.5680125,-0.4276694,-389.0726435,286.6999901,-0.5050214,0.2196110,-190.6811329,142.4711364,-0.5816089,-0.2219747,-7.5563257
0.4275000,0.4275000,0.4275000,-0.4614779,-2.3579775,-3.5197940,-0.4614779,-386.2544146,284.7274348,-0.4947999,0.1333568,-189.4275318,141.4366114,-0.6156778,-0.2552506,-7.6426314
0.4300000,0.4300000,0.4300000,-0.4925371,-2.3437856,-3.4710210,-0.4925371,-383.4654829,282.7770032,-0.4839818,0.0522154,-188.1741255,140.3846980,-0.6465706,-0.2865457,-7.7145540
