# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.9875000,0.9875000,0.9875000,-0.0217457,1.0084136,-0.4840115,-0.0217457,137.1273786,-146.2322865,-0.0051840,-0.0371581,69.1660953,-71.9470686,-0.0256351,-0.0162123,-0.2750379,-0.0332364,133.2570982,-152.4049263,-0.0078567,-0.0568791,66.6166034,-76.1983508,-0.0391804,-0.0247799,-0.4205136
0.9900000,0.9900000,0.9900000,-0.0214007,1.0058886,-0.4802183,-0.0214007,136.8004153,-145.8232389,-0.0051018,-0.0365692,68.9991517,-71.7513886,-0.0252284,-0.0159552,-0.2706703,-0.0326436,132.9455976,-151.9783860,-0.0077165,-0.0558670,66.4610351,-75.9851475,-0.0384816,-0.0243379,-0.4130310
0.9925000,0.9925000,0.9925000,-0.0210621,1.0033761,-0.4764649,-0.0210621,136.4749536,-145.4165780,-0.0050211,-0.0359912,68.8329798,-71.5568430,-0.0248293,-0.0157028,-0.2663841,-0.0320632,132.6355085,-151.5542715,-0.0075793,-0.0548761,66.3061693,-75.7731558,-0.0377974,-0.0239052,-0.4057047
0.9950000,0.9950000,0.9950000,-0.0207299,1.0008761,-0.4727510,-0.0207299,136.1509838,-145.0122830,-0.0049420,-0.0354238,68.6675746,-71.3634213,-0.0244376,-0.0154550,-0.2621774,-0.0314950,132.3268215,-151.1325617,-0.0074450,-0.0539058,66.1520015,-75.5623653,-0.0371276,-0.0234815,-0.3985309
0.9975000,0.9975000,0.9975000,-0.0204037,0.9983885,-0.4690759,-0.0204037,135.8284962,-144.6103330,-0.0048643,-0.0348669,68.5029310,-71.1711134,-0.0240531,-0.0152119,-0.2580486,-0.0309387,132.0195277,-150.7132359,-0.0073134,-0.0529557,65.9985271,-75.3527656,-0.0364717,-0.0230667,-0.3915061
1.0000000,1.0000000,1.0000000,-0.0200836,0.9959132,-0.4654392,-0.0200836,135.5074813,-144.2107074,-0.0047880,-0.0343203,68.3390441,-70.9799091,-0.0236757,-0.0149732,-0.2539961,-0.0303939,131.7136178,-150.2962738,-0.0071847,-0.0520252,65.8457417,-75.1443465,-0.0358295,-0.0226605,-0.3846268
1.0025000,1.0025000,1.0025000,-0.0197693,0.9934501,-0.4618403,-0.0197693,135.1879296,-143.8133861,-0.0047131,-0.0337837,68.1759090,-70.7897984,-0.0233052,-0.0147389,-0.2500181,-0.0298604,131.4090830,-149.8816549,-0.0070585,-0.0511140,65.6936408,-74.9370979,-0.0352006,-0.0222628,-0.3778894
1.0050000,1.0050000,1.0050000,-0.0194608,0.9909991,-0.4582788,-0.0194608,134.8698316,-143.4183489,-0.0046396,-0.0332569,68.0135207,-70.6007715,-0.0229415,-0.0145090,-0.2461132,-0.0293379,131.1059143,-149.4693594,-0.0069351,-0.0502214,65.5422201,-74.7310099,-0.0345847,-0.0218733,-0.3712906
1.0075000,1.0075000,1.0075000,-0.0191580,0.9885601,-0.4547541,-0.0191580,134.5531780,-143.0255759,-0.0045674,-0.0327397,67.8518744,-70.4128186,-0.0225845,-0.0142832,-0.2422798,-0.0288262,130.8041029,-149.0593674,-0.0068141,-0.0493472,65.3914752,-74.5260725,-0.0339815,-0.0214918,-0.3648272
1.0100000,1.0100000,1.0100000,-0.0188606,0.9861330,-0.4512658,-0.0188606,134.2379595,-142.6350477,-0.0044966,-0.0322319,67.6909653,-70.2259300,-0.0222340,-0.0140615,-0.2385163,-0.0283250,130.5036400,-148.6516593,-0.0066957,-0.0484909,65.2414017,-74.3222759,-0.0333906,-0.0211181,-0.3584960
