# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.9075000,0.9075000,0.9075000,-0.0148474,1.1014269,-0.2752687,-0.0148474,149.2618309,-157.4762784,-0.0036958,-0.0251665,75.2845802,-77.8093830,-0.0175028,-0.0110696,-0.1861443,-0.0188323,145.2931922,-162.8615626,-0.0047392,-0.0317441,72.6353282,-81.4284055,-0.0222003,-0.0140407,-0.2347361
0.9100000,0.9100000,0.9100000,-0.0146005,1.0984040,-0.2729766,-0.0146005,148.8714843,-157.0138658,-0.0036343,-0.0247485,75.0857191,-77.5849255,-0.0172117,-0.0108855,-0.1830510,-0.0185043,144.9113963,-162.3840036,-0.0046564,-0.0311928,72.4446264,-81.1896656,-0.0218135,-0.0137961,-0.2306594
0.9125000,0.9125000,0.9125000,-0.0143583,1.0953977,-0.2707100,-0.0143583,148.4831599,-156.5542109,-0.0035740,-0.0243385,74.8878820,-77.3618028,-0.0169262,-0.0107049,-0.1800174,-0.0181829,144.5316144,-161.9092405,-0.0045753,-0.0306526,72.2549276,-80.9523228,-0.0214347,-0.0135565,-0.2266649
0.9150000,0.9150000,0.9150000,-0.0141208,1.0924078,-0.2684684,-0.0141208,148.0968419,-156.0972894,-0.0035148,-0.0239365,74.6910609,-77.1400027,-0.0166463,-0.0105279,-0.1770423,-0.0178680,144.1538304,-161.4372488,-0.0044958,-0.0301233,72.0662239,-80.7163651,-0.0210634,-0.0133217,-0.2227506
0.9175000,0.9175000,0.9175000,-0.0138879,1.0894341,-0.2662516,-0.0138879,147.7125145,-155.6430769,-0.0034568,-0.0235422,74.4952482,-76.9195135,-0.0163717,-0.0103542,-0.1741244,-0.0175594,143.7780287,-160.9680043,-0.0044179,-0.0296046,71.8785076,-80.4817802,-0.0206997,-0.0130916,-0.2189149
0.9200000,0.9200000,0.9200000,-0.0136595,1.0864766,-0.2640592,-0.0136595,147.3301623,-155.1915496,-0.0033999,-0.0231554,74.3004362,-76.7003231,-0.0161024,-0.0101839,-0.1712624,-0.0172570,143.4041935,-160.5014831,-0.0043416,-0.0290963,71.6917708,-80.2485562,-0.0203432,-0.0128662,-0.2151558
0.9225000,0.9225000,0.9225000,-0.0134354,1.0835351,-0.2618908,-0.0134354,146.9497698,-154.7426840,-0.0033441,-0.0227760,74.1066173,-76.4824199,-0.0158382,-0.0100169,-0.1684551,-0.0169607,143.0323094,-160.0376615,-0.0042668,-0.0285981,71.5060059,-80.0166813,-0.0199939,-0.0126453,-0.2114716
0.9250000,0.9250000,0.9250000,-0.0132156,1.0806094,-0.2597462,-0.0132156,146.5713218,-154.2964565,-0.0032894,-0.0224039,73.9137842,-76.2657924,-0.0155791,-0.0098530,-0.1657013,-0.0166703,142.6623610,-159.5765160,-0.0041935,-0.0281098,71.3212054,-79.7861439,-0.0196516,-0.0124288,-0.2078607
0.9275000,0.9275000,0.9275000,-0.0130000,1.0776995,-0.2576250,-0.0130000,146.1948033,-153.8528442,-0.0032357,-0.0220388,73.7219293,-76.0504291,-0.0153250,-0.0096922,-0.1629999,-0.0163857,142.2943332,-159.1180237,-0.0041217,-0.0276312,71.1373618,-79.5569323,-0.0193161,-0.0122166,-0.2043214
0.9300000,0.9300000,0.9300000,-0.0127885,1.0748052,-0.2555269,-0.0127885,145.8201994,-153.4118243,-0.0031831,-0.0216806,73.5310453,-75.8363188,-0.0150756,-0.0095345,-0.1603497,-0.0161068,141.9282111,-158.6621617,-0.0040514,-0.0271621,70.9544675,-79.3290352,-0.0189873,-0.0120086,-0.2008521
0.9325000,0.9325000,0.9325000,-0.0125810,1.0719264,-0.2534516,-0.0125810,145.4474953,-152.9733742,-0.0031314,-0.0213292,73.3411249,-75.6234504,-0.0148310,-0.0093798,-0.1577497,-0.0158333,141.5639797,-158.2089073,-0.0039824,-0.0267022,70.7725153,-79.1024413,-0.0186650,-0.0118048,-0.1974512
