# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.0600000,0.0600000,0.0600000,inf,nan,7807931.5655548,1050479.1424019,669266.8565482,4292532.7005668,62229.9602307,3018777.1802610,1050320.7652383,1050637.5195655,1238345.5744831,783198.5091513,22136932.7449417,1050479.1424019,669266.8565482,4292532.7005668,62229.9602307,3018777.1802610,1050320.7652383,1050637.5195655,1238345.5744831,783198.5091513,22136932.7449417
0.0625000,0.0625000,0.0625000,inf,nan,6218502.6359306,960750.3872170,611331.7446655,3937519.1499415,56436.2140950,2768599.4942362,960608.8069046,960891.9675294,1132569.8361538,716300.0582899,20301508.3686629,960750.3872170,611331.7446655,3937519.1499415,56436.2140950,2768599.4942362,960608.8069046,960891.9675294,1132569.8361538,716300.0582899,20301508.3686629
0.0650000,0.0650000,0.0650000,inf,nan,4601368.9493130,817200.1879970,519983.3340137,3348602.0919096,48007.8854670,2354515.7742859,817059.9436418,817340.4323522,963347.2911789,609274.3235758,17265178.0894709,817200.1879970,519983.3340137,3348602.0919096,48007.8854670,2354515.7742859,817059.9436418,817340.4323522,963347.2911789,609274.3235758,17265178.0894709
0.0675000,0.0675000,0.0675000,inf,nan,3751628.3147602,698660.8852459,444545.0878213,2862393.9586844,41045.1774099,2012645.2998339,698522.0819099,698799.6885818,823608.5614517,520895.7909204,14758354.4116856,698660.8852459,444545.0878213,2862393.9586844,41045.1774099,2012645.2998339,698522.0819099,698799.6885818,823608.5614517,520895.7909204,14758354.4116856
0.0700000,0.0700000,0.0700000,inf,nan,3562621.4427191,600274.9142676,381927.8603919,2458933.2341815,35263.9184984,1728954.0263603,600137.6481328,600412.1804023,707627.3612219,447542.8392232,12678133.1308674,600274.9142676,381927.8603919,2458933.2341815,35263.9184984,1728954.0263603,600137.6481328,600412.1804023,707627.3612219,447542.8392232,12678133.1308674
0.0725000,0.0725000,0.0725000,inf,nan,3630662.0392791,518193.5101681,329683.9361577,2122405.6012620,30438.8907020,1492323.5420410,518057.8688279,518329.1515082,610866.6170898,386345.9713132,10942988.7079474,518193.5101681,329683.9361577,2122405.6012620,30438.8907020,1492323.5420410,518057.8688279,518329.1515082,610866.6170898,386345.9713132,10942988.7079474
0.0750000,0.0750000,0.0750000,inf,nan,3841810.9341916,449358.3094871,285868.1740283,1840245.9531200,26391.0715835,1293919.7556252,449224.3722643,449492.2467098,529721.0115359,335024.9841804,9488145.2297968,449358.3094871,285868.1740283,1840245.9531200,26391.0715835,1293919.7556252,449224.3722643,449492.2467098,529721.0115359,335024.9841804,9488145.2297968
0.0775000,0.0775000,0.0775000,inf,nan,4773535.4182155,391331.3209694,248929.9049237,1602439.2770357,22977.7024515,1126701.3976550,391199.1592543,391463.4826845,461316.5458679,291762.2014528,8261972.5390366,391331.3209694,248929.9049237,1602439.2770357,22977.7024515,1126701.3976550,391199.1592543,391463.4826845,461316.5458679,291762.2014528,8261972.5390366
0.0800000,0.0800000,0.0800000,inf,nan,6691787.6760554,342162.5446165,217628.7656674,1400976.3380959,20084.5557786,985037.3504836,342032.2222178,342292.8670153,403354.4844222,255103.7750434,7223180.3411065,342162.5446165,217628.7656674,1400976.3380959,20084.5557786,985037.3504836,342032.2222178,342292.8670153,403354.4844222,255103.7750434,7223180.3411065
0.0825000,0.0825000,0.0825000,inf,nan,10181058.0594124,300286.8272999,190969.1207965,1229429.5813923,17619.9102586,864408.4950854,300158.4008040,300415.2537957,353989.7639587,223882.7844990,6338632.0226415,300286.8272999,190969.1207965,1229429.5813923,17619.9102586,864408.4950854,300158.4008040,300415.2537957,353989.7639587,223882.7844990,6338632.0226415
0.0850000,0.0850000,0.0850000,inf,nan,6181843.0147488,264180.4016920,167925.6793138,1082351.4119082,15465.4929919,760945.8027610,264051.8995385,264308.9038455,311426.1084256,196963.1650935,5579898.2269331,264180.4016920,167925.6793138,1082351.4119082,15465.4929919,760945.8027610,264051.8995385,264308.9038455,311426.1084256,196963.1650935,5579898.2269331
0.0875000,0.0875000,0.0875000,inf,nan,3693263.9395656,229033.5805461,145551.9196027,938352.8973973,13398.4968206,659689.3878073,228906.9359632,229160.2251289,269993.6718675,170758.9913867,4837405.3091299,229033.5805461,145551.9196027,938352.8973973,13398.4968206,659689.3878073,228906.9359632,229160.2251289,269993.6718675,170758.9913867,4837405.3091299
0.0900000,0.0900000,0.0900000,inf,nan,2277919.2959440,199118.9114269,126508.4774860,815809.4191703,11639.1085801,573519.1492998,198994.1632245,199243.6596292,234729.0991400,148455.7172804,4205534.7274971,199118.9114269,126508.4774860,815809.4191703,11639.1085801,573519.1492998,198994.1632245,199243.6596292,234729.0991400,148455.7172804,4205534.7274971
0.0925000,0.0925000,0.0925000,inf,nan,1445903.7044773,173563.2175216,110239.7895267,711136.8231460,10136.0967312,499915.0436015,173440.3986842,173686.0363590,204603.0555347,129402.3343439,3665808.0412414,173563.2175216,110239.7895267,711136.8231460,10136.0967312,499915.0436015,173440.3986842,173686.0363590,204603.0555347,129402.3343439,3665808.0412414
