# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
1.2575000,1.2575000,1.2575000,-0.0048029,0.0016004,-0.2366432,-0.0048029,-5.7879143,-4.6504217,-0.0010584,-0.0084401,-0.0398893,-0.1370290,-0.3784531
1.2600000,1.2600000,1.2600000,-0.0047449,0.0015909,-0.2352162,-0.0047449,-5.7467912,-4.6215017,-0.0010456,-0.0083382,-0.0394084,-0.1353856,-0.3739775
1.2625000,1.2625000,1.2625000,-0.0046878,0.0015814,-0.2338007,-0.0046878,-5.7059980,-4.5927906,-0.0010330,-0.0082377,-0.0389342,-0.1337651,-0.3695626
1.2650000,1.2650000,1.2650000,-0.0046314,0.0015720,-0.2323966,-0.0046314,-5.6655318,-4.5642867,-0.0010206,-0.0081386,-0.0384667,-0.1321671,-0.3652076
1.2675000,1.2675000,1.2675000,-0.0045758,0.0015627,-0.2310037,-0.0045758,-5.6253898,-4.5359884,-0.0010083,-0.0080410,-0.0380057,-0.1305913,-0.3609114
1.2700000,1.2700000,1.2700000,-0.0045210,0.0015535,-0.2296220,-0.0045210,-5.5855691,-4.5078940,-0.0009962,-0.0079447,-0.0375512,-0.1290373,-0.3566733
1.2725000,1.2725000,1.2725000,-0.0044670,0.0015443,-0.2282513,-0.0044670,-5.5460670,-4.4800018,-0.0009843,-0.0078497,-0.0371030,-0.1275048,-0.3524923
1.2750000,1.2750000,1.2750000,-0.0044137,0.0015352,-0.2268915,-0.0044137,-5.5068807,-4.4523102,-0.0009726,-0.0077561,-0.0366611,-0.1259934,-0.3483676
1.2775000,1.2775000,1.2775000,-0.0043611,0.0015262,-0.2255426,-0.0043611,-5.4680075,-4.4248177,-0.0009610,-0.0076638,-0.0362253,-0.1245028,-0.3442984
1.2800000,1.2800000,1.2800000,-0.0043093,0.0015173,-0.2242043,-0.0043093,-5.4294447,-4.3975225,-0.0009496,-0.0075727,-0.0357955,-0.1230326,-0.3402837
1.2825000,1.2825000,1.2825000,-0.0042582,0.0015084,-0.2228767,-0.0042582,-5.3911896,-4.3704232,-0.0009383,-0.0074830,-0.0353717,-0.1215827,-0.3363229
1.2850000,1.2850000,1.2850000,-0.0042078,0.0014996,-0.2215596,-0.0042078,-5.3532396,-4.3435181,-0.0009272,-0.0073944,-0.0349537,-0.1201526,-0.3324151
1.2875000,1.2875000,1.2875000,-0.0041581,0.0014909,-0.2202528,-0.0041581,-5.3155920,-4.3168056,-0.0009163,-0.0073071,-0.0345415,-0.1187420,-0.3285595
1.2900000,1.2900000,1.2900000,-0.0041091,0.0014822,-0.2189564,-0.0041091,-5.2782443,-4.2902843,-0.0009055,-0.0072210,-0.0341349,-0.1173507,-0.3247553
1.2925000,1.2925000,1.2925000,-0.0040608,0.0014736,-0.2176701,-0.0040608,-5.2411939,-4.2639526,-0.0008948,-0.0071361,-0.0337340,-0.1159783,-0.3210018
1.2950000,1.2950000,1.2950000,-0.0040131,0.0014651,-0.2163940,-0.0040131,-5.2044381,-4.2378090,-0.0008843,-0.0070523,-0.0333385,-0.1146246,-0.3172982
1.2975000,1.2975000,1.2975000,-0.0039661,0.0014566,-0.2151278,-0.0039661,-5.1679745,-4.2118520,-0.0008740,-0.0069697,-0.0329484,-0.1132892,-0.3136438
1.3000000,1.3000000,1.3000000,-0.0039197,0.0014482,-0.2138716,-0.0039197,-5.1318006,-4.1860801,-0.0008637,-0.0068882,-0.0325636,-0.1119719,-0.3100378
1.3025000,1.3025000,1.3025000,-0.0038740,0.0014399,-0.2126251,-0.0038740,-5.0959140,-4.1604918,-0.0008537,-0.0068078,-0.0321841,-0.1106723,-0.3064795
1.3050000,1.3050000,1.3050000,-0.0038289,0.0014316,-0.2113883,-0.0038289,-5.0603120,-4.1350857,-0.0008437,-0.0067286,-0.0318098,-0.1093904,-0.3029683
1.3075000,1.3075000,1.3075000,-0.0037844,0.0014234,-0.2101611,-0.0037844,-5.0249924,-4.1098602,-0.0008339,-0.0066504,-0.0314405,-0.1081256,-0.2995034
1.3100000,1.3100000,1.3100000,-0.0037405,0.0014152,-0.2089435,-0.0037405,-4.9899527,-4.0848140,-0.0008242,-0.0065732,-0.0310762,-0.1068779,-0.2960842
1.3125000,1.3125000,1.3125000,-0.0036972,0.0014071,-0.2077353,-0.0036972,-4.9551905,-4.0599457,-0.0008147,-0.0064971,-0.0307169,-0.1056469,-0.2927099
1.3150000,1.3150000,1.3150000,-0.0036545,0.0013991,-0.2065364,-0.0036545,-4.9207034,-4.0352538,-0.0008053,-0.0064221,-0.0303623,-0.1044324,-0.2893799
1.3175000,1.3175000,1.3175000,-0.0036123,0.0013912,-0.2053467,-0.0036123,-4.8864891,-4.0107369,-0.0007960,-0.0063480,-0.0300126,-0.1032341,-0.2860936
1.3200000,1.3200000,1.3200000,-0.0035707,0.0013833,-0.2041662,-0.0035707,-4.8525453,-3.9863937,-0.0007868,-0.0062749,-0.0296676,-0.1020518,-0.2828503
1.3225000,1.3225000,1.3225000,-0.0035297,0.0013754,-0.2029947,-0.0035297,-4.8188697,-3.9622227,-0.0007778,-0.0062029,-0.0293271,-0.1008852,-0.2796494
1.3250000,1.3250000,1.3250000,-0.0034893,0.0013676,-0.2018323,-0.0034893,-4.7854599,-3.9382226,-0.0007689,-0.0061318,-0.0289913,-0.0997341,-0.2764902
1.3275000,1.3275000,1.3275000,-0.0034493,0.0013599,-0.2006787,-0.0034493,-4.7523138,-3.9143920,-0.0007601,-0.0060616,-0.0286599,-0.0985983,-0.2733722
1.3300000,1.3300000,1.3300000,-0.0034099,0.0013522,-0.1995339,-0.0034099,-4.7194291,-3.8907297,-0.0007514,-0.0059924,-0.0283329,-0.0974776,-0.2702948
1.3325000,1.3325000,1.3325000,-0.0033711,0.0013446,-0.1983978,-0.0033711,-4.6868036,-3.8672342,-0.0007428,-0.0059241,-0.0280103,-0.0963716,-0.2672573
1.3350000,1.3350000,1.3350000,-0.0033327,0.0013371,-0.1972704,-0.0033327,-4.6544350,-3.8439043,-0.0007344,-0.0058567,-0.0276920,-0.0952803,-0.2642592
1.3375000,1.3375000,1.3375000,-0.0032949,0.0013296,-0.1961515,-0.0032949,-4.6223212,-3.8207387,-0.0007260,-0.0057902,-0.0273779,-0.0942033,-0.2613000
