# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.9050000,0.9050000,0.9050000,-0.0281738,-0.0008883,-0.4826691,-0.0281738,-4.6392467,-3.8608868,-0.0066931,-0.0481818,-1.3224557,-1.1698205,-0.0332132,-0.0210046,-0.3567625
0.9075000,0.9075000,0.9075000,-0.0276874,-0.0008817,-0.4785422,-0.0276874,-4.5907559,-3.8225172,-0.0065774,-0.0473517,-1.3068948,-1.1571731,-0.0326397,-0.0206420,-0.3506007
0.9100000,0.9100000,0.9100000,-0.0272107,-0.0008752,-0.4744625,-0.0272107,-4.5428652,-3.7846345,-0.0064640,-0.0465382,-1.2915598,-1.1446977,-0.0320778,-0.0202866,-0.3445633
0.9125000,0.9125000,0.9125000,-0.0267437,-0.0008687,-0.4704296,-0.0267437,-4.4955661,-3.7472310,-0.0063529,-0.0457410,-1.2764468,-1.1323913,-0.0315272,-0.0199384,-0.3386475
0.9150000,0.9150000,0.9150000,-0.0262860,-0.0008623,-0.4664426,-0.0262860,-4.4488504,-3.7102990,-0.0062440,-0.0449598,-1.2615521,-1.1202512,-0.0309876,-0.0195972,-0.3328505
0.9175000,0.9175000,0.9175000,-0.0258374,-0.0008560,-0.4625009,-0.0258374,-4.4027099,-3.6738308,-0.0061373,-0.0441941,-1.2468720,-1.1082745,-0.0304588,-0.0192629,-0.3271695
0.9200000,0.9200000,0.9200000,-0.0253979,-0.0008497,-0.4586039,-0.0253979,-4.3571366,-3.6378193,-0.0060328,-0.0434436,-1.2324028,-1.0964587,-0.0299406,-0.0189351,-0.3216020
0.9225000,0.9225000,0.9225000,-0.0249670,-0.0008434,-0.4547510,-0.0249670,-4.3121225,-3.6022570,-0.0059303,-0.0427080,-1.2181410,-1.0848010,-0.0294327,-0.0186139,-0.3161453
0.9250000,0.9250000,0.9250000,-0.0245447,-0.0008372,-0.4509414,-0.0245447,-4.2676599,-3.5671370,-0.0058299,-0.0419870,-1.2040831,-1.0732989,-0.0289348,-0.0182991,-0.3107968
0.9275000,0.9275000,0.9275000,-0.0241307,-0.0008310,-0.4471747,-0.0241307,-4.2237411,-3.5324523,-0.0057315,-0.0412801,-1.1902257,-1.0619498,-0.0284468,-0.0179905,-0.3055542
0.9300000,0.9300000,0.9300000,-0.0237250,-0.0008249,-0.4434501,-0.0237250,-4.1803586,-3.4981961,-0.0056350,-0.0405871,-1.1765654,-1.0507511,-0.0279684,-0.0176880,-0.3004150
0.9325000,0.9325000,0.9325000,-0.0233271,-0.0008189,-0.4397672,-0.0233271,-4.1375050,-3.4643617,-0.0055404,-0.0399077,-1.1630989,-1.0397006,-0.0274994,-0.0173914,-0.2953769
0.9350000,0.9350000,0.9350000,-0.0229371,-0.0008129,-0.4361252,-0.0229371,-4.0951729,-3.4309425,-0.0054477,-0.0392416,-1.1498231,-1.0287957,-0.0270396,-0.0171006,-0.2904376
0.9375000,0.9375000,0.9375000,-0.0225547,-0.0008069,-0.4325238,-0.0225547,-4.0533551,-3.3979322,-0.0053568,-0.0385884,-1.1367347,-1.0180341,-0.0265888,-0.0168156,-0.2855949
0.9400000,0.9400000,0.9400000,-0.0221798,-0.0008010,-0.4289622,-0.0221798,-4.0120447,-3.3653245,-0.0052677,-0.0379479,-1.1238306,-1.0074135,-0.0261468,-0.0165360,-0.2808466
0.9425000,0.9425000,0.9425000,-0.0218121,-0.0007951,-0.4254399,-0.0218121,-3.9712345,-3.3331131,-0.0051803,-0.0373199,-1.1111077,-0.9969317,-0.0257134,-0.0162619,-0.2761906
