# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol]
1.1980432,1.1980432,1.4085385,-0.1019988
1.2080432,1.2080432,1.4185385,-0.0990661
1.2180432,1.2180432,1.4285385,-0.0962345
1.2280432,1.2280432,1.4385385,-0.0934998
1.2380432,1.2380432,1.4485385,-0.0908583
1.2480432,1.2480432,1.4585385,-0.0883060
1.2580432,1.2580432,1.4685385,-0.0858395
1.2680432,1.2680432,1.4785385,-0.0834554
1.2780432,1.2780432,1.4885385,-0.0811505
1.2880432,1.2880432,1.4985385,-0.0789216
1.2980432,1.2980432,1.5085385,-0.0767658
1.3080432,1.3080432,1.5185385,-0.0746803
1.3180432,1.3180432,1.5285385,-0.0726624
1.3280432,1.3280432,1.5385385,-0.0707095
1.3380432,1.3380432,1.5485385,-0.0688192
1.3480432,1.3480432,1.5585385,-0.0669891
1.3580432,1.3580432,1.5685385,-0.0652170
1.3680432,1.3680432,1.5785385,-0.0635007
1.3780432,1.3780432,1.5885385,-0.0618381
1.3880432,1.3880432,1.5985385,-0.0602273
1.3980432,1.3980432,1.6085385,-0.0586664
1.4080432,1.4080432,1.6185385,-0.0571536
1.4180432,1.4180432,1.6285385,-0.0556872
1.4280432,1.4280432,1.6385385,-0.0542654
1.4380432,1.4380432,1.6485385,-0.0528868
1.4480432,1.4480432,1.6585385,-0.0515497
1.4580432,1.4580432,1.6685385,-0.0502528
1.4680432,1.4680432,1.6785385,-0.0489945
1.4780432,1.4780432,1.6885385,-0.0477736
1.4880432,1.4880432,1.6985385,-0.0465888
1.4980432,1.4980432,1.7085385,-0.0454387
1.5080432,1.5080432,1.7185385,-0.0443224
1.5180432,1.5180432,1.7285385,-0.0432385
1.5280432,1.5280432,1.7385385,-0.0421859
1.5380432,1.5380432,1.7485385,-0.0411637
1.5480432,1.5480432,1.7585385,-0.0401708
1.5580432,1.5580432,1.7685385,-0.0392063
1.5680432,1.5680432,1.7785385,-0.0382691
1.5780432,1.5780432,1.7885385,-0.0373584
1.5880432,1.5880432,1.7985385,-0.0364733
1.5980432,1.5980432,1.8085385,-0.0356130
